Provincia,Trigo duro - Superficie - (hectáreas),Trigo duro - Producción - (toneladas),Trigo blando y semiduro - Superficie - (hectáreas),Trigo blando y semiduro - Producción - (toneladas)
A Coruña,0,0,1838,14369
Lugo,0,0,3421,6185
Ourense,0,0,9690,23062
Pontevedra,0,0,529,1926
GALICIA,0,0,15478,45542
P. DE ASTURIAS,0,0,52,57
CANTABRIA,0,0,560,1378
Álava,0,0,25137,155849
PAÍS VASCO,0,0,25137,155849
NAVARRA,3970,5049,77079,336632
LA RIOJA,74,270,36515,167299
Huesca,2974,6077,46936,196708
Teruel,1539,1125,35721,106776
Zaragoza,128894,198845,51062,184520
ARAGÓN,133407,206047,133719,488004
Barcelona,0,0,24161,94253
Girona,17,72,16573,72127
Lleida,108,411,53731,205309
Tarragona,0,0,7766,28417
CATALUÑA,125,483,102231,400106
BALEARES,0,0,4058,14555
Ávila,0,0,34687,122892
Burgos,902,2544,207219,952125
León,64,322,49349,199837
Palencia,51,212,99533,415068
Salamanca,47,132,65765,238534
Segovia,0,0,63150,224616
Soria,80,314,100837,396361
Valladolid,253,1004,62510,238272
Zamora,66,120,57121,188628
CASTILLA Y LEÓN,1463,4648,740171,2976333
MADRID,137,263,19815,65390
Albacete,94,299,73822,249032
Ciudad Real,231,431,45600,84744
Cuenca,88,290,33384,121722
Guadalajara,9,30,68029,206723
Toledo,1991,4682,53547,146095
CASTILLA – LA MANCHA,2413,5732,274382,808316
Alicante,77,271,1471,3903
Castellón,40,110,658,1622
Valencia,0,0,2344,6150
C. VALENCIANA,117,381,4473,11675
R. DE MURCIA,516,1115,6823,14738
Badajoz,7284,17742,62072,167330
Cáceres,42,87,6446,14014
EXTREMADURA,7326,17829,68518,181344
Almería,461,799,1811,5117
Cádiz,53886,163706,10700,30398
Córdoba,53471,142022,23452,62382
Granada,2362,6971,10194,28653
Huelva,8925,31238,3480,12876
Jaén,6913,16432,3207,7877
Málaga,20163,48877,4150,10729
Sevilla,82325,248490,50432,150887
ANDALUCÍA,228506,658535,107426,308919
Las Palmas,0,0,0,0
S.C. de Tenerife,0,0,162,162
CANARIAS,0,0,162,162
ESPAÑA,378054,900352,1616599,5976299
