Provincia,Maíz híbrido - Superficie - (hectáreas),Maíz híbrido - Producción - (toneladas),Otros maíces - Superficie - (hectáreas),Otros maíces - Producción - (toneladas)
A Coruña,8052,62161,336,2594
Lugo,1748,12463,583,4157
Ourense,1951,14691,0,0
Pontevedra,5808,46232,0,0
GALICIA,17559,135547,919,6751
P. DE ASTURIAS,206,515,206,515
CANTABRIA,417,1084,0,0
Alava,0,0,5,22
Guipúzcoa,65,169,45,117
Vizcaya,31,72,38,63
PAIS VASCO,96,241,88,202
NAVARRA,14861,157620,0,0
LA RIOJA,487,4620,0,0
Huesca,52654,723993,7500,82500
Teruel,3299,36290,0,0
Zaragoza,19355,226844,0,0
ARAGON,75308,987127,7500,82500
Barcelona,186,936,0,0
Girona,7499,83402,0,0
Lleida,30719,315282,0,0
Tarragona,109,961,0,0
CATALUÑA,38513,400581,0,0
BALEARES,285,1569,0,0
Avila,1276,15886,0,0
Burgos,980,11760,0,0
León,57860,561242,0,0
Palencia,0,0,2185,21889
Salamanca,16345,196140,0,0
Segovia,105,1050,0,0
Soria,69,828,0,0
Valladolid,6933,65864,0,0
Zamora,16300,203750,0,0
CASTILLA Y LEON,99868,1056520,2185,21889
MADRID,5462,68357,310,3880
Albacete,8800,118800,0,0
Ciudad Real,4761,54152,0,0
Cuenca,759,9117,0,0
Guadalajara,2381,28552,0,0
Toledo,6632,66825,0,0
CASTILLA–LA MANCHA,23333,277446,0,0
Alicante,53,530,257,2568
Castellón,124,491,0,0
Valencia,144,1728,0,0
C. VALENCIANA,321,2749,257,2568
R. DE MURCIA,140,1274,0,0
Badajoz,29781,341052,0,0
Cáceres,19547,252000,0,0
EXTREMADURA,49328,593052,0,0
Almería,6,19,0,0
Cádiz,2217,27855,0,0
Córdoba,4120,51455,0,0
Granada,0,0,2297,24905
Huelva,171,1710,0,0
Jaén,1000,11972,0,0
Málaga,282,1811,0,0
Sevilla,10764,141298,0,0
ANDALUCIA,18560,236120,2297,24905
Las Palmas,218,636,213,467
S.C. de Tenerife,304,697,34,76
CANARIAS,522,1333,247,543
ESPAÑA,345266,3925755,14009,143753
