Provincia,Trigo duro - Superficie (hectáreas),Trigo duro - Producción (toneladas),Trigo blando y semiduro - Superficie (hectáreas),Trigo blando y semiduro - Producción (toneladas),Cebada 2 carreras - Superficie (hectáreas),Cebada 2 carreras - Producción (toneladas),Cebada 6 carreras - Superficie (hectáreas),Cebada 6 carreras - Producción (toneladas),Maíz híbrido - Superficie (hectáreas),Maíz híbrido - Producción (toneladas),Otros maíces - Superficie (hectáreas),Otros maíces - Producción (toneladas)
A Coruña,0,0,1783,5171,153,321,0,0,6424,38287,207,1234
Lugo,9,24,2915,7579,22,52,0,0,1564,9322,521,3105
Ourense,0,0,7687,21370,634,1427,0,0,1939,12627,0,0
Pontevedra,0,0,166,365,10,19,0,0,5146,25185,0,0
GALICIA,9,24,12551,34485,819,1819,0,0,15073,85421,728,4339
P. DE ASTURIAS,0,0,65,130,0,0,0,0,218,567,213,554
CANTABRIA,0,0,644,1361,158,267,0,0,0,0,12,18
Alava,0,0,24019,162128,13690,95830,0,0,0,0,4,19
Guipúzcoa,0,0,3,17,0,0,0,0,65,208,36,115
Vizcaya,0,0,0,0,0,0,0,0,32,120,40,136
PAÍS VASCO,0,0,24022,162145,13690,95830,0,0,0,0,0,0
NAVARRA,387,1121,79195,427873,77253,319902,0,0,15280,175740,0,0
LA RIOJA,47,241,29625,147541,17490,84021,0,0,428,5070,0,0
Huesca,2781,6566,66780,252064,172787,702152,2914,10305,66046,772738,4500,47250
Teruel,1493,1868,30892,59951,102417,225549,2110,4775,1971,22666,0,0
Zaragoza,73517,130332,52791,171424,192439,513474,3927,10476,15711,178033,0,0
ARAGÓN,77791,138766,150463,483439,467643,1441175,8951,25556,0,0,0,0
Barcelona,53,226,18154,75366,37235,138854,376,1403,196,1179,0,0
Girona,0,0,10738,44364,19451,82240,810,2719,5912,62256,0,0
Lleida,127,343,44839,135136,103450,295901,415,1188,33907,270035,0,0
Tarragona,42,10,5582,15673,15089,34208,0,0,84,751,0,0
CATALUÑA,222,579,79313,270539,175225,551203,1601,5310,40099,334221,0,0
BALEARES,0,0,5838,8804,8189,11178,12283,16766,119,657,0,0
Avila,0,0,33257,51848,42256,59769,10378,15147,410,4759,0,0
Burgos,649,2192,210459,795893,148051,589874,4500,17739,661,9915,0,0
León,260,1278,51362,182497,22418,58318,1294,2323,69019,855836,0,0
Palencia,339,1253,114079,364184,117388,354163,10000,30044,0,0,3380,40682
Salamanca,93,242,57751,108470,39074,75004,1000,1599,17150,214752,0,0
Segovia,67,191,71610,156539,60446,145264,15000,35216,77,847,0,0
Soria,101,359,98608,305037,82971,269825,8040,25577,143,1645,0,0
Valladolid,1243,4356,99141,206203,184161,473750,1850,4707,5297,66032,0,0
Zamora,238,720,62609,158393,52771,141822,13192,35454,14019,199000,0,0
CASTILLA Y LEÓN,2990,10591,798876,2329064,749536,2167789,65254,167806,0,0,0,0
MADRID,188,399,15826,31973,53046,107904,946,1944,5042,56572,0,0
Albacete,274,1944,65547,238273,112826,351846,20500,53500,6500,94250,0,0
Ciudad Real,329,591,41550,78969,104715,236945,44877,107156,4028,46346,0,0
Cuenca,315,706,32941,80722,238028,570593,31205,74796,662,7818,0,0
Guadalajara,193,193,58566,168072,91748,262178,10197,29140,2800,33545,0,0
Toledo,2086,3332,47361,77786,133177,215451,16656,25544,5425,61031,0,0
CASTILLA–LA MANCHA,3197,6766,245965,643822,680494,1637013,123435,290136,19415,242990,0,0
Alicante,25,39,1330,2791,2126,3240,705,1066,49,539,88,957
Castellón,52,82,724,1200,3181,4560,140,221,39,213,82,171
Valencia,94,143,2438,3630,830,1345,7677,12546,153,2219,0,0
C. VALENCIANA,171,264,4492,7621,6137,9145,8522,13833,241,2971,170,1128
R. DE MURCIA,240,309,9137,12901,11227,14322,12113,18392,128,1261,0,0
Badajoz,5563,12143,61812,127090,58695,113938,0,0,27307,391801,0,0
Cáceres,151,276,4232,7178,1059,1488,0,0,17557,265708,0,0
EXTREMADURA,5714,12419,66044,134268,59754,115426,0,0,44864,657509,0,0
Almería,148,118,3446,4780,150,203,9232,16753,8,29,0,0
Cádiz,43505,136146,13825,46200,10890,13514,910,2712,2351,28297,0,0
Córdoba,36245,95595,23345,59702,8426,16991,13634,25896,2575,32152,0,0
Granada,1696,3975,11917,21168,36721,56199,5585,11414,0,0,2067,21935
Huelva,9706,20052,4820,11020,816,1767,969,2571,248,2340,0,0
Jaén,4525,13652,2228,6327,7803,19195,241,565,574,8036,0,0
Málaga,11443,31081,6128,15803,13075,38712,342,972,196,1846,0,0
Sevilla,68420,231988,63730,233343,27720,83775,3080,11799,7553,104383,0,0
ANDALUCÍA,175688,532607,129439,398343,105601,230356,33993,72682,0,0,0,0
Las Palmas,0,0,112,149,105,150,0,0,204,586,201,510
S.C. de Tenerife,0,0,155,151,43,41,0,0,231,517,26,57
CANARIAS,0,0,267,300,148,191,0,0,435,1103,227,567
ESPAÑA,266644,704086,1651762,5094609,2426410,6787541,267098,612425,345448,4067716,11377,116743
PAIS VASCO,0,0,0,0,0,0,0,0,97,328,80,270
ARAGON,0,0,0,0,0,0,0,0,83728,973437,4500,47250
CASTILLA Y LEON,0,0,0,0,0,0,0,0,106776,1352786,3380,40682
ANDALUCIA,0,0,0,0,0,0,0,0,13505,177083,2067,21935
