Provincia,Trigo duro - Superficie (hectáreas),Trigo duro - Producción (toneladas),Trigo blando y semiduro - Superficie (hectáreas),Trigo blando y semiduro - Producción (toneladas),Cebada 2 carreras - Superficie (hectáreas),Cebada 2 carreras - Producción (toneladas),Cebada 6 carreras - Superficie (hectáreas),Cebada 6 carreras - Producción (toneladas),Maíz híbrido - Superficie (hectáreas),Maíz híbrido - Producción (toneladas),Otros maíces - Superficie (hectáreas),Otros maíces - Producción (toneladas)
A Coruña,8,24,0,0,210,433,0,0,6006,41574,0,0
Lugo,225,558,0,0,81,174,0,0,1990,13302,0,0
Ourense,4,13,0,0,911,2733,0,0,1801,12301,0,0
Pontevedra,3,7,0,0,19,41,0,0,4408,27330,0,0
GALICIA,240,602,0,0,1221,3381,0,0,14205,94507,0,0
P. DE ASTURIAS,0,0,0,0,0,0,0,0,385,1194,0,0
CANTABRIA,0,0,0,0,156,174,0,0,0,0,0,0
Álava,0,0,0,0,12857,70714,0,0,4,14,0,0
Guipúzcoa,0,0,0,0,0,0,0,0,109,216,0,0
Vizcaya,0,0,0,0,0,0,0,0,73,221,0,0
PAÍS VASCO,0,0,0,0,12857,70714,0,0,186,451,0,0
NAVARRA,486,2031,0,0,66996,253870,0,0,11538,126167,0,0
LA RIOJA,21,23,0,0,19083,54456,0,0,436,5276,0,0
Huesca,1638,5124,0,0,137618,352760,4992,12899,39945,505548,0,0
Teruel,663,566,0,0,57709,59651,2094,2166,1682,16198,0,0
Zaragoza,38695,102580,0,0,100503,227604,3645,8292,9172,115411,0,0
ARAGÓN,40996,108270,0,0,295830,640015,10731,23357,50799,637157,0,0
Barcelona,8,8,0,0,20858,21288,223,215,0,0,0,0
Girona,23,51,0,0,14053,30482,586,1270,2302,13145,0,0
Lleida,166,288,0,0,94836,192508,381,772,12360,115449,0,0
Tarragona,6,3,0,0,12943,15572,0,0,31,232,0,0
CATALUÑA,203,350,0,0,142690,259850,1190,2257,14693,128826,0,0
BALEARES,8,15,0,0,6244,10759,11595,19978,189,2485,0,0
Ávila,13,12,0,0,42928,48640,2494,2283,997,13021,0,0
Burgos,368,1074,0,0,135372,331172,4200,9782,641,8333,0,0
León,27,122,0,0,20009,46690,1000,1530,67471,873749,0,0
Palencia,93,233,0,0,96878,225619,10000,23292,1450,17004,0,0
Salamanca,61,151,0,0,30873,71961,650,1203,15471,216285,0,0
Segovia,56,91,0,0,56996,98339,8500,14748,12,132,0,0
Soria,3,2,0,0,70789,71046,5050,4705,51,714,0,0
Valladolid,296,895,0,0,159731,308929,1750,3326,4227,59406,0,0
Zamora,56,159,0,0,54603,108245,2826,5603,11609,161470,0,0
CASTILLA Y LEÓN,973,2739,0,0,668179,1310641,36470,66472,101929,1350114,0,0
MADRID,291,441,0,0,44333,55478,442,551,4570,65920,0,0
Albacete,2173,14494,0,0,96866,139106,20650,11842,6310,94000,0,0
Ciudad Real,393,835,0,0,95765,80480,41043,36589,1332,14655,0,0
Cuenca,412,652,0,0,209633,209691,11505,11240,813,7487,0,0
Guadalajara,209,460,0,0,77630,126314,3260,5272,1561,17904,0,0
Toledo,1340,1042,0,0,125842,98755,12446,9772,4643,46430,0,0
CASTILLA–LA MANCHA,4527,17483,0,0,605736,654346,88904,74715,14659,180476,0,0
Alicante,148,219,0,0,2251,2371,243,251,180,2295,0,0
Castellón,19,17,0,0,2611,3448,42,53,36,106,0,0
Valencia,68,219,0,0,7325,24107,324,1067,80,1520,0,0
C. VALENCIANA,235,455,0,0,12187,29926,609,1371,296,3921,0,0
R. DE MURCIA,285,160,0,0,9055,10518,10358,18652,206,2148,0,0
Badajoz,3691,5950,0,0,32115,41938,107,100,9245,112016,0,0
Cáceres,247,253,0,0,1038,1845,89,52,12017,146372,0,0
EXTREMADURA,3938,6203,0,0,33153,43783,196,152,21262,258388,0,0
Almería,93,9,0,0,0,0,8886,707,10,40,0,0
Cádiz,45290,73635,0,0,8263,7188,590,943,1290,5812,0,0
Córdoba,41215,69682,0,0,4020,3839,13280,14527,34,425,0,0
Granada,2529,2994,0,0,24237,12113,10189,4064,1533,15676,0,0
Huelva,10022,16720,0,0,915,842,135,126,12,72,0,0
Jaén,4523,4240,0,0,2424,1794,1550,992,8,12,0,0
Málaga,13450,12850,0,0,10760,8310,610,666,30,250,0,0
Sevilla,79782,108526,0,0,20233,27813,2248,2623,845,9988,0,0
ANDALUCÍA,196904,288656,0,0,70852,61899,37488,24648,3762,32275,0,0
Las Palmas,0,0,0,0,51,91,0,0,328,594,0,0
S.C. de Tenerife,0,0,0,0,40,39,0,0,349,844,0,0
CANARIAS,0,0,0,0,91,130,0,0,677,1438,0,0
ESPAÑA,249107,427428,0,0,1988663,3459940,197983,232153,239792,2890743,0,0
*El Maíz Grano: No incluye forrajero ni dulce,0,0,0,0,0,0,0,0,,,0,0
