Provincia,Trigo duro - Superficie (hectáreas),Trigo duro - Producción (toneladas),Trigo blando y semiduro - Superficie (hectáreas),Trigo blando y semiduro - Producción (toneladas),Cebada 2 carreras - Superficie (hectáreas),Cebada 2 carreras - Producción (toneladas),Cebada 6 carreras - Superficie (hectáreas),Cebada 6 carreras - Producción (toneladas),Maíz híbrido - Superficie (hectáreas),Maíz híbrido - Producción (toneladas),Otros maíces - Superficie (hectáreas),Otros maíces - Producción (toneladas)
A Coruña,0,0,2276,7814,46,99,0,0,8892,67792,370,2821
Lugo,0,0,3985,9688,286,617,0,0,1349,10220,450,3407
Ourense,0,0,9301,32749,138,298,0,0,2044,15236,0,0
Pontevedra,0,0,914,1905,0,0,0,0,6007,47551,0,0
GALICIA,0,0,16476,52156,470,1014,0,0,18292,140799,820,6228
P. DE ASTURIAS,0,0,55,61,0,0,0,0,0,0,333,733
CANTABRIA,98,122,900,1119,0,0,492,354,325,1353,0,0
Álava,0,0,25820,160084,0,0,0,0,0,0,0,0
PAÍS VASCO,0,0,25820,160084,14285,78568,0,0,0,0,0,0
NAVARRA,3500,2115,74677,324836,95364,296202,0,0,17810,188616,905,13838
LA RIOJA,120,415,35413,146469,14923,49297,0,0,668,6348,0,0
Huesca,2696,3431,55847,150078,151893,327690,23310,43905,38268,459081,0,0
Teruel,1434,1354,41621,65303,85672,122960,11682,14851,3457,35290,0,0
Zaragoza,118003,132584,56577,118652,117560,213212,16051,27986,19569,209684,0,0
ARAGÓN,122133,137369,154045,334033,355125,663862,51043,86742,0,0,0,0
Barcelona,45,166,22400,82818,41145,155210,332,1252,299,1999,0,0
Girona,15,55,14905,54723,15844,55915,660,2209,7629,83360,0,0
Lleida,156,524,51704,174058,87880,248234,14187,40746,28271,290317,0,0
Tarragona,0,0,7564,22478,13384,37588,0,0,46,406,0,0
CATALUÑA,216,745,96573,334077,158253,496947,15179,44207,36245,376082,0,0
BALEARES,3,12,4345,17877,7148,22344,10721,33515,326,1793,0,0
Ávila,3,7,32886,73603,0,0,0,0,0,0,0,0
Burgos,612,1522,219031,847469,157929,543682,5000,16875,725,6825,0,0
León,35,180,53395,212227,19172,62239,2500,6375,60381,573620,0,0
Palencia,65,178,112429,308777,132555,303641,10000,23122,1679,15129,0,0
Salamanca,69,177,65250,173472,46115,112778,4000,9624,16045,205624,0,0
Segovia,261,668,66533,154419,63757,141717,25004,58691,170,1360,0,0
Soria,145,171,100054,139138,94389,129101,5000,6210,349,3809,0,0
Valladolid,474,1434,71014,186928,224821,514987,3000,6901,8441,92851,0,0
Zamora,112,244,61378,181702,57367,148961,14341,37240,16326,179600,0,0
CASTILLA Y LEÓN,1776,4581,781970,2277735,839371,2042013,83463,190338,0,0,0,0
MADRID,4,14426,24865,80755,38615,107221,0,0,7182,104075,149,2159
Albacete,100,326,85324,210826,99089,238753,45000,81575,16851,212323,0,0
Ciudad Real,209,365,56288,98311,90983,240098,60655,160065,6855,71397,0,0
Cuenca,486,874,41084,62672,221685,373067,50368,95700,1200,12000,43,1857
Guadalajara,8,18,71725,145482,87511,128810,9500,19000,4212,48756,0,0
Toledo,2081,3556,65827,118861,145781,260809,5668,12175,10564,104535,0,0
CASTILLA – LA MANCHA,2884,5139,320248,636152,0,0,0,0,0,0,0,0
Alicante,78,256,1672,4018,2505,5662,868,1506,319,2544,0,0
Castellón,15,32,634,1155,3746,4323,397,543,96,370,0,0
Valencia,0,0,1791,2461,6923,8857,2691,2691,156,1248,0,0
C. VALENCIANA,93,288,4097,7634,13174,18842,3956,4740,571,4162,0,0
R. DE MURCIA,815,1520,7179,13390,6138,8750,20049,21750,128,1216,0,0
Badajoz,7740,10244,72392,107909,43246,53087,1192,925,40626,478050,633,1668
Cáceres,189,215,6022,6370,723,950,33,24,19384,228886,0,0
EXTREMADURA,7929,10459,78414,114279,43969,54037,1225,949,60010,706936,633,1668
Almería,291,163,1985,1498,0,0,9791,8324,0,0,20,0
Cádiz,60719,101704,13208,32869,650,2075,4753,15177,3528,30191,0,0
Córdoba,60803,57606,31337,30367,2356,1028,5498,4111,8291,103344,0,0
Granada,2586,4464,13425,22778,19869,37176,30248,24489,0,0,3105,32863
Huelva,11807,10036,4050,4455,150,113,600,270,218,2540,0,0
Jaén,7510,5265,3490,4633,4489,4053,3290,2702,0,0,1584,15725
Málaga,20371,40704,5415,8935,9743,18560,1220,2294,560,3373,5,140
Sevilla,107395,102360,78967,84094,7714,3882,1425,322,0,270414,0,0
ANDALUCÍA,271482,322302,151877,189629,44971,66887,56825,57689,0,0,0,0
Las Palmas,0,0,0,0,0,0,0,0,130,455,88,122
S.C. de Tenerife,0,0,164,49,0,0,87,25,391,753,44,84
CANARIAS,0,0,164,49,0,0,87,25,521,1208,132,206
ESPAÑA,411053,499493,1777118,4690335,2276855,5147521,414231,808824,360837,4186073,7917,75996
Alava,0,0,0,0,14285,78568,0,0,0,0,2,7
Avila,0,0,0,0,43266,84907,14618,25300,945,11340,0,0
CASTILLA–LA MANCHA,0,0,0,0,645049,1241537,171191,368515,39682,449011,43,1857
Guipúzcoa,0,0,0,0,0,0,0,0,65,210,108,333
Vizcaya,0,0,0,0,0,0,0,0,60,189,78,239
PAIS VASCO,0,0,0,0,0,0,0,0,125,399,188,579
ARAGON,0,0,0,0,0,0,0,0,61294,704055,0,0
CASTILLA Y LEON,0,0,0,0,0,0,0,0,105061,1090158,0,0
ANDALUCIA,0,0,0,0,0,0,0,0,12597,409862,4714,48728
