Provincia,Trigo duro - Superficie (hectáreas),Trigo duro - Producción (toneladas),Trigo blando y semiduro - Superficie (hectáreas),Trigo blando y semiduro - Producción (toneladas),Cebada 2 carreras - Superficie (hectáreas),Cebada 2 carreras - Producción (toneladas),Cebada 6 carreras - Superficie (hectáreas),Cebada 6 carreras - Producción (toneladas),Maíz híbrido - Superficie (hectáreas),Maíz híbrido - Producción (toneladas),Otros maíces - Superficie (hectáreas),Otros maíces - Producción (toneladas)
A Coruña,0,0,1777,5606,44,93,0,0,8819,68260,367,2840
Lugo,0,0,3616,7232,190,372,0,0,1472,10917,490,3639
Ourense,0,0,9232,22914,163,328,0,0,1952,14404,0,0
Pontevedra,0,0,342,696,5,10,0,0,6161,42837,0,0
GALICIA,0,0,14967,36448,402,803,0,0,18404,136418,857,6479
P. DE ASTURIAS,0,0,50,60,0,0,0,0,150,350,150,400
CANTABRIA,0,0,527,1291,0,0,162,211,546,1420,0,0
Álava,0,0,24460,122300,0,0,0,0,0,0,0,0
PAÍS VASCO,0,0,24460,122300,14870,62454,0,0,0,0,0,0
NAVARRA,2154,5052,68560,299911,95787,376750,0,0,21442,220522,890,15971
LA RIOJA,67,335,33377,180614,19023,97975,0,0,940,8563,0,0
Huesca,2086,7065,51084,246477,176896,809300,5539,22090,48840,624421,0,0
Teruel,1350,2829,42126,118843,88645,301065,12088,36027,0,0,3414,36541
Zaragoza,107586,261367,53890,191535,133919,502051,18291,61002,24516,285088,0,0
ARAGÓN,111022,271261,147100,556855,399460,1612416,35918,119119,0,0,0,0
Barcelona,24,102,24187,101454,38998,147921,315,1193,303,2979,0,0
Girona,15,67,14979,67136,17058,79965,528,2304,7839,101192,0,0
Lleida,148,751,49206,249713,91921,456312,14840,74901,30746,333034,0,0
Tarragona,0,0,7156,34993,14851,62082,0,0,67,599,0,0
CATALUÑA,187,920,95528,453296,162828,746280,15683,78398,38955,437804,0,0
BALEARES,8,8,4197,9533,9265,18609,13898,27914,232,1276,0,0
Ávila,25,78,34095,106915,0,0,0,0,0,0,0,0
Burgos,409,1496,220573,1042644,152623,662304,5000,21455,850,8925,0,0
León,29,127,60195,268282,18486,73049,2000,7000,65263,659156,0,0
Palencia,35,166,119349,537305,130918,526104,10000,40396,4306,43060,0,0
Salamanca,38,129,65721,226683,41921,114943,4000,10772,18455,202903,0,0
Segovia,122,445,69772,252593,67069,219558,25000,86180,99,792,0,0
Soria,6,23,102005,410665,100158,405587,5000,20075,335,3685,0,0
Valladolid,588,2680,78626,327430,224996,893323,3000,12029,10086,110946,0,0
Zamora,124,276,67747,265255,57674,224575,12000,46728,21060,242759,0,0
CASTILLA Y LEÓN,1376,5420,818083,3437772,831719,3221172,78625,276160,0,0,0,0
MADRID,80,417,26908,140377,40760,178027,106,463,6852,93345,399,5435
Albacete,168,500,72155,244036,107588,369245,49950,147690,15900,219420,0,0
Ciudad Real,232,525,54111,105006,96033,288074,62831,188922,7142,71410,0,0
Cuenca,324,810,36022,119655,220945,850000,61000,108615,1247,14120,0,0
Guadalajara,59,189,71085,229341,90552,283211,9634,30115,3619,43193,0,0
Toledo,1694,4749,65542,197709,153066,476493,5668,22244,11140,137678,0,0
CASTILLA – LA MANCHA,2477,6773,298915,895747,0,0,0,0,0,0,0,0
Alicante,17,77,1467,5200,2023,3724,1888,5193,292,3504,0,0
Castellón,10,19,654,1157,4168,4905,425,566,176,826,0,0
Valencia,0,0,1600,4303,7678,22470,3296,9540,206,3008,0,0
C. VALENCIANA,27,96,3721,10660,13869,31099,5609,15299,674,7338,0,0
R. DE MURCIA,2055,3764,5925,15514,6089,8750,21290,27559,137,1394,0,0
Badajoz,4470,10473,69106,138445,45551,74885,0,0,46122,534434,991,2796
Cáceres,151,290,5843,9624,756,1160,0,0,22023,256083,0,0
EXTREMADURA,4621,10763,74949,148069,46307,76045,0,0,68145,790517,991,2796
Almería,193,218,1915,2744,0,0,10765,20516,0,0,68,76
Cádiz,50802,122383,17150,43167,700,1620,6275,15043,4156,35382,0,0
Córdoba,50274,146297,33418,97484,1489,2170,5954,8574,8859,110465,0,0
Granada,2545,4628,14558,36975,21254,46974,33622,82272,0,0,3330,40164
Huelva,9810,41889,5728,24924,272,1238,1000,4550,186,1655,0,0
Jaén,3499,8257,5860,13830,5350,11916,3490,8027,2013,23421,0,0
Málaga,15674,42897,6718,9417,10762,24796,1330,3065,593,4207,73,175
Sevilla,86513,261882,78778,274482,11737,31529,1250,2500,24363,215173,0,0
ANDALUCÍA,219310,628451,164125,503023,51564,120243,63686,144547,0,0,0,0
Las Palmas,5,8,5,8,2,2,2,3,159,553,108,148
S.C. de Tenerife,0,0,183,183,0,0,91,91,433,1009,48,112
CANARIAS,5,8,188,191,2,2,93,94,592,1562,156,260
ESPAÑA,343389,933268,1781580,6811661,2360129,8817648,424153,1187350,431742,4779482,10556,108979
Alava,0,0,0,0,14870,62454,0,0,0,0,13,42
Avila,0,0,0,0,37874,101729,12625,31525,1511,20701,0,0
CASTILLA–LA MANCHA,0,0,0,0,668184,2267023,189083,497586,39048,485821,0,0
Guipúzcoa,0,0,0,0,0,0,0,0,65,200,137,406
Vizcaya,0,0,0,0,0,0,0,0,69,213,78,234
PAIS VASCO,0,0,0,0,0,0,0,0,134,413,228,682
ARAGON,0,0,0,0,0,0,0,0,73356,909509,3414,36541
CASTILLA Y LEON,0,0,0,0,0,0,0,0,121965,1292927,0,0
ANDALUCIA,0,0,0,0,0,0,0,0,40170,390303,3471,40415
