Provincia,Trigo duro - Superficie (hectáreas),Trigo duro - Producción (toneladas),Trigo blando y semiduro - Superficie (hectáreas),Trigo blando y semiduro - Producción (toneladas),Cebada 2 carreras - Superficie (hectáreas),Cebada 2 carreras - Producción (toneladas),Cebada 6 carreras - Superficie (hectáreas),Cebada 6 carreras - Producción (toneladas),Maíz híbrido - Superficie (hectáreas),Maíz híbrido - Producción (toneladas),Otros maíces - Superficie (hectáreas),Otros maíces - Producción (toneladas)
A Coruña,0,0,3118,8824,0,0,384,814,11025,53773,320,1650
Lugo,0,0,4922,14668,0,0,32,90,1859,9461,0,0
Ourense,0,0,13015,37353,0,0,93,263,2834,13729,0,0
Pontevedra,0,0,632,2073,0,0,15,42,5882,16836,2013,11113
GALICIA,0,0,21687,62918,0,0,524,1209,21600,93799,2333,12763
P. DE ASTURIAS,0,0,70,150,0,0,0,0,1100,2600,100,200
CANTABRIA,0,0,428,856,551,744,0,0,120,504,10,42
Alava,0,0,25070,120336,15325,65131,0,0,0,0,38,98
Guipúzcoa,0,0,0,0,0,0,0,0,130,329,195,486
Vizcaya,0,0,1,4,0,0,0,0,61,155,84,208
PAÍS VASCO,0,0,25071,120340,15325,65131,0,0,0,0,0,0
NAVARRA,14225,27836,58093,262906,5963,23835,103158,416645,15187,118426,0,0
LA RIOJA,65,255,35365,158213,19883,84723,0,0,0,0,1552,13653
Huesca,2354,4997,27767,104563,148479,527388,34830,125463,50063,457476,0,0
Teruel,2992,6104,28495,75654,81640,246405,61375,153325,5295,47461,0,0
Zaragoza,225457,255515,27426,31083,45833,84451,14473,26668,32983,214310,0,0
ARAGÓN,230803,266616,83688,211300,275952,858244,110678,305456,0,0,0,0
Barcelona,0,0,21158,79476,44276,124589,1970,6912,2526,8710,0,0
Girona,0,0,13421,29982,11753,23841,3000,6085,10959,86137,0,0
Lleida,133,220,37257,123970,100491,298627,16000,43000,28108,265625,0,0
Tarragona,0,0,6323,22762,11371,46667,2800,11660,125,884,0,0
CATALUÑA,133,220,78159,256190,167891,493724,23770,67657,41718,361356,0,0
BALEARES,0,0,7450,9834,10200,12981,15301,19471,784,0,0,0
Avila,0,0,23079,62463,67139,188040,19534,42120,1343,10260,0,0
Burgos,10635,21270,159612,624179,218668,633996,6500,19500,652,5879,0,0
León,0,0,39916,121197,23220,78899,3500,8575,62208,590873,0,0
Palencia,105,284,83618,262954,155257,388285,19189,58697,7354,62863,0,0
Salamanca,505,1058,58689,167592,52672,142741,22952,59208,14867,159374,0,0
Segovia,0,0,43505,123981,44683,120192,84398,251937,54,459,0,0
Soria,432,1210,85224,240410,129341,340580,2500,6500,751,7478,0,0
Valladolid,408,612,41718,147316,285396,857428,20000,66750,17045,153405,0,0
Zamora,1159,1781,71318,172526,46894,116999,34978,81776,22859,205731,0,0
CASTILLA Y LEÓN,13244,26215,606679,1922618,1023270,2867160,213551,595063,0,0,0,0
MADRID,292,788,24798,76682,34653,93473,3545,9593,9596,134249,0,0
Albacete,0,0,46775,141763,90450,301595,94050,222075,20915,232035,0,0
Ciudad Real,0,0,58655,111846,77030,159708,58347,126856,7958,95319,0,0
Cuenca,0,0,30212,93127,242252,717581,48000,169400,1821,20679,0,0
Guadalajara,0,0,62707,185741,103967,292437,17000,47817,6329,73347,0,0
Toledo,49179,59450,35407,63522,148698,317087,7826,16689,14800,158886,0,0
CASTILLA–LA MANCHA,49179,59450,233756,595999,662397,1788408,225223,582837,51823,580266,0,0
Alicante,265,318,3434,10817,3126,6908,988,2420,397,1908,0,0
Castellón,0,0,624,2062,2738,5927,1252,3318,184,872,0,0
Valencia,218,387,1729,3054,4045,10733,3980,10540,333,1760,0,0
C. VALENCIANA,483,705,5787,15933,9909,23568,6220,16278,914,4540,0,0
R. DE MURCIA,520,641,8919,8706,6664,5151,34972,37770,333,2581,0,0
Badajoz,92800,261139,55900,138864,38000,108794,6700,19182,0,0,42100,401213
Cáceres,465,1161,8100,16200,1350,2700,3200,6400,0,0,19500,163800
EXTREMADURA,93265,262300,64000,155064,39350,111494,9900,25582,0,0,61600,565013
Almería,4265,2815,900,1170,0,0,10950,19425,0,0,22,91
Cádiz,87662,231238,7650,24381,3012,8917,1183,3514,4101,50385,0,0
Córdoba,135725,357031,11112,39671,1388,2551,3237,5952,12635,160608,0,0
Granada,23973,31722,5796,11657,9924,28009,45149,70972,4549,32043,0,0
Huelva,18351,43677,2691,7855,457,1031,1113,1834,497,4092,0,0
Jaén,22237,60707,1392,5843,3818,9579,1450,3561,1327,12212,0,0
Málaga,36446,106985,1968,7155,5589,19833,621,1533,698,4886,99,198
Sevilla,182291,509863,21846,74304,3461,9600,604,1245,26862,277028,0,0
ANDALUCÍA,510950,1344038,53355,172036,27649,79520,64307,108036,0,0,0,0
Las Palmas,0,0,0,0,0,0,0,0,144,347,35,84
S.C. de Tenerife,0,0,177,177,0,0,68,68,318,762,79,191
CANARIAS,0,0,177,177,0,0,68,68,462,1109,114,275
ESPAÑA,913159,1989064,1307482,4029922,2299657,6508156,811217,2185665,409971,3756737,66147,593027
PAIS VASCO,0,0,0,0,0,0,0,0,191,484,317,792
ARAGON,0,0,0,0,0,0,0,0,88341,719247,0,0
CASTILLA Y LEON,0,0,0,0,0,0,0,0,127133,1196322,0,0
ANDALUCIA,0,0,0,0,0,0,0,0,50669,541254,121,289
