Provincia,Trigo duro - Superficie (hectáreas),Trigo duro - Producción (toneladas),Trigo blando y semiduro - Superficie (hectáreas),Trigo blando y semiduro - Producción (toneladas),Cebada 2 carreras - Superficie (hectáreas),Cebada 2 carreras - Producción (toneladas),Cebada 6 carreras - Superficie (hectáreas),Cebada 6 carreras - Producción (toneladas),Maíz híbrido - Superficie (hectáreas),Maíz híbrido - Producción (toneladas),Otros maíces - Superficie (hectáreas),Otros maíces - Producción (toneladas)
A Coruña,0,0,3367,14545,0,0,220,1014,9964,51996,0,0
Lugo,0,0,4742,18826,0,0,52,224,2027,10221,0,0
Ourense,0,0,11082,41336,0,0,105,484,2570,12554,0,0
Pontevedra,0,0,439,1756,0,0,14,60,6751,35097,0,0
GALICIA,0,0,19630,76463,0,0,391,1782,21312,109868,0,0
P. DE ASTURIAS,10,25,0,0,0,0,0,0,609,1538,41,152
CANTABRIA,0,0,507,1591,402,632,0,0,0,0,2042,10960
Alava,0,0,23825,122699,14464,70874,0,0,0,0,23,84
Guipúzcoa,0,0,0,0,0,0,0,0,110,356,190,604
Vizcaya,0,0,0,0,0,0,0,0,65,193,75,213
PAÍS VASCO,0,0,23825,122699,14464,70874,0,0,0,0,0,0
NAVARRA,8898,10924,55174,275672,1563,5002,106303,442644,10189,88367,653,10830
LA RIOJA,19,57,32467,137868,19231,76710,0,0,1058,10262,0,0
Huesca,739,1011,24637,97784,176539,564671,14719,42671,30262,312364,0,0
Teruel,1862,2316,27705,38185,119611,153857,9973,11908,4507,43830,0,0
Zaragoza,177215,297818,36800,60999,77250,211955,6007,11156,19153,187943,0,0
ARAGÓN,179816,301145,89142,196968,373400,930483,30699,65735,0,0,0,0
Barcelona,0,0,16455,42172,42520,87933,0,0,2561,8597,0,0
Girona,0,0,13473,32387,15120,32281,1670,3874,8654,87410,0,0
Lleida,100,240,40582,113426,92401,203448,16000,35000,24705,247051,0,0
Tarragona,0,0,5324,11638,10807,30366,2534,7119,122,901,0,0
CATALUÑA,100,240,75834,199623,160848,354028,20204,45993,36042,343959,0,0
BALEARES,0,0,5113,9088,8712,19190,13068,28785,242,1331,0,0
Avila,0,0,19525,20539,66404,75062,20490,19127,891,7096,0,0
Burgos,5420,10814,168063,618800,209441,626915,6500,18862,1192,11193,0,0
León,0,0,33975,117513,28340,93360,2500,6000,57650,553440,0,0
Palencia,0,0,85243,232490,148146,450837,36000,122040,4424,39816,0,0
Salamanca,645,1229,47106,110698,58290,122663,19000,39414,12527,135913,0,0
Segovia,0,0,43411,90140,89165,213552,38070,101236,71,568,0,0
Soria,0,0,97464,160985,112964,210904,8000,14872,335,3510,0,0
Valladolid,100,140,26435,61076,286776,680130,30000,76350,9751,112137,0,0
Zamora,488,772,45390,121556,80021,237597,20400,61160,15447,154236,0,0
CASTILLA Y LEÓN,6653,12955,566612,1533797,1079547,2711020,180960,459061,0,0,0,0
MADRID,0,0,14482,43900,38594,109060,2683,5740,5310,63476,0,0
Albacete,0,0,48816,135245,85700,227221,88085,155461,16430,203535,0,0
Ciudad Real,0,0,42653,80404,104750,281763,53539,147087,4166,53908,0,0
Cuenca,0,0,20297,60503,226329,566351,58000,155600,1327,14322,0,0
Guadalajara,0,0,54971,163465,89145,241334,21000,56851,3159,40995,0,0
Toledo,22964,36890,30719,57251,158728,383621,8354,17908,11361,133696,0,0
CASTILLA–LA MANCHA,22964,36890,197456,496868,664652,1700290,228978,532907,36443,446456,0,0
Alicante,55,53,2078,4810,2991,5865,840,1644,224,934,0,0
Castellón,0,0,641,1996,2329,4593,1000,2300,95,315,0,0
Valencia,61,71,1016,1435,5071,8891,4146,7259,262,2194,0,0
C. VALENCIANA,116,124,3735,8241,10391,19349,5986,11203,581,3443,0,0
R. DE MURCIA,440,662,7371,8801,6682,6294,35076,46155,272,2135,0,0
Badajoz,40300,97989,62500,178125,59600,178800,12200,36600,36000,334800,0,0
Cáceres,100,240,7250,21391,2635,7378,465,1302,17600,167200,0,0
EXTREMADURA,40400,98229,69750,199516,62235,186178,12665,37902,53600,502000,0,0
Almería,2271,2524,799,1190,10,3,10314,24761,17,55,0,0
Cádiz,59692,182634,18105,60849,720,5470,7758,12763,581,6903,0,0
Córdoba,95310,326971,24792,85051,1648,3487,6594,13954,4635,57725,0,0
Granada,11653,37600,5493,7600,22998,46000,37085,62300,3371,25300,0,0
Huelva,13517,40500,4823,19400,359,968,1367,2734,183,1648,0,0
Jaén,14358,43126,2839,8017,3629,9179,3304,8148,954,9491,0,0
Málaga,29279,93455,1695,7034,8460,30907,837,312,580,3647,72,152
Sevilla,128525,455153,86443,378008,13140,44780,1330,3528,8377,91122,0,0
ANDALUCÍA,354605,1181963,144989,567149,50964,140794,68589,128500,0,0,0,0
Las Palmas,0,0,3,2,0,0,3,3,142,389,77,168
S.C. de Tenerife,0,0,122,122,0,0,75,75,310,764,34,85
CANARIAS,0,0,125,124,0,0,78,78,452,1153,111,253
ESPAÑA,614021,1643214,1306212,3878368,2491685,6329904,705680,1806485,341193,3332474,3207,23248
PAIS VASCO,0,0,0,0,0,0,0,0,175,549,288,901
ARAGON,0,0,0,0,0,0,0,0,53922,544137,0,0
CASTILLA Y LEON,0,0,0,0,0,0,0,0,102288,1017909,0,0
ANDALUCIA,0,0,0,0,0,0,0,0,18698,195891,72,152
