Provincia,Trigo duro - Superficie (hectáreas),Trigo duro - Producción (toneladas),Trigo blando y semiduro - Superficie (hectáreas),Trigo blando y semiduro - Producción (toneladas),Cebada 2 carreras - Superficie (hectáreas),Cebada 2 carreras - Producción (toneladas),Cebada 6 carreras - Superficie (hectáreas),Cebada 6 carreras - Producción (toneladas),Maíz híbrido - Superficie (hectáreas),Maíz híbrido - Producción (toneladas),Otros maíces - Superficie (hectáreas),Otros maíces - Producción (toneladas)
A Coruña,0,0,1695,5068,140,291,0,0,7321,46498,293,1859
Lugo,0,0,3189,7494,177,381,0,0,1724,11361,576,3277
Ourense,0,0,8207,22159,231,497,0,0,1962,11792,0,0
Pontevedra,0,0,196,431,0,0,0,0,5627,28146,0,0
GALICIA,0,0,13287,35152,548,1169,0,0,16634,97797,869,5136
P. DE ASTURIAS,0,0,85,24,0,0,0,0,230,598,225,585
CANTABRIA,0,0,659,1489,127,191,0,0,0,0,0,0
Alava,0,0,22889,125890,13107,57671,0,0,0,0,2,9
Guipúzcoa,0,0,0,0,0,0,0,0,65,195,38,114
Vizcaya,0,0,0,0,0,0,0,0,31,106,40,121
PAÍS VASCO,0,0,22889,125890,13107,57671,0,0,0,0,0,0
NAVARRA,842,3057,78018,391427,83360,334378,0,0,13462,161624,0,0
LA RIOJA,48,253,29834,157395,17268,87095,0,0,416,4831,0,0
Huesca,5823,21459,63737,269358,187439,823947,3121,12378,58566,708649,4750,49875
Teruel,1853,2529,35068,84324,90345,225286,1902,4198,1947,18987,0,0
Zaragoza,102465,207966,47496,156671,168397,461428,3437,9416,15595,172889,0,0
ARAGÓN,110141,231954,146301,510353,446181,1510661,8460,25992,0,0,0,0
Barcelona,80,445,22107,113150,34163,161925,333,1492,173,1170,0,0
Girona,26,106,11630,45802,16381,58717,683,1941,5545,58096,0,0
Lleida,103,440,50709,222594,103076,485786,518,2441,31243,320435,0,0
Tarragona,22,40,6074,22929,13855,45887,0,0,112,908,0,0
CATALUÑA,231,1031,90520,404475,167475,752315,1534,5874,37073,380609,0,0
BALEARES,0,0,5970,11373,8078,13433,12116,20149,138,759,0,0
Avila,66,300,34848,119900,39660,120078,11028,30496,1163,15825,0,0
Burgos,623,2163,222769,1024431,130408,567115,4300,18593,647,7748,0,0
León,1040,6227,64631,313560,18548,73940,1196,4156,57176,714700,0,0
Palencia,417,2170,130249,553584,106443,475623,10000,44799,0,0,1990,23952
Salamanca,155,623,71358,288475,36282,145976,1000,3890,15914,198925,0,0
Segovia,51,169,72711,231576,59137,190244,15000,47092,73,803,0,0
Soria,162,439,100759,369944,78540,274822,8040,27737,146,1755,0,0
Valladolid,2038,7905,107564,434551,181634,735749,1750,7088,3837,47602,0,0
Zamora,416,1974,67768,257546,49442,201663,12360,50413,11381,159584,0,0
CASTILLA Y LEÓN,4968,21970,872657,3593567,700094,2785210,64674,234264,0,0,0,0
MADRID,276,1022,17213,59217,44469,151735,907,2840,3995,46651,255,3570
Albacete,1624,10784,62150,218719,111312,338277,20117,53651,6442,90188,0,0
Ciudad Real,272,908,38425,95853,102298,310778,43842,140590,3553,40875,0,0
Cuenca,592,1360,32874,90196,195817,588801,68795,218810,803,9408,0,0
Guadalajara,988,1005,60476,187665,82636,245965,8101,23966,2434,32815,0,0
Toledo,3716,12316,44496,153337,133477,470242,15524,49568,5448,68100,0,0
CASTILLA–LA MANCHA,7192,26373,238421,745770,625540,1954063,156379,486585,18680,241386,0,0
Alicante,40,58,1093,2418,2061,3454,690,1163,49,539,161,1760
Castellón,60,80,819,1102,2902,3392,128,175,66,342,88,160
Valencia,56,151,2331,6884,826,2261,7519,20571,121,1452,0,0
C. VALENCIANA,156,289,4243,10404,5789,9107,8337,21909,236,2333,249,1920
R. DE MURCIA,221,382,7505,9474,10619,12582,11154,15570,114,1083,0,0
Badajoz,8544,33395,56631,249777,55753,232482,0,0,26134,362270,0,0
Cáceres,33,104,4466,15307,768,2442,0,0,18022,271826,0,0
EXTREMADURA,8577,33499,61097,265084,56521,234924,0,0,44156,634096,0,0
Almería,233,154,3030,4310,0,0,8409,14848,11,61,0,0
Cádiz,58847,192846,9616,31026,8968,49414,782,2346,1837,22361,0,0
Córdoba,48934,254457,18521,96309,3719,13760,14878,66951,1783,22283,0,0
Granada,2739,5437,8494,15993,6640,10375,36689,75780,0,0,2182,20447
Huelva,11573,44604,3775,15637,612,2176,690,2774,198,2490,0,0
Jaén,6077,27384,2026,7744,4275,15476,2850,10113,362,5068,0,0
Málaga,15255,57025,4360,17266,12263,48618,1555,6012,256,1779,0,0
Sevilla,98298,380757,48090,193489,16956,64268,7266,28662,4938,61374,0,0
ANDALUCÍA,241956,962664,97912,381774,53433,204087,73119,207486,0,0,0,0
Las Palmas,0,0,129,192,123,192,0,0,224,651,205,544
S.C. de Tenerife,0,0,160,171,50,53,0,0,256,580,28,64
CANARIAS,0,0,289,363,173,245,0,0,480,1231,233,608
ESPAÑA,374608,1282494,1686900,6703231,2232782,8108866,336680,1020669,311540,3736182,10833,106337
PAIS VASCO,0,0,0,0,0,0,0,0,96,301,80,244
ARAGON,0,0,0,0,0,0,0,0,76108,900525,4750,49875
CASTILLA Y LEON,0,0,0,0,0,0,0,0,90337,1146942,1990,23952
ANDALUCIA,0,0,0,0,0,0,0,0,9385,115416,2182,20447
