Provincia,Trigo duro - Superficie (hectáreas),Trigo duro - Producción (toneladas),Trigo blando y semiduro - Superficie (hectáreas),Trigo blando y semiduro - Producción (toneladas),Cebada 2 carreras - Superficie (hectáreas),Cebada 2 carreras - Producción (toneladas),Cebada 6 carreras - Superficie (hectáreas),Cebada 6 carreras - Producción (toneladas),Maíz híbrido - Superficie (hectáreas),Maíz híbrido - Producción (toneladas),Otros maíces - Superficie (hectáreas),Otros maíces - Producción (toneladas)
A Coruña,0,0,1897,6317,109,218,0,0,7904,58648,329,2441
Lugo,0,0,3271,8537,166,332,0,0,1454,14365,485,4792
Ourense,0,0,9413,29086,30,60,0,0,2162,17728,0,0
Pontevedra,0,0,326,1187,2,4,0,0,5564,30101,0,0
GALICIA,0,0,14907,45127,307,614,0,0,17084,120842,814,7233
P. DE ASTURIAS,0,0,50,50,0,0,0,0,260,650,50,100
CANTABRIA,0,0,462,1132,204,265,0,0,325,845,0,0
Álava,0,0,26040,154938,0,0,0,0,0,0,0,0
PAÍS VASCO,0,0,26040,154938,14276,78518,0,0,0,0,0,0
NAVARRA,3977,5648,70603,334439,94473,362768,0,0,12528,121227,782,12073
LA RIOJA,52,208,34113,155093,16055,68243,0,0,505,4803,0,0
Huesca,3622,12817,32107,122811,184337,721967,13498,49220,35918,431016,0,0
Teruel,1575,3131,31590,94020,94023,271055,14044,35718,3265,30153,0,0
Zaragoza,150511,259887,35231,115831,97642,265850,14590,37318,17783,174659,0,0
ARAGÓN,155708,275835,98928,332662,376002,1258872,42132,122256,0,0,0,0
Barcelona,0,0,20461,83352,39961,149355,1578,7531,1477,4806,0,0
Girona,15,67,15337,66594,17145,66662,733,2850,7386,81521,0,0
Lleida,226,834,45028,207645,95064,381652,15475,63164,24182,228354,0,0
Tarragona,0,0,6796,28124,10572,37011,2321,8124,23,150,0,0
CATALUÑA,241,901,87622,385715,162742,634680,20107,81669,33068,314831,0,0
BALEARES,0,0,3822,13285,7482,21840,11223,32759,285,1568,0,0
Ávila,0,0,30499,79060,0,0,0,0,0,0,0,0
Burgos,1147,2993,203693,890485,158231,550487,4900,16709,556,6127,0,0
León,30,137,46120,186766,21001,73469,2000,5600,54134,552167,0,0
Palencia,148,444,94962,345786,151098,489209,10000,34000,2969,28206,0,0
Salamanca,115,311,59419,167643,38698,100787,13500,34780,12662,155743,0,0
Segovia,0,0,55990,187456,64315,207281,31000,89000,150,1200,0,0
Soria,88,337,96147,369743,83707,310025,5000,18000,354,3768,0,0
Valladolid,468,1606,50387,162744,249482,767588,3000,8610,7900,79000,0,0
Zamora,119,209,57228,129108,68484,160954,17121,40446,15866,174182,0,0
CASTILLA Y LEÓN,2115,6037,694445,2518791,884471,2759443,96774,268050,0,0,0,0
MADRID,92,179,21241,51284,48448,95260,119,166,6132,78158,0,0
Albacete,236,419,60320,154511,92562,220281,52500,78630,10224,132912,0,0
Ciudad Real,141,155,42478,47262,101100,185880,67384,123911,0,0,3993,44800
Cuenca,171,684,24856,85715,232428,547943,56000,154059,708,7647,0,0
Guadalajara,43,992,61366,166000,94707,242131,9500,26904,3320,43066,0,0
Toledo,4727,6920,43534,92413,167892,364914,6452,17066,9510,131090,0,0
CASTILLA – LA MANCHA,5318,9170,232554,545901,0,0,0,0,0,0,0,0
Alicante,65,278,1272,3612,3233,6597,605,2445,179,1486,0,0
Castellón,30,88,639,1583,3355,5276,325,523,36,54,0,0
Valencia,0,0,1444,3163,6174,13303,2401,5172,344,5210,0,0
C. VALENCIANA,95,366,3355,8358,12762,25176,3331,8140,559,6750,0,0
R. DE MURCIA,110,385,6606,15473,4264,4245,23202,31133,122,1171,0,0
Badajoz,13613,27164,60127,132535,67020,132406,2397,4698,25390,260349,0,0
Cáceres,158,303,7436,13859,1639,2958,57,102,14158,152227,0,0
EXTREMADURA,13771,27467,67563,146394,68659,135364,2454,4800,39548,412576,0,0
Almería,503,456,1473,1598,0,0,9199,13795,0,0,43,58
Cádiz,61204,98384,9101,27200,837,927,5900,14500,3000,29220,0,0
Córdoba,71169,146808,17907,36774,4158,5489,9703,12806,4288,53474,0,0
Granada,3278,7220,7708,15808,24725,44577,26937,41102,2955,32857,0,0
Huelva,12375,23205,3603,8107,277,490,1109,1819,100,950,0,0
Jaén,10499,16981,2100,2997,3923,4852,2615,3234,0,0,817,8987
Málaga,20715,52561,4203,11516,8453,22099,939,2274,389,2806,91,117
Sevilla,127084,328050,51203,128536,15228,28251,1500,2100,10706,113146,0,0
ANDALUCÍA,306827,673665,97298,232536,57601,106685,57902,91630,0,0,0,0
Las Palmas,0,0,0,0,0,0,0,0,0,0,234,639
S.C. de Tenerife,0,0,158,158,0,0,97,97,383,898,43,100
CANARIAS,0,0,158,158,0,0,97,97,383,898,277,739
ESPAÑA,488306,999861,1459767,4941336,2436435,7113122,449177,1041270,307927,3250084,7063,74737
Alava,0,0,0,0,14276,78518,0,0,0,0,14,53
Avila,0,0,0,0,49455,99643,10253,20905,246,1968,0,0
CASTILLA–LA MANCHA,0,0,0,0,688689,1561149,191836,400570,23762,314715,3993,44800
Guipúzcoa,0,0,0,0,0,0,0,0,65,215,107,344
Vizcaya,0,0,0,0,0,0,0,0,60,193,75,233
PAIS VASCO,0,0,0,0,0,0,0,0,125,408,196,630
ARAGON,0,0,0,0,0,0,0,0,56966,635828,0,0
CASTILLA Y LEON,0,0,0,0,0,0,0,0,94837,1002361,0,0
ANDALUCIA,0,0,0,0,0,0,0,0,21438,232453,951,9162
