Provincia,Trigo duro - Superficie (hectáreas),Trigo duro - Producción (toneladas),Trigo blando y semiduro - Superficie (hectáreas),Trigo blando y semiduro - Producción (toneladas),Cebada 2 carreras - Superficie (hectáreas),Cebada 2 carreras - Producción (toneladas),Cebada 6 carreras - Superficie (hectáreas),Cebada 6 carreras - Producción (toneladas),Maíz híbrido - Superficie (hectáreas),Maíz híbrido - Producción (toneladas),Otros maíces - Superficie (hectáreas),Otros maíces - Producción (toneladas)
A Coruña,3,9,1731,5383,176,387,0,0,6532,45583,99,613
Lugo,93,246,2849,7550,28,64,0,0,1472,9899,441,2966
Ourense,3,9,7770,21950,459,1056,0,0,1917,12025,0,0
Pontevedra,2,5,147,340,5,10,0,0,4805,24634,0,0
GALICIA,101,269,12497,35223,668,1517,0,0,14726,92141,540,3579
P. DE ASTURIAS,0,0,63,126,0,0,0,0,244,635,220,572
CANTABRIA,0,0,714,2229,152,345,0,0,0,0,0,0
Alava,0,0,21307,142757,14846,90561,0,0,0,0,3,13
Guipúzcoa,0,0,1,5,0,0,0,0,65,228,34,119
Vizcaya,0,0,0,0,0,0,0,0,32,130,39,148
PAÍS VASCO,0,0,21308,142762,14846,90561,0,0,0,0,0,0
NAVARRA,533,1370,87039,415498,69193,268105,0,0,16655,198103,0,0
LA RIOJA,10,47,28984,140238,17385,79443,0,0,388,4677,0,0
Huesca,1901,5739,84207,340626,158183,657231,2660,9864,71927,1037664,0,0
Teruel,1129,1828,39265,134188,100231,318910,5806,18090,1990,21420,0,0
Zaragoza,66336,197256,66455,226756,173055,578548,3531,10041,17797,227581,0,0
ARAGÓN,69366,204823,189927,701570,431469,1554689,11997,37995,0,0,0,0
Barcelona,26,130,26227,116663,32617,122995,329,1242,201,1175,0,0
Girona,43,134,12909,60011,16042,64185,668,2122,6136,65206,0,0
Lleida,217,969,56094,298650,92414,454990,371,1827,31459,360025,0,0
Tarragona,14,37,7618,33137,12133,44233,0,0,23,215,0,0
CATALUÑA,300,1270,102848,508461,153206,686403,1368,5191,37819,426621,0,0
BALEARES,1,2,5976,11295,8012,11137,12018,16705,113,624,0,0
Avila,7,21,36826,125450,42727,137007,11033,34537,1693,21052,0,0
Burgos,387,1643,226415,1124254,147377,659016,4500,19886,938,14062,0,0
León,44,256,51318,219369,20972,77909,1420,4686,75219,1007935,0,0
Palencia,177,601,137920,627856,114660,426334,10000,37279,0,0,4202,49621
Salamanca,40,179,72799,264586,37774,134164,875,2931,17580,235168,0,0
Segovia,98,317,76804,270713,65265,218845,13000,43100,34,354,0,0
Soria,2,6,115403,482025,84982,318791,5040,18602,113,1413,0,0
Valladolid,601,2751,118395,478778,181467,701289,1750,6755,6426,86931,0,0
Zamora,94,371,70522,284159,62606,246241,3296,12965,15627,214543,0,0
CASTILLA Y LEÓN,1450,6145,906402,3877190,757830,2919596,50914,180741,0,0,0,0
MADRID,290,929,20509,68966,44041,106558,457,1301,4251,51249,125,875
Albacete,1222,8969,64999,229337,96427,318159,21000,59400,8500,119000,0,0
Ciudad Real,195,647,44539,156289,95831,352362,41071,152594,1481,17084,0,0
Cuenca,483,1549,43579,135551,227547,767950,32370,109060,674,8307,0,0
Guadalajara,207,346,69273,247228,84684,262437,4457,13812,2843,39718,0,0
Toledo,1418,3440,53914,140396,116266,333848,22803,60817,5002,60024,0,0
CASTILLA–LA MANCHA,3525,14951,276304,908801,620755,2034756,121701,395683,18500,244133,0,0
Alicante,78,439,1492,5212,2254,6280,766,2179,19,228,52,624
Castellón,17,39,683,1497,2902,5513,136,282,29,167,75,180
Valencia,131,422,2488,8327,7898,26119,416,1376,98,1372,0,0
C. VALENCIANA,226,900,4663,15036,13054,37912,1318,3837,146,1767,127,804
R. DE MURCIA,356,434,9914,21249,9713,25658,10445,20452,149,1163,0,0
Badajoz,5532,16920,62816,190724,49106,133722,2438,5617,24340,323722,0,0
Cáceres,224,566,4230,11169,670,1452,42,76,17849,235875,0,0
EXTREMADURA,5756,17486,67046,201893,49776,135174,2480,5693,42189,559597,0,0
Almería,92,111,2628,3329,0,0,8296,11588,7,35,0,0
Cádiz,39650,115769,15560,42770,9198,24904,905,2440,0,0,2040,24367
Córdoba,37966,100096,22705,66498,7620,16779,10625,23659,683,8196,0,0
Granada,2147,5291,11046,18927,21376,37932,14329,16968,0,0,2084,23402
Huelva,8985,34134,5219,20828,1303,4553,120,396,70,950,0,0
Jaén,4690,11004,2986,7999,3847,8738,2459,5115,571,6167,0,0
Málaga,10943,27816,6171,15343,11902,30271,300,795,160,1122,0,0
Sevilla,72670,227559,65100,223308,17440,53744,1940,6194,2220,27350,0,0
ANDALUCÍA,177143,521780,131415,399002,72686,176921,38974,67155,0,0,0,0
Las Palmas,0,0,65,81,62,92,0,0,156,343,138,284
S.C. de Tenerife,0,0,127,122,41,39,0,0,206,468,23,52
CANARIAS,0,0,192,203,103,131,0,0,362,811,161,336
ESPAÑA,259057,770406,1865801,7449742,2262889,8128906,251672,734753,348694,4493822,9575,103836
PAIS VASCO,0,0,0,0,0,0,0,0,97,358,76,280
ARAGON,0,0,0,0,0,0,0,0,91714,1286665,0,0
CASTILLA Y LEON,0,0,0,0,0,0,0,0,117630,1581458,4202,49621
ANDALUCIA,0,0,0,0,0,0,0,0,3711,43820,4124,47769
