Provincia,Trigo duro - Superficie (hectáreas),Trigo duro - Producción (toneladas),Trigo blando y semiduro - Superficie (hectáreas),Trigo blando y semiduro - Producción (toneladas),Cebada 2 carreras - Superficie (hectáreas),Cebada 2 carreras - Producción (toneladas),Cebada 6 carreras - Superficie (hectáreas),Cebada 6 carreras - Producción (toneladas),Maíz híbrido - Superficie (hectáreas),Maíz híbrido - Producción (toneladas),Otros maíces - Superficie (hectáreas),Otros maíces - Producción (toneladas)
A Coruña,0,0,1838,14369,26,51,0,0,8586,63086,358,2626
Lugo,0,0,3421,6185,159,312,0,0,1422,9595,474,3199
Ourense,0,0,9690,23062,51,100,0,0,1811,13365,0,0
Pontevedra,0,0,529,1926,2,4,0,0,5434,35554,0,0
GALICIA,0,0,15478,45542,238,467,0,0,17253,121600,832,5825
P. DE ASTURIAS,0,0,52,57,0,0,0,0,0,0,320,700
CANTABRIA,0,0,560,1378,0,0,281,368,325,1353,0,0
Álava,0,0,25137,155849,0,0,0,0,0,0,0,0
PAÍS VASCO,0,0,25137,155849,14407,82840,0,0,0,0,0,0
NAVARRA,3970,5049,77079,336632,87968,0,0,327248,13520,149707,948,14263
LA RIOJA,74,270,36515,167299,13762,52409,0,0,570,5643,0,0
Huesca,2974,6077,46936,196708,172750,508639,11146,68820,45578,567446,0,0
Teruel,1539,1125,35721,106776,95551,221440,10748,20807,3701,37518,0,0
Zaragoza,128894,198845,51062,184520,108151,308680,18730,44040,22069,239587,0,0
ARAGÓN,133407,206047,133719,488004,376452,1038759,40624,133667,0,0,0,0
Barcelona,0,0,24161,94253,37009,140307,374,1417,981,6504,0,0
Girona,17,72,16573,72127,14315,61449,581,2097,4478,54175,3608,38922
Lleida,108,411,53731,205309,86701,242015,13880,39398,27499,270473,0,0
Tarragona,0,0,7766,28417,12392,38533,0,0,38,313,0,0
CATALUÑA,125,483,102231,400106,150417,482304,14835,42912,32996,331465,3608,38922
BALEARES,0,0,4058,14555,7073,18426,10610,27639,313,1722,0,0
Ávila,0,0,34687,122892,0,0,0,0,0,0,0,0
Burgos,902,2544,207219,952125,157956,611529,5000,19150,659,7262,0,0
León,64,322,49349,199837,17920,67202,2200,6820,56285,585364,0,0
Palencia,51,212,99533,415068,139848,463691,10000,33458,3539,31849,0,0
Salamanca,47,132,65765,238534,38885,107254,11000,29227,13691,177799,0,0
Segovia,0,0,63150,224616,66000,216677,27580,83132,150,1200,0,0
Soria,80,314,100837,396361,93095,333354,5000,17705,343,3913,0,0
Valladolid,253,1004,62510,238272,229839,736414,3000,9651,8863,97493,0,0
Zamora,66,120,57121,188628,59004,172998,14751,43250,17526,210018,0,0
CASTILLA Y LEÓN,1463,4648,740171,2976333,851547,2850592,88812,270601,0,0,0,0
MADRID,137,263,19815,65390,38954,133587,451,1108,5545,74719,0,0
Albacete,94,299,73822,249032,87622,292584,44000,109800,14918,193934,0,0
Ciudad Real,231,431,45600,84744,91167,226626,60777,151082,5324,62348,0,0
Cuenca,88,290,33384,121722,210376,728250,52700,194749,1148,12647,0,0
Guadalajara,9,30,68029,206723,85654,261154,9500,28500,3555,42625,0,0
Toledo,1991,4682,53547,146095,155962,372952,5668,17410,10437,144704,0,0
CASTILLA – LA MANCHA,2413,5732,274382,808316,0,0,0,0,0,0,0,0
Alicante,77,271,1471,3903,3206,6365,580,2349,259,2125,0,0
Castellón,40,110,658,1622,3417,6667,351,645,42,119,0,0
Valencia,0,0,2344,6150,5943,17557,2311,7000,204,2448,0,0
C. VALENCIANA,117,381,4473,11675,12566,30589,3242,9994,505,4692,0,0
R. DE MURCIA,516,1115,6823,14738,7377,9150,19885,22185,126,1197,0,0
Badajoz,7284,17742,62072,167330,51546,98643,1812,2672,35331,447573,0,0
Cáceres,42,87,6446,14014,1165,2324,40,74,16718,213840,0,0
EXTREMADURA,7326,17829,68518,181344,52711,100967,1852,2746,52049,661413,0,0
Almería,461,799,1811,5117,0,0,9021,25419,0,0,61,69
Cádiz,53886,163706,10700,30398,650,1549,5898,17337,3377,32618,0,0
Córdoba,53471,142022,23452,62382,2887,5827,6735,13612,6625,82559,0,0
Granada,2362,6971,10194,28653,18753,42535,30130,89545,0,0,3451,39546
Huelva,8925,31238,3480,12876,250,700,1005,2513,225,2347,0,0
Jaén,6913,16432,3207,7877,3972,10659,2648,7106,0,0,1299,15588
Málaga,20163,48877,4150,10729,8077,19550,897,2416,388,2569,45,107
Sevilla,82325,248490,50432,150887,11134,24582,1050,1976,15428,185367,0,0
ANDALUCÍA,228506,658535,107426,308919,45723,105402,57384,159924,0,0,0,0
Las Palmas,0,0,0,0,0,0,0,0,198,572,24,24
S.C. de Tenerife,0,0,162,162,0,0,82,82,381,888,42,99
CANARIAS,0,0,162,162,0,0,82,82,579,1460,66,123
ESPAÑA,378054,900352,1616599,5976299,2289976,6787058,410703,1500015,358450,4084167,10814,115760
Alava,0,0,0,0,14407,82840,0,0,0,0,2,8
Avila,0,0,0,0,49000,141473,10281,28208,715,7604,0,0
CASTILLA–LA MANCHA,0,0,0,0,630781,1881566,172645,501541,35382,456258,0,0
Guipúzcoa,0,0,0,0,0,0,0,0,65,223,107,361
Vizcaya,0,0,0,0,0,0,0,0,60,202,75,248
PAIS VASCO,0,0,0,0,0,0,0,0,125,425,184,617
ARAGON,0,0,0,0,0,0,0,0,71348,844551,0,0
CASTILLA Y LEON,0,0,0,0,0,0,0,0,101771,1122502,0,0
ANDALUCIA,0,0,0,0,0,0,0,0,26043,305460,4856,55310
