Provincia,Trigo duro - Superficie (hectáreas),Trigo duro - Producción (toneladas),Trigo blando y semiduro - Superficie (hectáreas),Trigo blando y semiduro - Producción (toneladas),Cebada 2 carreras - Superficie (hectáreas),Cebada 2 carreras - Producción (toneladas),Cebada 6 carreras - Superficie (hectáreas),Cebada 6 carreras - Producción (toneladas),Maíz híbrido - Superficie (hectáreas),Maíz híbrido - Producción (toneladas),Otros maíces - Superficie (hectáreas),Otros maíces - Producción (toneladas)
A Coruña,0,0,1731,5368,49,129,0,0,8863,72439,369,3014
Lugo,0,0,3681,9755,189,382,0,0,1703,12802,568,4267
Ourense,0,0,8235,26813,315,653,0,0,2013,15597,0,0
Pontevedra,0,0,308,921,2,4,0,0,6113,51313,0,0
GALICIA,0,0,13955,42857,555,1168,0,0,18692,152151,937,7281
P. DE ASTURIAS,0,0,50,60,0,0,0,0,200,400,205,450
CANTABRIA,0,0,178,436,0,0,85,110,133,346,0,0
Alava,0,0,24705,123525,14870,62454,0,0,0,0,13,42
Guipúzcoa,0,0,0,0,0,0,0,0,65,208,163,500
Vizcaya,0,0,0,0,0,0,0,0,64,206,75,234
PAÍS VASCO,0,0,24705,123525,14870,62454,0,0,0,0,0,0
NAVARRA,633,1452,71600,339648,94510,349672,0,0,20995,238899,0,0
LA RIOJA,55,160,32719,147585,18058,67787,0,0,896,10126,0,0
Huesca,1748,6112,49753,198248,187731,662529,8200,31308,52431,656803,0,0
Teruel,945,841,41222,69765,94012,164492,12820,20928,0,0,4067,46895
Zaragoza,85132,151381,57890,162256,175964,413702,4512,10608,22960,267074,0,0
ARAGÓN,87825,158334,148865,430269,457707,1240723,25532,62844,0,0,0,0
Barcelona,24,86,23838,86057,39316,115131,397,1163,153,1233,0,0
Girona,0,0,14610,58609,17437,71992,727,2380,7995,97198,0,0
Lleida,147,553,48826,183864,94736,293601,15166,47796,29934,305072,0,0
Tarragona,0,0,6284,16945,15853,42844,0,0,65,585,0,0
CATALUÑA,171,639,93558,345475,167342,523568,16290,51339,38147,404088,0,0
BALEARES,25,45,4972,8990,9362,14240,14043,21359,0,0,220,1209
Avila,6,9,38863,72300,38542,65591,12835,17247,1591,22131,0,0
Burgos,351,1062,233256,976179,153174,549945,3500,12407,950,9975,0,0
León,50,264,62721,222465,20251,58457,1200,2640,66508,658429,0,0
Palencia,93,321,125783,420151,125205,349591,10000,21981,4616,46160,0,0
Salamanca,54,126,76668,184316,38788,74703,3000,5818,18300,224175,0,0
Segovia,166,398,71345,159648,64402,124061,24000,45559,111,999,0,0
Soria,58,150,106225,299576,99934,266063,5000,12890,354,4071,0,0
Valladolid,730,2244,93969,268454,213260,512254,2682,6444,9224,101464,0,0
Zamora,97,176,74642,176497,56084,108486,11560,22341,19698,230467,0,0
CASTILLA Y LEÓN,1605,4750,883472,2779586,809640,2109151,73777,147327,0,0,0,0
MADRID,32,63,28520,56290,38278,61372,542,869,6749,87339,520,6729
Albacete,373,264,68307,163329,128410,232209,33000,45900,13800,186300,0,0
Ciudad Real,295,391,54708,69643,91269,188876,59800,125920,7042,77748,0,0
Cuenca,226,565,34428,103211,215767,813000,68250,144043,1083,12990,0,0
Guadalajara,59,885,70372,144521,90174,156548,9450,16065,3507,41904,0,0
Toledo,1625,2244,64535,101088,148892,279665,2781,4172,9737,120667,0,0
CASTILLA–LA MANCHA,2578,4349,292350,581792,674512,1670298,173281,336100,35169,439609,0,0
Alicante,21,59,1183,2028,2173,958,1832,2942,410,4920,0,0
Castellón,8,4,587,323,4188,1785,425,208,61,316,25,8
Valencia,48,22,1553,924,9000,3997,2250,923,368,4200,0,0
C. VALENCIANA,77,85,3323,3275,15361,6740,4507,4073,839,9436,25,8
R. DE MURCIA,2015,2738,5211,7080,10261,2108,10085,3575,424,4313,50,509
Badajoz,5270,9175,78797,164686,43028,65403,0,0,40099,503242,922,2793
Cáceres,4,7,5760,8444,493,672,0,0,21848,273318,0,0
EXTREMADURA,5274,9182,84557,173130,43521,66075,0,0,61947,776560,922,2793
Almería,228,35,1787,767,0,0,10760,3954,0,0,9,29
Cádiz,42392,137771,22026,77092,2150,7800,6013,21900,3343,40116,0,0
Córdoba,47337,165630,38857,135516,1659,3403,6637,14100,7092,88479,0,0
Granada,1884,2598,11895,12117,16358,16598,36497,24529,0,0,3218,27629
Huelva,9362,28086,6184,20407,190,637,790,1625,92,966,0,0
Jaén,3960,11411,5751,7948,5069,9160,3308,5860,1795,19900,12,120
Málaga,15657,33595,6710,7374,11906,23276,1472,2877,398,2706,49,113
Sevilla,76020,264510,93002,345735,16237,42557,850,1785,16443,216323,0,0
ANDALUCÍA,196840,643636,186212,606956,53569,103431,66327,76630,0,0,0,0
Las Palmas,0,0,103,155,66,98,64,96,171,240,242,824
S.C. de Tenerife,0,0,192,192,81,82,0,0,433,1009,48,112
CANARIAS,0,0,295,347,147,180,64,96,604,1249,290,936
ESPAÑA,297130,825433,1874542,5647301,2407693,6278967,384533,704322,410830,4715168,10775,95477
PAIS VASCO,0,0,0,0,0,0,0,0,129,414,251,776
ARAGON,0,0,0,0,0,0,0,0,75391,923877,4067,46895
CASTILLA Y LEON,0,0,0,0,0,0,0,0,121352,1297871,0,0
ANDALUCIA,0,0,0,0,0,0,0,0,29163,368490,3288,27891
