Provincia,Trigo duro - Superficie (hectáreas),Trigo duro - Producción (toneladas),Trigo blando y semiduro - Superficie (hectáreas),Trigo blando y semiduro - Producción (toneladas),Cebada 2 carreras - Superficie (hectáreas),Cebada 2 carreras - Producción (toneladas),Cebada 6 carreras - Superficie (hectáreas),Cebada 6 carreras - Producción (toneladas),Maíz híbrido - Superficie (hectáreas),Maíz híbrido - Producción (toneladas),Otros maíces - Superficie (hectáreas),Otros maíces - Producción (toneladas)
A Coruña,0,0,1617,4770,118,248,0,0,7382,44439,308,1854
Lugo,0,0,3506,8064,177,312,0,0,1691,10737,564,3581
Ourense,0,0,8583,19741,389,685,0,0,1949,12376,0,0
Pontevedra,0,0,336,733,0,0,0,0,5964,30715,0,0
GALICIA,0,0,14042,33308,684,1245,0,0,16986,98267,872,5435
P. DE ASTURIAS,0,0,50,65,0,0,0,0,227,522,200,480
CANTABRIA,0,0,591,1448,196,255,0,0,0,0,0,0
Alava,6,22,23952,143712,13268,63686,0,0,0,0,1,4
Guipúzcoa,0,0,0,0,0,0,0,0,65,182,40,112
Vizcaya,0,0,0,0,0,0,0,0,31,101,39,109
PAÍS VASCO,6,22,23952,143712,13268,63686,0,0,0,0,0,0
NAVARRA,1150,4162,72958,359619,86241,359935,0,0,13651,149705,0,0
LA RIOJA,44,223,29106,109437,19033,69965,0,0,495,5746,0,0
Huesca,6061,18742,53979,228484,183471,772614,3149,12547,59805,791818,5000,54935
Teruel,2151,1305,36273,57827,84323,132329,15729,24171,2576,27090,0,0
Zaragoza,117340,217438,46071,116880,164090,365673,4985,11157,17883,204061,0,0
ARAGÓN,125552,237485,136323,403191,431884,1270616,23863,47875,0,0,0,0
Barcelona,64,213,20967,83261,38309,129416,370,1332,121,765,0,0
Girona,51,82,11382,32093,18840,54520,785,1802,6601,69050,0,0
Lleida,201,763,45593,156755,110199,414030,1113,4182,30618,295363,0,0
Tarragona,9,38,5591,15137,13207,29417,0,0,122,1068,0,0
CATALUÑA,325,1096,83533,287246,180555,627383,2268,7316,37462,366246,0,0
BALEARES,5,8,5415,8009,7721,11443,11582,17164,133,732,0,0
Avila,99,342,35781,27589,40686,28702,12585,8349,1390,18070,0,0
Burgos,1185,2095,219382,590377,136694,226708,4500,7236,0,0,743,9659
León,1255,3226,61380,131816,16958,22250,1350,867,53875,522588,0,0
Palencia,810,1735,127661,193195,106910,101573,10000,9787,0,0,170,1360
Salamanca,349,679,59990,79836,38882,52675,1000,1254,16299,211887,0,0
Segovia,129,301,74319,78788,61048,82538,18000,23419,80,880,0,0
Soria,454,453,96081,172691,84992,129166,8040,11466,66,792,0,0
Valladolid,3143,8318,105452,127843,180220,189699,1750,1858,3873,28037,0,0
Zamora,640,1986,70527,83806,47450,62717,9719,12845,11783,147288,0,0
CASTILLA Y LEÓN,8064,19135,850573,1485941,713840,896028,66944,77081,0,0,0,0
MADRID,429,688,17516,23540,42068,65662,859,1127,5105,55517,326,3545
Albacete,3495,22069,64268,173605,106000,270700,25713,49480,8000,108000,0,0
Ciudad Real,171,437,39000,75644,100892,285059,43539,126421,3828,44025,0,0
Cuenca,930,3297,38766,94743,193306,531420,67918,186713,0,0,1250,14963
Guadalajara,1508,1579,58267,106962,11901,21955,81577,138872,2521,30220,0,0
Toledo,4390,4752,46711,58968,146770,242276,4085,3922,6074,64735,0,0
CASTILLA–LA MANCHA,10494,32134,247012,509922,558869,1351410,222832,505408,20423,246980,1250,14963
Alicante,94,153,1216,2642,1888,3400,615,1190,52,572,160,1760
Castellón,38,59,911,1615,3080,3855,345,467,71,388,58,113
Valencia,101,178,2210,4684,7058,13943,1765,3487,252,2822,0,0
C. VALENCIANA,233,390,4337,8941,12026,21198,2725,5144,375,3782,218,1873
R. DE MURCIA,429,429,8039,9497,9914,11032,11965,13933,125,1172,0,0
Badajoz,9053,20024,51845,128021,56097,120404,0,0,26826,348953,0,0
Cáceres,99,184,4029,6810,823,1622,0,0,18285,258221,0,0
EXTREMADURA,9152,20208,55874,134831,56920,122026,0,0,45111,607174,0,0
Almería,364,131,2862,3734,0,0,8816,13818,10,45,0,0
Cádiz,58614,122202,9794,19302,8462,25552,800,1988,1772,22076,0,0
Córdoba,51050,194500,14310,41272,2894,3768,11576,20589,3126,35882,0,0
Granada,2809,4517,7882,9945,11774,29426,32546,36076,0,0,2188,23156
Huelva,11114,51124,3903,17564,650,2795,730,2555,171,1700,0,0
Jaén,6784,19474,2262,5403,3139,7149,4709,10676,575,6900,0,0
Málaga,15079,37087,4338,10236,11151,29678,1653,3934,191,1123,0,0
Sevilla,115892,316633,46621,136877,21475,49085,721,1679,8158,101789,0,0
ANDALUCÍA,261706,745668,91972,244333,59545,147453,61551,91315,0,0,0,0
Las Palmas,0,0,165,240,122,192,0,0,239,699,209,456
S.C. de Tenerife,0,0,177,181,52,52,0,0,280,636,31,71
CANARIAS,0,0,342,421,174,244,0,0,519,1335,240,527
ESPAÑA,417589,1061648,1641635,3763461,2192938,5019581,404589,766363,322341,3659487,11287,116158
PAIS VASCO,0,0,0,0,0,0,0,0,96,283,80,225
ARAGON,0,0,0,0,0,0,0,0,80264,1022969,5000,54935
CASTILLA Y LEON,0,0,0,0,0,0,0,0,87366,929542,913,11019
ANDALUCIA,0,0,0,0,0,0,0,0,14003,169515,2188,23156
