Provincia,Trigo duro - Superficie (hectáreas),Trigo duro - Producción (toneladas),Trigo blando y semiduro - Superficie (hectáreas),Trigo blando y semiduro - Producción (toneladas),Cebada 2 carreras - Superficie (hectáreas),Cebada 2 carreras - Producción (toneladas),Cebada 6 carreras - Superficie (hectáreas),Cebada 6 carreras - Producción (toneladas),Maíz híbrido - Superficie (hectáreas),Maíz híbrido - Producción (toneladas),Otros maíces - Superficie (hectáreas),Otros maíces - Producción (toneladas)
A Coruña,0,0,3117,13341,0,0,63,290,7620,39316,318,1641
Lugo,0,0,3434,16518,0,0,10,54,1091,4430,364,1552
Ourense,0,0,10186,47670,0,0,30,143,1745,8318,327,1560
Pontevedra,0,0,888,3516,0,0,33,146,5601,28842,353,1820
GALICIA,0,0,17625,81045,0,0,136,633,16057,80906,1362,6573
P. DE ASTURIAS,50,110,0,0,0,0,0,0,360,920,40,80
CANTABRIA,0,0,935,2392,0,0,540,767,0,0,0,0
Álava,0,0,26580,122268,0,0,0,0,0,0,0,0
Guipúzcoa,0,0,0,0,0,0,0,0,110,370,190,627
Vizcaya,0,0,0,0,0,0,0,0,65,202,75,225
PAÍS VASCO,0,0,26580,122268,15581,74010,0,0,0,0,0,0
NAVARRA,7730,6046,69659,291453,103643,346593,0,0,14137,136179,875,12984
LA RIOJA,91,227,32778,140847,22283,80727,0,0,893,7551,0,0
Huesca,699,1378,34786,139880,199123,608358,24482,66395,29817,286243,0,0
Teruel,624,494,29918,71940,108394,226543,15987,30943,1103,9202,2801,23737
Zaragoza,169991,195840,40313,123073,106000,242400,14345,32012,26136,260989,0,0
ARAGÓN,171314,197712,105017,334893,413517,1077301,54814,129350,0,0,0,0
Barcelona,0,0,19640,63912,44816,96221,1874,5179,1564,6339,0,0
Girona,0,0,18181,48027,17000,35000,1725,4307,6773,66947,0,0
Lleida,100,150,44924,68376,103028,110609,17000,16184,24367,244391,0,0
Tarragona,0,0,6408,18654,11687,37844,2565,8301,123,1028,0,0
CATALUÑA,100,150,89153,198969,176531,279674,23164,33971,32827,318705,0,0
BALEARES,0,0,4241,16554,8657,29409,12985,44113,473,2602,0,0
Ávila,0,0,27187,105413,0,0,0,0,0,0,0,0
Burgos,2391,8603,203829,954766,211026,944445,6715,30889,495,4862,0,0
León,0,0,48933,221153,31301,145461,2800,11200,59000,507400,0,0
Palencia,0,0,109245,445238,193296,911861,10000,47001,3719,26033,0,0
Salamanca,42,147,66791,279402,59880,257595,19600,83520,14377,136400,0,0
Segovia,0,0,58236,234538,89811,388957,37920,145265,197,1576,0,0
Soria,0,0,88337,300876,138685,459081,6000,19800,523,5490,0,0
Valladolid,0,0,40984,183218,301818,1295188,29830,131030,13373,133730,0,0
Zamora,441,1118,57649,239245,88836,398038,22208,100139,19868,218248,0,0
CASTILLA Y LEÓN,2874,9868,701191,2963849,1183452,5056660,156299,647380,0,0,0,0
MADRID,3,10,14402,50333,47497,135739,871,2536,5559,54873,0,0
Albacete,0,0,52493,155440,102744,278285,75000,203140,13303,172669,0,0
Ciudad Real,0,0,38820,97461,121525,372466,60762,180155,0,0,0,0
Cuenca,0,0,18998,54098,223785,628020,65500,160100,1270,14619,0,0
Guadalajara,0,0,48072,168415,93445,333100,25873,92228,3858,50014,0,0
Toledo,11381,17639,37134,82808,184802,464422,5768,21680,13093,181198,0,0
CASTILLA – LA MANCHA,11381,17639,195517,558222,0,0,0,0,0,0,0,0
Alicante,100,215,2299,4795,4425,6322,490,700,370,2518,0,0
Castellón,25,75,690,1910,3887,6625,365,657,23,50,0,0
Valencia,0,0,1567,3540,6853,19714,2936,8445,509,5090,0,0
C. VALENCIANA,125,290,4556,10245,15165,32661,3791,9802,902,7658,0,0
R. DE MURCIA,223,826,4568,10975,3571,5431,32066,39827,244,2318,0,0
Badajoz,21463,67503,80135,273051,88492,195156,7428,15948,40676,449470,0,0
Cáceres,158,395,9905,25015,2585,5687,207,455,19893,223418,0,0
EXTREMADURA,21621,67898,90040,298066,91077,200843,7635,16403,60569,672888,0,0
Almería,739,547,1525,1393,0,0,12314,12459,0,0,23,98
Cádiz,66589,182634,18933,61935,966,6813,6188,12763,4613,53268,0,0
Córdoba,84702,242363,28999,94467,3412,6545,13654,24638,4149,51199,0,0
Granada,6819,8005,5877,10997,28260,49912,41919,59974,2617,20729,0,0
Huelva,9517,26500,9898,35577,116,400,1000,1773,236,2105,0,0
Jaén,13490,36152,3372,9037,5301,14415,4701,12784,781,9345,0,0
Málaga,27853,88747,1778,6680,15670,32874,1741,4909,576,4187,71,174
Sevilla,106440,299120,99418,346272,17480,48529,1630,3373,14051,171068,0,0
ANDALUCÍA,316149,884068,169800,566358,71205,159488,83147,132673,0,0,0,0
Las Palmas,0,0,4,4,0,0,4,4,0,0,213,621
S.C. de Tenerife,0,0,143,144,0,0,100,100,379,887,42,99
CANARIAS,0,0,147,148,0,0,104,104,379,887,255,720
ESPAÑA,531661,1184844,1526209,5646617,2878480,9554829,608455,1714862,360764,3615117,5720,45316
Alava,0,0,0,0,15581,74010,0,0,0,0,28,98
Avila,0,0,0,0,68799,256034,21226,78536,1034,8484,0,0
CASTILLA–LA MANCHA,0,0,0,0,726301,2076293,232903,657303,31524,418500,0,0
PAIS VASCO,0,0,0,0,0,0,0,0,175,572,293,950
ARAGON,0,0,0,0,0,0,0,0,57056,556434,2801,23737
CASTILLA Y LEON,0,0,0,0,0,0,0,0,112586,1042223,0,0
ANDALUCIA,0,0,0,0,0,0,0,0,27023,311901,94,272
