Provincia,Trigo duro - Superficie (hectáreas),Trigo duro - Producción (toneladas),Trigo blando y semiduro - Superficie (hectáreas),Trigo blando y semiduro - Producción (toneladas),Cebada 2 carreras - Superficie (hectáreas),Cebada 2 carreras - Producción (toneladas),Cebada 6 carreras - Superficie (hectáreas),Cebada 6 carreras - Producción (toneladas),Maíz híbrido - Superficie (hectáreas),Maíz híbrido - Producción (toneladas),Otros maíces - Superficie (hectáreas),Otros maíces - Producción (toneladas)
A Coruña,2,6,1870,5685,184,379,0,0,6285,43522,203,1218
Lugo,8,19,2690,6456,22,47,0,0,1531,10089,532,3506
Ourense,0,0,8685,23449,691,946,0,0,1900,11446,0,0
Pontevedra,10,22,197,438,4,8,0,0,5248,26293,0,0
GALICIA,20,47,13442,36028,901,1380,0,0,14964,91350,735,4724
P. DE ASTURIAS,0,0,65,130,0,0,0,0,244,635,234,608
CANTABRIA,0,0,530,1200,152,343,0,0,0,0,0,0
Alava,0,0,20335,142345,17194,114770,0,0,0,0,4,18
Guipúzcoa,0,0,2,11,0,0,0,0,65,215,36,118
Vizcaya,0,0,0,0,0,0,0,0,32,126,40,144
PAÍS VASCO,0,0,20337,142356,17194,114770,0,0,0,0,0,0
NAVARRA,375,1315,77079,416918,77718,334378,0,0,16106,183380,0,0
LA RIOJA,31,170,27264,148133,20042,105688,0,0,394,4793,0,0
Huesca,1701,6603,66137,318105,178895,762306,2996,12008,66339,826916,0,0
Teruel,1069,1964,34239,95964,100974,331918,2549,7317,1685,19003,0,0
Zaragoza,57515,167503,56612,193275,191840,648933,3915,11287,15839,202906,0,0
ARAGÓN,60285,176070,156988,607344,471709,1743157,9460,30612,0,0,0,0
Barcelona,57,283,23106,105715,34303,140157,347,1416,179,1105,0,0
Girona,14,35,10274,35333,18494,47186,771,1560,5989,79807,0,0
Lleida,163,718,50161,264988,102036,547176,410,2197,33830,394005,0,0
Tarragona,27,92,6767,25654,13426,46519,0,0,79,790,0,0
CATALUÑA,261,1128,90308,431690,168259,781038,1528,5173,40077,475707,0,0
BALEARES,3,5,6072,10486,8476,11291,12715,16936,125,686,0,0
Avila,5,29,33499,146131,41882,172878,12537,51075,1278,15208,0,0
Burgos,341,1607,184171,965401,174734,926134,5000,26370,681,9456,0,0
León,180,987,53480,243980,20856,90087,1287,5097,71837,894371,0,0
Palencia,154,834,118009,453920,127775,626355,10000,49027,0,0,4109,48568
Salamanca,55,212,69188,286921,37005,155987,1000,4117,17082,227259,0,0
Segovia,7,22,66657,270571,65473,267326,15000,60400,51,536,0,0
Soria,17,90,87740,381460,101990,428552,5040,20827,79,948,0,0
Valladolid,752,3356,104365,512921,197051,924160,1750,8208,5609,72440,0,0
Zamora,165,803,69471,300307,54029,236660,13507,59163,14856,214625,0,0
CASTILLA Y LEÓN,1676,7940,786580,3561612,820795,3828139,65121,284284,0,0,0,0
MADRID,183,509,18274,51264,46007,127072,946,2477,4519,56046,128,899
Albacete,505,3535,67042,253266,104576,377044,21500,69125,6800,97920,0,0
Ciudad Real,229,843,42150,147438,100585,381641,43108,166090,1224,13178,0,0
Cuenca,234,665,34706,111161,211434,756103,59509,212804,656,7910,0,0
Guadalajara,157,158,59004,239910,95616,339420,10623,37710,2485,32227,0,0
Toledo,1424,4369,48220,166459,136443,512443,8710,32713,4651,47905,0,0
CASTILLA–LA MANCHA,2549,9570,251122,918234,648654,2366651,143450,518442,15816,199140,0,0
Alicante,71,295,1317,4508,2005,5616,1003,2810,19,228,122,1452
Castellón,30,70,765,1671,2877,5825,136,306,35,191,65,161
Valencia,95,293,2326,6959,903,2874,7214,22352,79,1182,0,0
C. VALENCIANA,196,658,4408,13138,5785,14315,8353,25468,133,1601,187,1613
R. DE MURCIA,148,331,8821,26777,10789,40449,11573,32158,204,2066,0,0
Badajoz,5016,14723,62236,200139,50939,155199,8989,22070,23612,313072,0,0
Cáceres,245,647,4451,11171,688,1948,205,460,17384,233120,0,0
EXTREMADURA,5261,15370,66687,211310,51627,157147,9194,22530,40996,546192,0,0
Almería,69,135,2901,6965,10,15,8727,28867,3,16,0,0
Cádiz,43442,106371,15732,47120,11335,25340,985,3152,2054,29153,0,0
Córdoba,35914,133007,22076,81300,9383,31946,13647,48454,984,12300,0,0
Granada,1671,4404,12310,29054,20779,45807,17080,38448,0,0,1993,22018
Huelva,9197,27683,5196,18026,1800,5400,242,726,120,1591,0,0
Jaén,4189,14737,2384,8525,5238,15033,1746,4656,654,7194,0,0
Málaga,11950,32185,6219,15624,13926,41139,328,935,174,1653,0,0
Sevilla,73483,255820,66663,246143,29938,90998,3327,10844,2736,36686,0,0
ANDALUCÍA,179915,574342,133481,452757,92409,255678,46082,136082,0,0,0,0
Las Palmas,0,0,102,113,57,87,0,0,156,341,190,351
S.C. de Tenerife,0,0,136,115,43,35,0,0,207,452,23,50
CANARIAS,0,0,238,228,100,122,0,0,363,793,213,401
ESPAÑA,250903,787455,1661696,7029605,2440617,9881618,308422,1074162,336099,4134991,7679,79111
PAIS VASCO,0,0,0,0,0,0,0,0,97,341,80,280
ARAGON,0,0,0,0,0,0,0,0,83863,1048825,0,0
CASTILLA Y LEON,0,0,0,0,0,0,0,0,111473,1434843,4109,48568
ANDALUCIA,0,0,0,0,0,0,0,0,6725,88593,1993,22018
