Provincia,Trigo duro - Superficie (hectáreas),Trigo duro - Producción (toneladas),Trigo blando y semiduro - Superficie (hectáreas),Trigo blando y semiduro - Producción (toneladas),Cebada 2 carreras - Superficie (hectáreas),Cebada 2 carreras - Producción (toneladas),Cebada 6 carreras - Superficie (hectáreas),Cebada 6 carreras - Producción (toneladas),Maíz híbrido - Superficie (hectáreas),Maíz híbrido - Producción (toneladas),Otros maíces - Superficie (hectáreas),Otros maíces - Producción (toneladas)
A Coruña,0,0,1711,5306,57,150,0,0,8399,65008,350,2709
Lugo,0,0,3826,10139,244,493,0,0,1661,12175,554,4061
Ourense,0,0,9248,30111,317,637,0,0,2009,15530,0,0
Pontevedra,0,0,420,1252,1,3,0,0,6007,49498,0,0
GALICIA,0,0,15205,46808,619,1283,0,0,18076,142211,904,6770
P. DE ASTURIAS,0,0,45,54,0,0,0,0,200,400,200,440
CANTABRIA,0,0,679,1663,0,0,145,188,133,346,0,0
Alava,0,0,23368,121514,14097,59207,0,0,0,0,9,37
Guipúzcoa,0,0,0,0,0,0,0,0,65,273,132,554
Vizcaya,0,0,0,0,0,0,0,0,51,214,62,251
PAÍS VASCO,0,0,23368,121514,14097,59207,0,0,0,0,0,0
NAVARRA,561,1852,72964,312426,85501,314121,0,0,18235,197606,0,0
LA RIOJA,30,136,29701,118874,18677,65581,0,0,633,6297,0,0
Huesca,3579,9124,60226,195473,173593,577271,5433,18822,51179,644655,0,0
Teruel,1244,1379,40550,74714,101668,174024,2756,3949,0,0,3474,37990
Zaragoza,97698,183078,62106,187696,144596,354894,19717,36927,23031,237280,0,0
ARAGÓN,102521,193581,162882,457883,419857,1106189,27906,59698,0,0,0,0
Barcelona,24,64,23943,64057,36957,83642,373,845,90,481,0,0
Girona,0,0,12541,44778,19292,72236,804,2388,7725,84683,0,0
Lleida,156,788,51826,155433,91360,243071,13651,36321,33286,276059,0,0
Tarragona,0,0,6170,16843,15121,39308,0,0,122,1098,0,0
CATALUÑA,180,852,94480,281111,162730,438257,14828,39554,41223,362321,0,0
BALEARES,0,0,4613,7491,7644,12353,11467,18530,0,0,182,1000
Avila,0,0,39214,104345,36726,95469,12030,24796,1771,21695,0,0
Burgos,396,1269,213815,823133,149325,486046,4000,13000,1046,10983,0,0
León,51,244,57556,243667,17839,58589,1100,3080,64546,768133,0,0
Palencia,183,778,126999,451063,113339,347809,10000,31028,0,0,4045,40450
Salamanca,62,181,72890,197201,33813,89544,2800,7168,18230,223318,0,0
Segovia,62,167,73237,185884,60448,149948,19000,44260,103,1030,0,0
Soria,161,343,103394,290404,94638,262458,5000,13520,198,2376,0,0
Valladolid,180,759,100912,326118,187481,525076,2000,5666,9079,108948,0,0
Zamora,56,81,76114,211137,45185,118410,9237,24165,18510,240630,0,0
CASTILLA Y LEÓN,1151,3822,864131,2832952,738794,2133349,65167,166683,0,0,0,0
MADRID,87,248,26391,70554,36515,78712,517,1369,5851,73225,310,3880
Albacete,411,1947,72623,199921,121592,252070,33022,55632,11000,146300,0,0
Ciudad Real,335,548,56618,92611,85466,200401,56980,133607,5854,64395,0,0
Cuenca,394,1173,38995,116054,179600,605198,59867,201732,1132,13657,0,0
Guadalajara,293,391,66810,123743,82763,143037,7365,12782,3181,37836,0,0
Toledo,1955,2320,63073,78901,145231,229132,4143,5220,8263,79403,0,0
CASTILLA–LA MANCHA,3388,6379,298119,611230,614652,1429838,161377,408973,29430,341591,0,0
Alicante,44,175,1601,4070,2999,4226,1019,1351,384,4032,0,0
Castellón,34,72,846,1845,3998,7669,415,821,94,405,0,0
Valencia,122,154,1995,2504,8527,11752,2132,2939,312,3391,0,0
C. VALENCIANA,200,401,4442,8419,15524,23647,3566,5111,790,7828,0,0
R. DE MURCIA,694,737,7018,8529,17275,17245,11281,11155,270,2749,80,616
Badajoz,6398,12941,72462,153320,46990,96991,0,0,35347,446362,0,0
Cáceres,13,24,4896,8004,741,1300,0,0,20508,267588,0,0
EXTREMADURA,6411,12965,77358,161324,47731,98291,0,0,55855,713950,0,0
Almería,225,90,2261,2845,0,0,11359,18197,0,0,10,28
Cádiz,49623,159750,17077,62553,2365,6404,6650,17820,3238,36800,0,0
Córdoba,53033,135384,31281,72657,2026,3064,8075,12930,5403,59279,0,0
Granada,2304,3588,10521,11836,16441,27228,37997,26473,0,0,2946,32107
Huelva,10708,41048,5310,19531,120,420,1183,2958,231,2426,0,0
Jaén,6431,18154,2906,7790,3300,9720,4950,14600,1412,17000,0,0
Málaga,15315,43570,6563,9564,11971,30382,1477,3831,346,2224,0,0
Sevilla,95068,302399,70813,209779,14500,40358,425,1134,15876,212331,0,0
ANDALUCÍA,232707,703983,146732,396555,50723,117576,72116,97943,0,0,0,0
Las Palmas,0,0,109,163,65,98,64,96,180,254,239,810
S.C. de Tenerife,0,0,186,186,58,59,0,0,426,999,47,111
CANARIAS,0,0,295,349,123,157,64,96,606,1253,286,921
ESPAÑA,347930,924956,1828423,5437736,2230462,5895806,368434,809300,385617,4439372,12640,125044
PAIS VASCO,0,0,0,0,0,0,0,0,116,487,203,842
ARAGON,0,0,0,0,0,0,0,0,74210,881935,3474,37990
CASTILLA Y LEON,0,0,0,0,0,0,0,0,113483,1377113,4045,40450
ANDALUCIA,0,0,0,0,0,0,0,0,26506,330060,2956,32135
