Provincia,Trigo duro - Superficie (hectáreas),Trigo duro - Producción (toneladas),Trigo blando y semiduro - Superficie (hectáreas),Trigo blando y semiduro - Producción (toneladas),Cebada 2 carreras - Superficie (hectáreas),Cebada 2 carreras - Producción (toneladas),Cebada 6 carreras - Superficie (hectáreas),Cebada 6 carreras - Producción (toneladas),Maíz híbrido - Superficie (hectáreas),Maíz híbrido - Producción (toneladas),Otros maíces - Superficie (hectáreas),Otros maíces - Producción (toneladas)
A Coruña,0,0,3240,9234,0,0,76,292,8495,40046,350,1650
Lugo,0,0,4061,17747,0,0,0,0,1045,4757,350,1593
Ourense,0,0,9240,48048,0,0,29,154,1866,9065,350,1701
Pontevedra,0,0,621,2732,0,0,32,157,5549,26020,350,1642
GALICIA,0,0,17162,77761,0,0,137,603,16955,79888,1400,6586
P. DE ASTURIAS,5,13,0,0,0,0,0,0,550,1485,50,100
CANTABRIA,0,0,462,1232,280,406,0,0,0,0,0,0
Álava,0,0,24714,123570,14798,77690,0,0,0,0,21,85
Guipúzcoa,0,0,0,0,0,0,0,0,110,387,190,655
Vizcaya,0,0,0,0,0,0,0,0,65,212,75,236
PAÍS VASCO,0,0,24714,123570,14798,77690,0,0,175,599,286,976
NAVARRA,7189,14171,55728,231813,11152,46904,96538,301811,12090,113828,795,13079
LA RIOJA,22,65,32287,144184,19172,85375,0,0,871,7829,0,0
Huesca,536,1325,27016,107832,177750,634116,21991,71929,40397,395126,0,0
Teruel,1152,947,28546,94209,104201,371829,13891,40717,4287,40067,0,0
Zaragoza,70690,174134,125670,309571,75700,271670,29007,90557,23277,250743,0,0
ARAGÓN,72378,176406,181232,511612,357651,1277615,64889,203203,67961,685936,0,0
Barcelona,0,0,18093,81770,40519,127431,1695,6873,2388,10148,0,0
Girona,0,0,14327,40934,16205,39519,1500,3671,7583,83251,0,0
Lleida,100,255,41791,124036,95128,252402,16000,38000,21838,218828,0,0
Tarragona,0,0,5769,21656,10654,49505,2339,10140,109,915,0,0
CATALUÑA,100,255,79980,268396,162506,468857,21534,58684,31918,313142,0,0
BALEARES,0,0,4771,12079,8299,24212,12448,36319,158,869,0,0
Ávila,0,0,21537,76038,62240,193750,18453,49823,877,7077,0,0
Burgos,3181,11197,178375,857400,199426,902309,5097,22886,560,5552,0,0
León,0,0,31535,138557,27383,114776,2500,8500,62000,508400,0,0
Palencia,0,0,77182,311646,173953,711262,10000,31502,5816,43620,0,0
Salamanca,140,490,51178,210242,55063,220953,15905,61096,13034,130064,0,0
Segovia,0,0,44538,204798,87042,389941,36017,150548,190,1520,0,0
Soria,0,0,92150,396842,118491,510837,6000,25800,383,3637,0,0
Valladolid,0,0,28309,113241,272072,1036853,30000,117400,11333,118997,0,0
Zamora,429,704,43704,142609,84259,276574,21065,66721,18844,188206,0,0
CASTILLA Y LEÓN,3750,12391,568508,2451373,1079929,4357255,145037,534276,113037,1007073,0,0
MADRID,12,48,13163,56916,43174,166333,3001,8754,5483,70215,0,0
Albacete,0,0,50665,159631,78959,304100,82340,255270,11034,133998,0,0
Ciudad Real,0,0,35998,70866,0,0,169479,572765,0,0,4144,55682
Cuenca,0,0,19028,81729,224911,1064075,64500,318150,1008,12034,0,0
Guadalajara,0,0,49368,187241,93903,377420,26000,104500,3940,58650,0,0
Toledo,14366,38115,30900,78925,170512,569053,7538,26564,10995,153114,0,0
CASTILLA – LA MANCHA,14366,38115,185959,578392,568285,2314648,349857,1277249,26977,357796,4144,55682
Alicante,80,200,1838,4380,3552,6472,393,703,198,1190,0,0
Castellón,0,0,658,2025,2330,4693,1050,2362,37,90,0,0
Valencia,0,0,1229,1749,4484,16783,3670,13738,392,3352,0,0
C. VALENCIANA,80,200,3725,8154,10366,27948,5113,16803,627,4632,0,0
R. DE MURCIA,523,608,7280,8076,6877,8070,36096,59181,285,2252,0,0
Badajoz,22340,66126,51615,172912,73075,230917,6355,20082,35600,410112,0,0
Cáceres,145,427,5150,16480,2235,6481,195,566,17414,211058,0,0
EXTREMADURA,22485,66553,56765,189392,75310,237398,6550,20648,53014,621170,0,0
Almería,900,1804,1057,2265,0,0,9870,31831,0,0,23,93
Cádiz,57283,182634,19714,59038,678,8636,6698,12763,3260,37671,0,0
Córdoba,78853,214098,25982,75348,2917,6563,11670,22034,4490,55333,0,0
Granada,6800,12398,3847,6771,21217,47897,34618,64037,2498,18735,0,0
Huelva,9791,33500,7225,27159,240,600,1107,2400,150,1325,0,0
Jaén,11579,38526,2964,9231,4231,16451,3752,14040,934,10519,0,0
Málaga,26969,89229,1570,6716,12960,54470,1292,550,504,3855,63,161
Sevilla,100325,346110,95685,359634,16438,48728,1579,3987,11727,138673,0,0
ANDALUCÍA,292500,918299,158044,546162,58681,183345,70586,151642,23563,266111,86,254
Las Palmas,0,0,5,5,0,0,6,5,156,439,69,149
S.C. de Tenerife,0,0,118,118,0,0,85,85,313,762,35,85
CANARIAS,0,0,123,123,0,0,91,90,469,1201,104,234
ESPAÑA,413410,1227124,1389903,5209235,2416480,9276056,811877,2669263,354133,3534026,6865,76911
