Provincia,Trigo duro - Superficie (hectáreas),Trigo duro - Producción (toneladas),Trigo blando y semiduro - Superficie (hectáreas),Trigo blando y semiduro - Producción (toneladas),Cebada 2 carreras - Superficie (hectáreas),Cebada 2 carreras - Producción (toneladas),Cebada 6 carreras - Superficie (hectáreas),Cebada 6 carreras - Producción (toneladas),Maíz híbrido - Superficie (hectáreas),Maíz híbrido - Producción (toneladas),Otros maíces - Superficie (hectáreas),Otros maíces - Producción (toneladas)
A Coruña,0,0,1704,4601,104,231,0,0,8052,62161,336,2594
Lugo,0,0,3783,8777,177,312,0,0,1748,12463,583,4157
Ourense,0,0,8583,20857,184,324,0,0,1951,14691,0,0
Pontevedra,0,0,381,819,7,14,0,0,5808,46232,0,0
GALICIA,0,0,14451,35054,472,881,0,0,17559,135547,919,6751
P. DE ASTURIAS,0,0,45,76,0,0,0,0,206,515,206,515
CANTABRIA,0,0,775,1899,0,0,144,187,417,1084,0,0
Alava,0,0,25007,161295,13345,84741,0,0,0,0,5,22
Guipúzcoa,0,0,0,0,0,0,0,0,65,169,45,117
Vizcaya,0,0,0,0,0,0,0,0,31,72,38,63
PAÍS VASCO,0,0,25007,161295,13345,84741,0,0,0,0,0,0
NAVARRA,1046,4249,76723,421327,85156,400613,0,0,14861,157620,0,0
LA RIOJA,45,259,30401,165461,17981,89276,0,0,487,4620,0,0
Huesca,5539,21664,57373,265787,186384,857272,2689,12820,52654,723993,7500,82500
Teruel,2383,3411,41102,90891,84323,214703,4730,8769,3299,36290,0,0
Zaragoza,118952,331014,52511,198640,153339,516391,3133,15779,19355,226844,0,0
ARAGÓN,126874,356089,150986,555318,424046,1588366,10552,37368,0,0,0,0
Barcelona,30,100,24723,103149,36445,149562,350,1560,186,936,0,0
Girona,14,52,13602,51747,18741,69754,781,2306,7499,83402,0,0
Lleida,203,1052,50590,188569,101403,375242,6473,23955,30719,315282,0,0
Tarragona,0,0,6533,28188,14483,69403,0,0,109,961,0,0
CATALUÑA,247,1204,95448,371653,171072,663961,7604,27821,38513,400581,0,0
BALEARES,18,29,5140,8244,8548,14352,12822,21528,285,1569,0,0
Avila,11,28,38910,126861,40315,131727,11250,36523,1276,15886,0,0
Burgos,884,3582,231430,1095965,139986,612774,4500,19508,980,11760,0,0
León,298,1844,58467,290579,18266,77336,1400,5491,57860,561242,0,0
Palencia,736,3088,131960,620744,114485,525994,10000,46086,0,0,2185,21889
Salamanca,163,565,75219,303696,36977,143006,1000,3809,16345,196140,0,0
Segovia,150,551,74477,246303,56922,192289,18000,60474,105,1050,0,0
Soria,163,458,108161,419148,85890,330356,5000,18980,69,828,0,0
Valladolid,1843,9847,109221,541910,183859,833732,1856,8416,6933,65864,0,0
Zamora,199,529,72611,314621,47000,203757,9620,41706,16300,203750,0,0
CASTILLA Y LEÓN,4447,20492,900456,3959827,723700,3050971,62626,240993,0,0,0,0
MADRID,402,1407,24158,64283,38957,84708,553,1474,5462,68357,310,3880
Albacete,3098,20036,72070,221754,110105,353719,33000,87000,8800,118800,0,0
Ciudad Real,137,267,52525,93336,104695,298089,44878,134631,4761,54152,0,0
Cuenca,801,3053,50060,148146,190438,644428,63480,214812,759,9117,0,0
Guadalajara,1820,1989,66719,168818,77204,235746,9467,30001,2381,28552,0,0
Toledo,3694,9100,56646,114652,142006,545794,3964,14072,6632,66825,0,0
CASTILLA–LA MANCHA,9550,34445,298020,746706,624448,2077776,154789,480516,23333,277446,0,0
Alicante,26,67,1426,2328,2325,2674,778,895,53,530,257,2568
Castellón,59,98,1040,1835,3319,5416,336,581,124,491,0,0
Valencia,176,143,2456,1808,7245,5102,1812,1276,144,1728,0,0
C. VALENCIANA,261,308,4922,5971,12889,13192,2926,2752,321,2749,257,2568
R. DE MURCIA,544,766,7512,9043,13121,14317,9105,9389,140,1274,0,0
Badajoz,9989,22496,64564,130627,53943,105757,0,0,29781,341052,0,0
Cáceres,26,47,4334,6810,769,1264,0,0,19547,252000,0,0
EXTREMADURA,10015,22543,68898,137437,54712,107021,0,0,49328,593052,0,0
Almería,438,8,2817,912,0,0,9905,3604,6,19,0,0
Cádiz,65174,124616,9751,18665,7187,14840,569,1707,2217,27855,0,0
Córdoba,59879,157230,22227,50067,2180,3308,8724,14052,4120,51455,0,0
Granada,3178,5595,10199,10713,12922,29264,34039,21999,0,0,2297,24905
Huelva,13045,37273,3730,11491,300,1350,830,2739,171,1710,0,0
Jaén,8296,13856,2562,4538,2799,4647,4378,7349,1000,11972,0,0
Málaga,19587,35620,4919,8562,12052,20762,1794,3077,282,1811,0,0
Sevilla,125114,241924,49251,66326,15327,33440,450,1577,10764,141298,0,0
ANDALUCÍA,294711,616122,105456,171274,52767,107611,60689,56104,0,0,0,0
Las Palmas,0,0,120,181,121,190,0,0,218,636,213,467
S.C. de Tenerife,0,0,170,173,50,51,0,0,304,697,34,76
CANARIAS,0,0,290,354,171,241,0,0,522,1333,247,543
ESPAÑA,448160,1057913,1808688,6815222,2241385,8298027,321810,878132,345266,3925755,14009,143753
PAIS VASCO,0,0,0,0,0,0,0,0,96,241,88,202
ARAGON,0,0,0,0,0,0,0,0,75308,987127,7500,82500
CASTILLA Y LEON,0,0,0,0,0,0,0,0,99868,1056520,2185,21889
ANDALUCIA,0,0,0,0,0,0,0,0,18560,236120,2297,24905
