Provincia,Trigo duro - Superficie (hectáreas),Trigo duro - Producción (toneladas),Trigo blando y semiduro - Superficie (hectáreas),Trigo blando y semiduro - Producción (toneladas),Cebada 2 carreras - Superficie (hectáreas),Cebada 2 carreras - Producción (toneladas),Cebada 6 carreras - Superficie (hectáreas),Cebada 6 carreras - Producción (toneladas),Maíz híbrido - Superficie (hectáreas),Maíz híbrido - Producción (toneladas),Otros maíces - Superficie (hectáreas),Otros maíces - Producción (toneladas)
A Coruña,0,0,3315,11039,79,158,0,0,8491,63003,354,2627
Lugo,0,0,3606,9412,214,428,0,0,1285,12618,428,4306
Ourense,0,0,8782,27136,26,52,0,0,2097,17195,0,0
Pontevedra,0,0,704,2563,6,12,0,0,6046,32709,0,0
GALICIA,0,0,16407,50150,325,650,0,0,17919,125525,782,6933
P. DE ASTURIAS,45,50,0,0,0,0,0,0,250,650,50,100
CANTABRIA,0,0,346,844,0,0,346,561,92,237,0,0
Álava,0,0,15352,73690,0,0,0,0,0,0,0,0
PAÍS VASCO,0,0,15352,73690,18781,84515,0,0,0,0,0,0
NAVARRA,7470,11469,57434,239109,103449,351091,0,0,12546,128357,867,14226
LA RIOJA,82,246,21880,76733,24046,81015,0,0,747,6247,0,0
Huesca,2475,7738,23944,88317,181392,690938,23312,29194,38130,413711,0,0
Teruel,913,2066,27945,54150,95507,211236,14267,26606,3859,35892,0,0
Zaragoza,167598,275682,32821,112473,103272,294708,9473,14494,24118,237210,0,0
ARAGÓN,170986,285486,84710,254940,380171,1196882,47052,70294,0,0,0,0
Barcelona,0,0,17819,74690,42590,133970,1666,6721,1643,6224,0,0
Girona,0,0,15819,55861,17744,47287,930,5498,7950,87755,0,0
Lleida,91,237,40214,151475,95000,329565,16963,58109,28545,242527,0,0
Tarragona,0,0,6833,20974,10239,34465,2247,7566,41,346,0,0
CATALUÑA,91,237,80685,303000,165573,545287,21806,77894,38179,336852,0,0
BALEARES,0,0,3774,14333,7584,26242,11377,39363,525,2888,0,0
Ávila,0,0,20102,24015,0,0,0,0,0,0,0,0
Burgos,2716,6183,139351,503677,198929,610523,5891,17850,315,3150,0,0
León,0,0,42763,143757,22264,68246,2000,3600,57152,542944,0,0
Palencia,0,0,79718,218926,162447,396232,10000,24270,2823,25407,0,0
Salamanca,100,180,51602,105656,52719,85602,17163,26259,13244,149657,0,0
Segovia,0,0,45817,91009,70000,157640,33215,50072,200,1600,0,0
Soria,0,0,63746,121707,100126,173884,5000,8600,506,5537,0,0
Valladolid,58,92,38623,73589,236459,446318,23386,46304,10345,103450,0,0
Zamora,322,233,54795,69155,71426,84540,17857,21136,18538,175751,0,0
CASTILLA Y LEÓN,3196,6688,536517,1351491,967780,2072030,127243,209899,0,0,0,0
MADRID,0,0,16530,41646,42885,102165,786,1907,5850,67070,0,0
Albacete,73,127,56920,155017,87018,243179,62372,107356,11518,149734,0,0
Ciudad Real,124,188,43405,66076,121525,284338,33874,130448,4426,52694,0,0
Cuenca,43,86,20885,57681,209657,430260,54000,128699,935,9889,0,0
Guadalajara,4716,9461,41361,101356,90197,203537,21732,49039,3830,45856,0,0
Toledo,10139,13815,45223,84111,174210,356076,5668,16622,11399,157850,0,0
CASTILLA – LA MANCHA,15095,23677,207794,464241,0,0,0,0,0,0,0,0
Alicante,80,226,1455,3169,3144,6784,648,2431,167,1238,0,0
Castellón,48,132,531,1373,3403,5425,350,563,16,51,0,0
Valencia,0,0,1547,2737,5526,10503,2158,4103,575,5750,0,0
C. VALENCIANA,128,358,3533,7279,12073,22712,3156,7097,758,7039,0,0
R. DE MURCIA,236,973,5268,12925,5104,4951,27727,36307,112,1064,0,0
Badajoz,20852,32118,64292,126270,67440,135682,3680,7168,27540,289583,0,0
Cáceres,168,160,8339,9947,1820,2683,39,57,15529,160321,0,0
EXTREMADURA,21020,32278,72631,136217,69260,138365,3719,7225,43069,449904,0,0
Almería,669,705,1562,2233,13,13,11669,28028,0,0,73,110
Cádiz,64422,181681,10603,32359,925,2938,4994,14500,3523,32734,0,0
Córdoba,84600,267296,20183,62700,3676,6897,8580,16092,4310,53221,0,0
Granada,5920,7322,6549,10800,25506,55982,33105,52706,2330,21552,0,0
Huelva,11413,43368,4412,15435,283,823,1050,1890,204,2049,0,0
Jaén,12236,31955,2048,4691,4560,9009,3039,5694,0,0,970,10367
Málaga,25097,80971,1602,6095,10015,30307,1113,4529,459,3581,57,149
Sevilla,118875,426739,61189,242200,14151,37841,1450,2578,12661,129914,0,0
ANDALUCÍA,323232,1040037,108148,376513,59129,143810,65000,126017,0,0,0,0
Las Palmas,0,0,4,4,0,0,4,4,0,0,224,621
S.C. de Tenerife,0,0,158,158,0,0,97,97,382,895,43,99
CANARIAS,0,0,162,162,0,0,101,101,382,895,267,720
ESPAÑA,541581,1401499,1231171,3403273,2538767,6287105,485959,1008829,345605,3482098,3344,33519
Alava,0,0,0,0,18781,84515,0,0,0,0,13,46
Avila,0,0,0,0,53410,49045,12731,11808,176,1408,0,0
CASTILLA–LA MANCHA,0,0,0,0,682607,1517390,177646,432164,32108,416023,0,0
Guipúzcoa,0,0,0,0,0,0,0,0,110,376,190,641
Vizcaya,0,0,0,0,0,0,0,0,65,203,75,227
PAIS VASCO,0,0,0,0,0,0,0,0,175,579,278,914
ARAGON,0,0,0,0,0,0,0,0,66107,686813,0,0
CASTILLA Y LEON,0,0,0,0,0,0,0,0,103299,1008904,0,0
ANDALUCIA,0,0,0,0,0,0,0,0,23487,243051,1100,10626
