Provincia,Trigo duro - Superficie (hectáreas),Trigo duro - Producción (toneladas),Trigo blando y semiduro - Superficie (hectáreas),Trigo blando y semiduro - Producción (toneladas),Cebada 2 carreras - Superficie (hectáreas),Cebada 2 carreras - Producción (toneladas),Cebada 6 carreras - Superficie (hectáreas),Cebada 6 carreras - Producción (toneladas),Maíz híbrido - Superficie (hectáreas),Maíz híbrido - Producción (toneladas),Otros maíces - Superficie (hectáreas),Otros maíces - Producción (toneladas)
A Coruña,2,6,1633,5152,203,472,0,0,6039,43204,40,286
Lugo,230,627,3268,8905,49,116,0,0,1592,10908,423,2635
Ourense,1,3,8139,24336,646,1567,0,0,1929,12701,0,0
Pontevedra,3,7,172,399,7,15,0,0,4784,24612,0,0
GALICIA,236,643,13212,38792,905,2170,0,0,14344,91425,463,2921
P. DE ASTURIAS,0,0,56,106,0,0,0,0,240,720,210,630
CANTABRIA,0,0,770,1995,156,329,0,0,0,0,0,0
Alava,0,0,20804,93618,14416,63430,0,0,0,0,3,10
Guipúzcoa,0,0,1,4,0,0,0,0,65,183,34,96
Vizcaya,0,0,0,0,0,0,0,0,32,94,39,100
PAÍS VASCO,0,0,20805,93622,14416,63430,0,0,0,0,0,0
NAVARRA,406,1310,83880,343760,67363,260962,0,0,17356,184505,0,0
LA RIOJA,8,38,27301,130929,17241,78882,0,0,355,4242,0,0
Huesca,2608,6548,83072,262029,165953,535386,2744,8459,64330,718700,0,0
Teruel,968,1472,43939,84576,100171,216071,5345,10679,1916,19024,0,0
Zaragoza,62555,154227,66008,183606,165310,434191,3374,6649,18811,221834,0,0
ARAGÓN,66131,162247,193019,530211,431434,1185648,11463,25787,0,0,0,0
Barcelona,31,138,24752,76122,32771,90263,319,986,99,462,0,0
Girona,29,96,13809,54846,15552,54858,648,1814,4908,46258,0,0
Lleida,166,458,56681,213236,96171,365845,386,1469,35067,356822,0,0
Tarragona,78,125,6232,13672,12701,27463,0,0,48,474,0,0
CATALUÑA,304,817,101474,357876,157195,538429,1353,4269,40122,404016,0,0
BALEARES,20,34,5076,8629,7454,12300,11182,18450,107,591,0,0
Avila,29,35,36122,75384,47254,104806,4457,9047,1073,14153,0,0
Burgos,462,1565,210783,712042,140362,495208,4500,15620,843,10116,0,0
León,42,198,59055,199264,19681,50224,1400,2758,73715,928809,0,0
Palencia,158,523,137034,502963,103091,366388,10000,35700,0,0,656,7675
Salamanca,40,161,70486,207153,36293,102556,700,1820,16793,222961,0,0
Segovia,70,167,69433,166568,57845,149242,10000,24420,24,252,0,0
Soria,16,51,111494,256280,71079,168352,5040,11347,33,462,0,0
Valladolid,561,2261,122689,357763,170902,500839,1750,5093,3944,47328,0,0
Zamora,87,216,76734,146964,58875,120329,2953,6100,11495,151665,0,0
CASTILLA Y LEÓN,1465,5177,893830,2624381,705382,2057944,40800,111905,0,0,0,0
MADRID,233,817,27725,77382,40112,113961,597,1574,4085,50048,601,7183
Albacete,3643,24141,68107,201985,96995,291374,22000,53650,8255,114332,0,0
Ciudad Real,489,1730,50185,140424,93884,262851,40236,119184,381,4117,0,0
Cuenca,828,2535,51734,105635,206896,479361,36450,84437,569,7105,0,0
Guadalajara,299,820,76727,250094,80868,248522,3361,10325,2523,30216,0,0
Toledo,1438,3385,56535,123517,118374,286058,18804,44548,5344,58784,0,0
CASTILLA–LA MANCHA,6697,32611,303288,821655,597017,1568166,120851,312144,17072,214554,0,0
Alicante,145,390,1337,3092,1925,3500,649,1116,23,299,177,2100
Castellón,21,29,699,1088,2877,3890,0,0,23,132,41,101
Valencia,158,270,2740,5062,7465,15062,169,338,88,1408,0,0
C. VALENCIANA,324,689,4776,9242,12267,22452,818,1454,134,1839,218,2201
R. DE MURCIA,371,502,11189,24040,9586,24415,10450,33194,147,1500,0,0
Badajoz,5055,13253,75481,215819,45293,120762,1001,2248,8630,94706,0,0
Cáceres,262,619,4423,14063,699,1170,9,11,11640,134806,0,0
EXTREMADURA,5317,13872,79904,229882,45992,121932,1010,2259,20270,229512,0,0
Almería,142,146,2968,3350,0,0,7854,8813,14,70,0,0
Cádiz,45495,111463,12903,38064,6330,18800,550,1664,0,0,1586,22509
Córdoba,41463,97648,25765,61515,4233,8241,10458,23148,125,1563,0,0
Granada,2325,3611,11577,9783,13080,10333,20147,15070,0,0,1634,15196
Huelva,9750,28763,4435,12196,590,1543,70,182,30,240,0,0
Jaén,5112,12050,2421,5605,4128,7342,1376,2200,45,486,0,0
Málaga,12657,26890,5616,12725,9641,22560,150,415,45,372,0,0
Sevilla,80212,165074,60224,146593,11029,27197,3225,7600,738,9225,21,95
ANDALUCÍA,197156,445645,125909,289831,49031,96016,43830,59092,0,0,0,0
Las Palmas,0,0,106,125,58,93,0,0,164,351,139,290
S.C. de Tenerife,0,0,135,148,33,34,0,0,199,463,22,51
CANARIAS,0,0,241,273,91,127,0,0,363,814,161,341
ESPAÑA,278668,664402,1892455,5582606,2155642,6147163,242354,570128,308666,3531303,5626,58957
PAIS VASCO,0,0,0,0,0,0,0,0,97,277,76,206
ARAGON,0,0,0,0,0,0,0,0,85057,959558,0,0
CASTILLA Y LEON,0,0,0,0,0,0,0,0,107920,1375746,656,7675
ANDALUCIA,0,0,0,0,0,0,0,0,997,11956,3241,37800
