Provincia,Trigo duro - Superficie (hectáreas),Trigo duro - Producción (toneladas),Trigo blando y semiduro - Superficie (hectáreas),Trigo blando y semiduro - Producción (toneladas),Cebada 2 carreras - Superficie (hectáreas),Cebada 2 carreras - Producción (toneladas),Cebada 6 carreras - Superficie (hectáreas),Cebada 6 carreras - Producción (toneladas),Maíz híbrido - Superficie (hectáreas),Maíz híbrido - Producción (toneladas),Otros maíces - Superficie (hectáreas),Otros maíces - Producción (toneladas)
A Coruña,0,0,4006,11617,259,622,0,0,11050,35500,339,4832
Lugo,0,0,5281,17374,0,0,4,16,2069,9579,0,0
Ourense,0,0,10301,30903,246,935,0,0,3262,18267,0,0
Pontevedra,0,0,647,1941,0,0,15,42,5188,16500,3042,11482
GALICIA,0,0,20235,61835,505,1557,19,58,21569,79846,3381,16314
P. DE ASTURIAS,80,168,0,0,0,0,0,0,1200,3000,100,200
CANTABRIA,0,0,550,2200,505,1515,0,0,30,135,3,12
Alava,0,0,27459,162008,13529,76439,0,0,0,0,27,105
Guipúzcoa,0,0,0,0,0,0,0,0,140,502,210,748
Vizcaya,0,0,1,4,0,0,0,0,62,201,94,301
PAÍS VASCO,0,0,27460,162012,13529,76439,0,0,0,0,0,0
NAVARRA,14145,9403,64167,296473,4815,13512,96574,271001,11925,98725,0,0
LA RIOJA,179,801,34526,150484,19718,55074,0,0,1419,12574,0,0
Huesca,2216,3331,32746,137260,143466,436952,33653,102389,46698,445219,0,0
Teruel,4383,4252,35141,61724,76227,150774,58034,102986,4364,41793,0,0
Zaragoza,225657,204966,27450,36171,45394,78267,14335,24716,27696,179945,0,0
ARAGÓN,232256,212549,95337,235155,265087,665993,106022,230091,0,0,0,0
Barcelona,0,0,21450,106405,43925,148153,1987,9383,2553,13706,0,0
Girona,0,0,12790,33506,16254,39752,0,0,0,0,10259,95932
Lleida,70,291,36293,147280,101441,392464,16450,62510,29289,307531,0,0
Tarragona,0,0,6530,26200,10347,43372,2780,10843,121,1003,0,0
CATALUÑA,70,291,77063,313391,171967,623741,21217,82736,31963,322240,10259,95932
BALEARES,393,475,3775,4565,4603,5742,7541,9407,200,1600,0,0
Avila,0,0,24962,59878,69062,188320,18989,39789,1263,11367,0,0
Burgos,14855,31344,187303,792575,228569,693245,6500,19370,750,6702,0,0
León,0,0,48203,154084,21117,74630,7500,18000,58472,555480,0,0
Palencia,100,230,109494,251572,170000,319140,19205,30729,10559,51845,0,0
Salamanca,423,1105,63449,193422,51400,146020,24441,69599,13944,146937,0,0
Segovia,0,0,51266,130463,79777,207693,53200,138280,47,423,0,0
Soria,103,240,101163,236350,138227,302180,2500,5425,555,5539,0,0
Valladolid,100,150,54341,131713,300419,577765,19000,43800,17743,195141,0,0
Zamora,1780,3487,77444,200201,41001,108872,34000,101000,23525,209012,0,0
CASTILLA Y LEÓN,17361,36556,717625,2150258,1099572,2617865,185335,465992,0,0,0,0
MADRID,214,598,25822,72147,34180,92380,3545,9581,9427,108307,0,0
Albacete,0,0,46259,142888,91652,334720,96200,270803,19920,258825,0,0
Ciudad Real,0,0,64253,136609,79119,236376,44500,120950,5901,67731,0,0
Cuenca,0,0,47415,136971,232036,828425,52450,189598,2188,24893,0,0
Guadalajara,0,0,79486,233568,103115,312748,10200,30937,6100,79014,0,0
Toledo,46848,82575,42550,94574,147331,393585,7754,12173,13987,157245,0,0
CASTILLA–LA MANCHA,46848,82575,279963,744610,653253,2105854,211104,624461,48096,587708,0,0
Alicante,361,433,3524,11000,3596,8637,1080,1879,440,2196,0,0
Castellón,0,0,554,1831,2569,5406,1206,3197,193,895,0,0
Valencia,148,410,1779,4527,3546,9130,4433,13256,324,2553,0,0
C. VALENCIANA,509,843,5857,17358,9711,23173,6719,18332,957,5644,0,0
R. DE MURCIA,429,500,8300,10370,36864,39950,7200,5200,231,1674,0,0
Badajoz,96400,320259,51200,232647,36750,117569,7450,23758,0,0,45500,459550
Cáceres,400,1244,6710,21680,1700,6800,3100,9920,0,0,21500,191350
EXTREMADURA,96800,321503,57910,254327,38450,124369,10550,33678,0,0,67000,650900
Almería,4620,5110,1225,2153,0,0,10700,21230,0,0,33,137
Cádiz,88967,238856,10506,27359,3012,7919,2733,7183,3802,46811,0,0
Córdoba,133493,421615,14833,46847,1303,2894,3039,6750,12598,159842,0,0
Granada,24717,36804,5136,7624,15617,22983,39496,57807,4198,30226,0,0
Huelva,18067,50207,3077,8800,367,730,1284,2601,658,5533,0,0
Jaén,20839,60733,1504,4460,4117,8177,1563,3040,1679,17948,0,0
Málaga,34603,68800,1889,4601,4000,10346,400,800,612,4100,34,34
Sevilla,191594,604808,23521,91758,4456,10540,756,1531,27060,323265,0,0
ANDALUCÍA,516900,1486933,61691,193602,32872,63589,59971,100942,0,0,0,0
Las Palmas,0,0,0,0,0,0,0,0,75,269,18,65
S.C. de Tenerife,0,0,178,178,0,0,96,96,366,858,92,214
CANARIAS,0,0,178,178,0,0,96,96,441,1127,110,279
ESPAÑA,926184,2153195,1480459,4668965,2385631,6510753,715893,1851575,383883,3660411,81251,764962
PAIS VASCO,0,0,0,0,0,0,0,0,202,703,331,1154
ARAGON,0,0,0,0,0,0,0,0,78758,666957,0,0
CASTILLA Y LEON,0,0,0,0,0,0,0,0,126858,1182446,0,0
ANDALUCIA,0,0,0,0,0,0,0,0,50607,587725,67,171
