Subclases ECOICOP ver.2;Tipo de dato;Periodo;Total
Índice general;Índice;2026M02;""
Índice general;Índice;2026M01;100,836
Índice general;Índice;2025M12;101,289
Índice general;Índice;2025M11;100,943
Índice general;Índice;2025M10;100,748
Índice general;Índice;2025M09;100,059
Índice general;Índice;2025M08;100,345
Índice general;Índice;2025M07;100,305
Índice general;Índice;2025M06;100,382
Índice general;Índice;2025M05;99,714
Índice general;Índice;2025M04;99,647
Índice general;Índice;2025M03;99,024
Índice general;Índice;2025M02;98,966
Índice general;Índice;2025M01;98,579
Índice general;Índice;2024M12;98,411
Índice general;Índice;2024M11;97,968
Índice general;Índice;2024M10;97,729
Índice general;Índice;2024M09;97,123
Índice general;Índice;2024M08;97,713
Índice general;Índice;2024M07;97,673
Índice general;Índice;2024M06;98,139
Índice general;Índice;2024M05;97,771
Índice general;Índice;2024M04;97,514
Índice general;Índice;2024M03;96,84
Índice general;Índice;2024M02;96,108
Índice general;Índice;2024M01;95,768
Índice general;Índice;2023M12;95,687
Índice general;Índice;2023M11;95,663
Índice general;Índice;2023M10;95,998
Índice general;Índice;2023M09;95,721
Índice general;Índice;2023M08;95,552
Índice general;Índice;2023M07;95,042
Índice general;Índice;2023M06;94,881
Índice general;Índice;2023M05;94,345
Índice general;Índice;2023M04;94,39
Índice general;Índice;2023M03;93,831
Índice general;Índice;2023M02;93,487
Índice general;Índice;2023M01;92,613
Índice general;Índice;2022M12;92,808
Índice general;Índice;2022M11;92,669
Índice general;Índice;2022M10;92,78
Índice general;Índice;2022M09;92,47
Índice general;Índice;2022M08;93,117
Índice general;Índice;2022M07;92,881
Índice general;Índice;2022M06;93,118
Índice general;Índice;2022M05;91,426
Índice general;Índice;2022M04;90,676
Índice general;Índice;2022M03;90,837
Índice general;Índice;2022M02;88,167
Índice general;Índice;2022M01;87,46
Índice general;Índice;2021M12;87,797
Índice general;Índice;2021M11;86,761
Índice general;Índice;2021M10;86,496
Índice general;Índice;2021M09;84,934
Índice general;Índice;2021M08;84,232
Índice general;Índice;2021M07;83,85
Índice general;Índice;2021M06;84,487
Índice general;Índice;2021M05;84,087
Índice general;Índice;2021M04;83,693
Índice general;Índice;2021M03;82,716
Índice general;Índice;2021M02;81,922
Índice general;Índice;2021M01;82,407
Índice general;Índice;2020M12;82,4
Índice general;Índice;2020M11;82,225
Índice general;Índice;2020M10;82,09
Índice general;Índice;2020M09;81,662
Índice general;Índice;2020M08;81,54
Índice general;Índice;2020M07;81,502
Índice general;Índice;2020M06;82,24
Índice general;Índice;2020M05;81,863
Índice general;Índice;2020M04;81,868
Índice general;Índice;2020M03;81,621
Índice general;Índice;2020M02;81,935
Índice general;Índice;2020M01;82,032
Índice general;Índice;2019M12;82,84
Índice general;Índice;2019M11;82,9
Índice general;Índice;2019M10;82,76
Índice general;Índice;2019M09;81,965
Índice general;Índice;2019M08;81,965
Índice general;Índice;2019M07;82,011
Índice general;Índice;2019M06;82,522
Índice general;Índice;2019M05;82,619
Índice general;Índice;2019M04;82,459
Índice general;Índice;2019M03;81,636
Índice general;Índice;2019M02;81,34
Índice general;Índice;2019M01;81,142
Índice general;Índice;2018M12;82,193
Índice general;Índice;2018M11;82,563
Índice general;Índice;2018M10;82,654
Índice general;Índice;2018M09;81,897
Índice general;Índice;2018M08;81,697
Índice general;Índice;2018M07;81,581
Índice general;Índice;2018M06;82,17
Índice general;Índice;2018M05;81,956
Índice general;Índice;2018M04;81,224
Índice general;Índice;2018M03;80,558
Índice general;Índice;2018M02;80,463
Índice general;Índice;2018M01;80,355
Índice general;Índice;2017M12;81,231
Índice general;Índice;2017M11;81,194
Índice general;Índice;2017M10;80,825
Índice general;Índice;2017M09;80,086
Índice general;Índice;2017M08;79,947
Índice general;Índice;2017M07;79,788
Índice general;Índice;2017M06;80,343
Índice general;Índice;2017M05;80,308
Índice general;Índice;2017M04;80,356
Índice general;Índice;2017M03;79,592
Índice general;Índice;2017M02;79,608
Índice general;Índice;2017M01;79,896
Índice general;Índice;2016M12;80,338
Índice general;Índice;2016M11;79,864
Índice general;Índice;2016M10;79,576
Índice general;Índice;2016M09;78,677
Índice general;Índice;2016M08;78,673
Índice general;Índice;2016M07;78,572
Índice general;Índice;2016M06;79,148
Índice general;Índice;2016M05;78,783
Índice general;Índice;2016M04;78,355
Índice general;Índice;2016M03;77,81
Índice general;Índice;2016M02;77,314
Índice general;Índice;2016M01;77,588
Índice general;Índice;2015M12;79,097
Índice general;Índice;2015M11;79,329
Índice general;Índice;2015M10;79,039
Índice general;Índice;2015M09;78,536
Índice general;Índice;2015M08;78,779
Índice general;Índice;2015M07;79,041
Índice general;Índice;2015M06;79,782
Índice general;Índice;2015M05;79,569
Índice general;Índice;2015M04;79,191
Índice general;Índice;2015M03;78,47
Índice general;Índice;2015M02;77,972
Índice general;Índice;2015M01;77,812
Índice general;Índice;2014M12;79,083
Índice general;Índice;2014M11;79,547
Índice general;Índice;2014M10;79,602
Índice general;Índice;2014M09;79,233
Índice general;Índice;2014M08;79,112
Índice general;Índice;2014M07;78,987
Índice general;Índice;2014M06;79,737
Índice general;Índice;2014M05;79,715
Índice general;Índice;2014M04;79,697
Índice general;Índice;2014M03;78,994
Índice general;Índice;2014M02;78,818
Índice general;Índice;2014M01;78,852
Índice general;Índice;2013M12;79,915
Índice general;Índice;2013M11;79,844
Índice general;Índice;2013M10;79,678
Índice general;Índice;2013M09;79,355
Índice general;Índice;2013M08;79,504
Índice general;Índice;2013M07;79,258
Índice general;Índice;2013M06;79,669
Índice general;Índice;2013M05;79,551
Índice general;Índice;2013M04;79,405
Índice general;Índice;2013M03;79,109
Índice general;Índice;2013M02;78,832
Índice general;Índice;2013M01;78,695
Índice general;Índice;2012M12;79,714
Índice general;Índice;2012M11;79,658
Índice general;Índice;2012M10;79,757
Índice general;Índice;2012M09;79,085
Índice general;Índice;2012M08;78,314
Índice general;Índice;2012M07;77,876
Índice general;Índice;2012M06;78,058
Índice general;Índice;2012M05;78,204
Índice general;Índice;2012M04;78,32
Índice general;Índice;2012M03;77,235
Índice general;Índice;2012M02;76,719
Índice general;Índice;2012M01;76,639
Índice general;Índice;2011M12;77,492
Índice general;Índice;2011M11;77,391
Índice general;Índice;2011M10;77,078
Índice general;Índice;2011M09;76,475
Índice general;Índice;2011M08;76,289
Índice general;Índice;2011M07;76,194
Índice general;Índice;2011M06;76,606
Índice general;Índice;2011M05;76,714
Índice general;Índice;2011M04;76,739
Índice general;Índice;2011M03;75,796
Índice general;Índice;2011M02;75,234
Índice general;Índice;2011M01;75,138
Índice general;Índice;2010M12;75,692
Índice general;Índice;2010M11;75,23
Índice general;Índice;2010M10;74,824
Índice general;Índice;2010M09;74,146
Índice general;Índice;2010M08;74,095
Índice general;Índice;2010M07;73,909
Índice general;Índice;2010M06;74,241
Índice general;Índice;2010M05;74,109
Índice general;Índice;2010M04;73,944
Índice general;Índice;2010M03;73,165
Índice general;Índice;2010M02;72,627
Índice general;Índice;2010M01;72,759
Índice general;Índice;2009M12;73,496
Índice general;Índice;2009M11;73,515
Índice general;Índice;2009M10;73,119
Índice general;Índice;2009M09;72,601
Índice general;Índice;2009M08;72,773
Índice general;Índice;2009M07;72,52
Índice general;Índice;2009M06;73,144
Índice general;Índice;2009M05;72,823
Índice general;Índice;2009M04;72,849
Índice general;Índice;2009M03;72,144
Índice general;Índice;2009M02;72,026
Índice general;Índice;2009M01;72,018
Índice general;Índice;2008M12;72,917
Índice general;Índice;2008M11;73,293
Índice general;Índice;2008M10;73,605
Índice general;Índice;2008M09;73,353
Índice general;Índice;2008M08;73,368
Índice general;Índice;2008M07;73,526
Índice general;Índice;2008M06;73,881
Índice general;Índice;2008M05;73,458
Índice general;Índice;2008M04;72,965
Índice general;Índice;2008M03;72,188
Índice general;Índice;2008M02;71,553
Índice general;Índice;2008M01;71,442
Índice general;Índice;2007M12;71,887
Índice general;Índice;2007M11;71,587
Índice general;Índice;2007M10;71,077
Índice general;Índice;2007M09;70,168
Índice general;Índice;2007M08;69,938
Índice general;Índice;2007M07;69,843
Índice general;Índice;2007M06;70,354
Índice general;Índice;2007M05;70,225
Índice general;Índice;2007M04;70,033
Índice general;Índice;2007M03;69,079
Índice general;Índice;2007M02;68,559
Índice general;Índice;2007M01;68,512
Índice general;Índice;2006M12;68,976
Índice general;Índice;2006M11;68,787
Índice general;Índice;2006M10;68,618
Índice general;Índice;2006M09;68,337
Índice general;Índice;2006M08;68,45
Índice general;Índice;2006M07;68,31
Índice general;Índice;2006M06;68,719
Índice general;Índice;2006M05;68,615
Índice general;Índice;2006M04;68,369
Índice general;Índice;2006M03;67,418
Índice general;Índice;2006M02;66,944
Índice general;Índice;2006M01;66,912
Índice general;Índice;2005M12;67,184
Índice general;Índice;2005M11;67,04
Índice general;Índice;2005M10;66,939
Índice general;Índice;2005M09;66,399
Índice general;Índice;2005M08;65,994
Índice general;Índice;2005M07;65,705
Índice general;Índice;2005M06;66,11
Índice general;Índice;2005M05;65,956
Índice general;Índice;2005M04;65,83
Índice general;Índice;2005M03;64,895
Índice general;Índice;2005M02;64,386
Índice general;Índice;2005M01;64,219
Índice general;Índice;2004M12;64,765
Índice general;Índice;2004M11;64,828
Índice general;Índice;2004M10;64,667
Índice general;Índice;2004M09;64,009
Índice general;Índice;2004M08;63,895
Índice general;Índice;2004M07;63,614
Índice general;Índice;2004M06;64,1
Índice general;Índice;2004M05;63,999
Índice general;Índice;2004M04;63,623
Índice general;Índice;2004M03;62,764
Índice general;Índice;2004M02;62,329
Índice general;Índice;2004M01;62,3
Índice general;Índice;2003M12;62,74
Índice general;Índice;2003M11;62,633
Índice general;Índice;2003M10;62,429
Índice general;Índice;2003M09;62,011
Índice general;Índice;2003M08;61,827
Índice general;Índice;2003M07;61,545
Índice general;Índice;2003M06;61,933
Índice general;Índice;2003M05;61,892
Índice general;Índice;2003M04;61,949
Índice general;Índice;2003M03;61,449
Índice general;Índice;2003M02;61,026
Índice general;Índice;2003M01;60,896
Índice general;Índice;2002M12;61,148
Índice general;Índice;2002M11;60,946
Índice general;Índice;2002M10;60,851
Índice general;Índice;2002M09;60,255
Índice general;Índice;2002M08;60,03
Índice general;Índice;2002M07;59,858
Índice general;Índice;2002M06;60,277
Índice general;Índice;2002M05;60,274
Índice general;Índice;2002M04;60,058
Índice general;Índice;2002M03;59,253
Índice general;Índice;2002M02;58,768
Índice general;Índice;2002M01;58,717
Índice general;Variación mensual;2026M02;0,4
Índice general;Variación mensual;2026M01;-0,4
Índice general;Variación mensual;2025M12;0,3
Índice general;Variación mensual;2025M11;0,2
Índice general;Variación mensual;2025M10;0,7
Índice general;Variación mensual;2025M09;-0,3
Índice general;Variación mensual;2025M08;0
Índice general;Variación mensual;2025M07;-0,1
Índice general;Variación mensual;2025M06;0,7
Índice general;Variación mensual;2025M05;0,1
Índice general;Variación mensual;2025M04;0,6
Índice general;Variación mensual;2025M03;0,1
Índice general;Variación mensual;2025M02;0,4
Índice general;Variación mensual;2025M01;0,2
Índice general;Variación mensual;2024M12;0,5
Índice general;Variación mensual;2024M11;0,2
Índice general;Variación mensual;2024M10;0,6
Índice general;Variación mensual;2024M09;-0,6
Índice general;Variación mensual;2024M08;0
Índice general;Variación mensual;2024M07;-0,5
Índice general;Variación mensual;2024M06;0,4
Índice general;Variación mensual;2024M05;0,3
Índice general;Variación mensual;2024M04;0,7
Índice general;Variación mensual;2024M03;0,8
Índice general;Variación mensual;2024M02;0,4
Índice general;Variación mensual;2024M01;0,1
Índice general;Variación mensual;2023M12;0
Índice general;Variación mensual;2023M11;-0,3
Índice general;Variación mensual;2023M10;0,3
Índice general;Variación mensual;2023M09;0,2
Índice general;Variación mensual;2023M08;0,5
Índice general;Variación mensual;2023M07;0,2
Índice general;Variación mensual;2023M06;0,6
Índice general;Variación mensual;2023M05;0
Índice general;Variación mensual;2023M04;0,6
Índice general;Variación mensual;2023M03;0,4
Índice general;Variación mensual;2023M02;0,9
Índice general;Variación mensual;2023M01;-0,2
Índice general;Variación mensual;2022M12;0,2
Índice general;Variación mensual;2022M11;-0,1
Índice general;Variación mensual;2022M10;0,3
Índice general;Variación mensual;2022M09;-0,7
Índice general;Variación mensual;2022M08;0,3
Índice general;Variación mensual;2022M07;-0,3
Índice general;Variación mensual;2022M06;1,9
Índice general;Variación mensual;2022M05;0,8
Índice general;Variación mensual;2022M04;-0,2
Índice general;Variación mensual;2022M03;3
Índice general;Variación mensual;2022M02;0,8
Índice general;Variación mensual;2022M01;-0,4
Índice general;Variación mensual;2021M12;1,2
Índice general;Variación mensual;2021M11;0,3
Índice general;Variación mensual;2021M10;1,8
Índice general;Variación mensual;2021M09;0,8
Índice general;Variación mensual;2021M08;0,5
Índice general;Variación mensual;2021M07;-0,8
Índice general;Variación mensual;2021M06;0,5
Índice general;Variación mensual;2021M05;0,5
Índice general;Variación mensual;2021M04;1,2
Índice general;Variación mensual;2021M03;1
Índice general;Variación mensual;2021M02;-0,6
Índice general;Variación mensual;2021M01;0
Índice general;Variación mensual;2020M12;0,2
Índice general;Variación mensual;2020M11;0,2
Índice general;Variación mensual;2020M10;0,5
Índice general;Variación mensual;2020M09;0,2
Índice general;Variación mensual;2020M08;0
Índice general;Variación mensual;2020M07;-0,9
Índice general;Variación mensual;2020M06;0,5
Índice general;Variación mensual;2020M05;0
Índice general;Variación mensual;2020M04;0,3
Índice general;Variación mensual;2020M03;-0,4
Índice general;Variación mensual;2020M02;-0,1
Índice general;Variación mensual;2020M01;-1
Índice general;Variación mensual;2019M12;-0,1
Índice general;Variación mensual;2019M11;0,2
Índice general;Variación mensual;2019M10;1
Índice general;Variación mensual;2019M09;0
Índice general;Variación mensual;2019M08;-0,1
Índice general;Variación mensual;2019M07;-0,6
Índice general;Variación mensual;2019M06;-0,1
Índice general;Variación mensual;2019M05;0,2
Índice general;Variación mensual;2019M04;1
Índice general;Variación mensual;2019M03;0,4
Índice general;Variación mensual;2019M02;0,2
Índice general;Variación mensual;2019M01;-1,3
Índice general;Variación mensual;2018M12;-0,4
Índice general;Variación mensual;2018M11;-0,1
Índice general;Variación mensual;2018M10;0,9
Índice general;Variación mensual;2018M09;0,2
Índice general;Variación mensual;2018M08;0,1
Índice general;Variación mensual;2018M07;-0,7
Índice general;Variación mensual;2018M06;0,3
Índice general;Variación mensual;2018M05;0,9
Índice general;Variación mensual;2018M04;0,8
Índice general;Variación mensual;2018M03;0,1
Índice general;Variación mensual;2018M02;0,1
Índice general;Variación mensual;2018M01;-1,1
Índice general;Variación mensual;2017M12;0
Índice general;Variación mensual;2017M11;0,5
Índice general;Variación mensual;2017M10;0,9
Índice general;Variación mensual;2017M09;0,2
Índice general;Variación mensual;2017M08;0,2
Índice general;Variación mensual;2017M07;-0,7
Índice general;Variación mensual;2017M06;0
Índice general;Variación mensual;2017M05;-0,1
Índice general;Variación mensual;2017M04;1
Índice general;Variación mensual;2017M03;0
Índice general;Variación mensual;2017M02;-0,4
Índice general;Variación mensual;2017M01;-0,5
Índice general;Variación mensual;2016M12;0,6
Índice general;Variación mensual;2016M11;0,4
Índice general;Variación mensual;2016M10;1,1
Índice general;Variación mensual;2016M09;0
Índice general;Variación mensual;2016M08;0,1
Índice general;Variación mensual;2016M07;-0,7
Índice general;Variación mensual;2016M06;0,5
Índice general;Variación mensual;2016M05;0,5
Índice general;Variación mensual;2016M04;0,7
Índice general;Variación mensual;2016M03;0,6
Índice general;Variación mensual;2016M02;-0,4
Índice general;Variación mensual;2016M01;-1,9
Índice general;Variación mensual;2015M12;-0,3
Índice general;Variación mensual;2015M11;0,4
Índice general;Variación mensual;2015M10;0,6
Índice general;Variación mensual;2015M09;-0,3
Índice general;Variación mensual;2015M08;-0,3
Índice general;Variación mensual;2015M07;-0,9
Índice general;Variación mensual;2015M06;0,3
Índice general;Variación mensual;2015M05;0,5
Índice general;Variación mensual;2015M04;0,9
Índice general;Variación mensual;2015M03;0,6
Índice general;Variación mensual;2015M02;0,2
Índice general;Variación mensual;2015M01;-1,6
Índice general;Variación mensual;2014M12;-0,6
Índice general;Variación mensual;2014M11;-0,1
Índice general;Variación mensual;2014M10;0,5
Índice general;Variación mensual;2014M09;0,2
Índice general;Variación mensual;2014M08;0,2
Índice general;Variación mensual;2014M07;-0,9
Índice general;Variación mensual;2014M06;0
Índice general;Variación mensual;2014M05;0
Índice general;Variación mensual;2014M04;0,9
Índice general;Variación mensual;2014M03;0,2
Índice general;Variación mensual;2014M02;0
Índice general;Variación mensual;2014M01;-1,3
Índice general;Variación mensual;2013M12;0,1
Índice general;Variación mensual;2013M11;0,2
Índice general;Variación mensual;2013M10;0,4
Índice general;Variación mensual;2013M09;-0,2
Índice general;Variación mensual;2013M08;0,3
Índice general;Variación mensual;2013M07;-0,5
Índice general;Variación mensual;2013M06;0,1
Índice general;Variación mensual;2013M05;0,2
Índice general;Variación mensual;2013M04;0,4
Índice general;Variación mensual;2013M03;0,4
Índice general;Variación mensual;2013M02;0,2
Índice general;Variación mensual;2013M01;-1,3
Índice general;Variación mensual;2012M12;0,1
Índice general;Variación mensual;2012M11;-0,1
Índice general;Variación mensual;2012M10;0,8
Índice general;Variación mensual;2012M09;1
Índice general;Variación mensual;2012M08;0,6
Índice general;Variación mensual;2012M07;-0,2
Índice general;Variación mensual;2012M06;-0,2
Índice general;Variación mensual;2012M05;-0,1
Índice general;Variación mensual;2012M04;1,4
Índice general;Variación mensual;2012M03;0,7
Índice general;Variación mensual;2012M02;0,1
Índice general;Variación mensual;2012M01;-1,1
Índice general;Variación mensual;2011M12;0,1
Índice general;Variación mensual;2011M11;0,4
Índice general;Variación mensual;2011M10;0,8
Índice general;Variación mensual;2011M09;0,2
Índice general;Variación mensual;2011M08;0,1
Índice general;Variación mensual;2011M07;-0,5
Índice general;Variación mensual;2011M06;-0,1
Índice general;Variación mensual;2011M05;0
Índice general;Variación mensual;2011M04;1,2
Índice general;Variación mensual;2011M03;0,7
Índice general;Variación mensual;2011M02;0,1
Índice general;Variación mensual;2011M01;-0,7
Índice general;Variación mensual;2010M12;0,6
Índice general;Variación mensual;2010M11;0,5
Índice general;Variación mensual;2010M10;0,9
Índice general;Variación mensual;2010M09;0,1
Índice general;Variación mensual;2010M08;0,3
Índice general;Variación mensual;2010M07;-0,4
Índice general;Variación mensual;2010M06;0,2
Índice general;Variación mensual;2010M05;0,2
Índice general;Variación mensual;2010M04;1,1
Índice general;Variación mensual;2010M03;0,7
Índice general;Variación mensual;2010M02;-0,2
Índice general;Variación mensual;2010M01;-1
Índice general;Variación mensual;2009M12;0
Índice general;Variación mensual;2009M11;0,5
Índice general;Variación mensual;2009M10;0,7
Índice general;Variación mensual;2009M09;-0,2
Índice general;Variación mensual;2009M08;0,3
Índice general;Variación mensual;2009M07;-0,9
Índice general;Variación mensual;2009M06;0,4
Índice general;Variación mensual;2009M05;0
Índice general;Variación mensual;2009M04;1
Índice general;Variación mensual;2009M03;0,2
Índice general;Variación mensual;2009M02;0
Índice general;Variación mensual;2009M01;-1,2
Índice general;Variación mensual;2008M12;-0,5
Índice general;Variación mensual;2008M11;-0,4
Índice general;Variación mensual;2008M10;0,3
Índice general;Variación mensual;2008M09;0
Índice general;Variación mensual;2008M08;-0,2
Índice general;Variación mensual;2008M07;-0,5
Índice general;Variación mensual;2008M06;0,6
Índice general;Variación mensual;2008M05;0,7
Índice general;Variación mensual;2008M04;1,1
Índice general;Variación mensual;2008M03;0,9
Índice general;Variación mensual;2008M02;0,2
Índice general;Variación mensual;2008M01;-0,6
Índice general;Variación mensual;2007M12;0,4
Índice general;Variación mensual;2007M11;0,7
Índice general;Variación mensual;2007M10;1,3
Índice general;Variación mensual;2007M09;0,3
Índice general;Variación mensual;2007M08;0,1
Índice general;Variación mensual;2007M07;-0,7
Índice general;Variación mensual;2007M06;0,2
Índice general;Variación mensual;2007M05;0,3
Índice general;Variación mensual;2007M04;1,4
Índice general;Variación mensual;2007M03;0,8
Índice general;Variación mensual;2007M02;0,1
Índice general;Variación mensual;2007M01;-0,7
Índice general;Variación mensual;2006M12;0,3
Índice general;Variación mensual;2006M11;0,2
Índice general;Variación mensual;2006M10;0,4
Índice general;Variación mensual;2006M09;-0,2
Índice general;Variación mensual;2006M08;0,2
Índice general;Variación mensual;2006M07;-0,6
Índice general;Variación mensual;2006M06;0,2
Índice general;Variación mensual;2006M05;0,4
Índice general;Variación mensual;2006M04;1,4
Índice general;Variación mensual;2006M03;0,7
Índice general;Variación mensual;2006M02;0
Índice general;Variación mensual;2006M01;-0,4
Índice general;Variación mensual;2005M12;0,2
Índice general;Variación mensual;2005M11;0,2
Índice general;Variación mensual;2005M10;0,8
Índice general;Variación mensual;2005M09;0,6
Índice general;Variación mensual;2005M08;0,4
Índice general;Variación mensual;2005M07;-0,6
Índice general;Variación mensual;2005M06;0,2
Índice general;Variación mensual;2005M05;0,2
Índice general;Variación mensual;2005M04;1,4
Índice general;Variación mensual;2005M03;0,8
Índice general;Variación mensual;2005M02;0,3
Índice general;Variación mensual;2005M01;-0,8
Índice general;Variación mensual;2004M12;-0,1
Índice general;Variación mensual;2004M11;0,2
Índice general;Variación mensual;2004M10;1
Índice general;Variación mensual;2004M09;0,2
Índice general;Variación mensual;2004M08;0,4
Índice general;Variación mensual;2004M07;-0,8
Índice general;Variación mensual;2004M06;0,2
Índice general;Variación mensual;2004M05;0,6
Índice general;Variación mensual;2004M04;1,4
Índice general;Variación mensual;2004M03;0,7
Índice general;Variación mensual;2004M02;0
Índice general;Variación mensual;2004M01;-0,7
Índice general;Variación mensual;2003M12;0,2
Índice general;Variación mensual;2003M11;0,3
Índice general;Variación mensual;2003M10;0,7
Índice general;Variación mensual;2003M09;0,3
Índice general;Variación mensual;2003M08;0,5
Índice general;Variación mensual;2003M07;-0,6
Índice general;Variación mensual;2003M06;0,1
Índice general;Variación mensual;2003M05;-0,1
Índice general;Variación mensual;2003M04;0,8
Índice general;Variación mensual;2003M03;0,7
Índice general;Variación mensual;2003M02;0,2
Índice general;Variación mensual;2003M01;-0,4
Índice general;Variación mensual;2002M12;0,3
Índice general;Variación mensual;2002M11;0,2
Índice general;Variación mensual;2002M10;1
Índice general;Variación mensual;2002M09;0,4
Índice general;Variación mensual;2002M08;0,3
Índice general;Variación mensual;2002M07;-0,7
Índice general;Variación mensual;2002M06;0
Índice general;Variación mensual;2002M05;0,4
Índice general;Variación mensual;2002M04;1,4
Índice general;Variación mensual;2002M03;0,8
Índice general;Variación mensual;2002M02;0,1
Índice general;Variación mensual;2002M01;-0,1
Índice general;Variación anual;2026M02;2,3
Índice general;Variación anual;2026M01;2,3
Índice general;Variación anual;2025M12;2,9
Índice general;Variación anual;2025M11;3
Índice general;Variación anual;2025M10;3,1
Índice general;Variación anual;2025M09;3
Índice general;Variación anual;2025M08;2,7
Índice general;Variación anual;2025M07;2,7
Índice general;Variación anual;2025M06;2,3
Índice general;Variación anual;2025M05;2
Índice general;Variación anual;2025M04;2,2
Índice general;Variación anual;2025M03;2,3
Índice general;Variación anual;2025M02;3
Índice general;Variación anual;2025M01;2,9
Índice general;Variación anual;2024M12;2,8
Índice general;Variación anual;2024M11;2,4
Índice general;Variación anual;2024M10;1,8
Índice general;Variación anual;2024M09;1,5
Índice general;Variación anual;2024M08;2,3
Índice general;Variación anual;2024M07;2,8
Índice general;Variación anual;2024M06;3,4
Índice general;Variación anual;2024M05;3,6
Índice general;Variación anual;2024M04;3,3
Índice general;Variación anual;2024M03;3,2
Índice general;Variación anual;2024M02;2,8
Índice general;Variación anual;2024M01;3,4
Índice general;Variación anual;2023M12;3,1
Índice general;Variación anual;2023M11;3,2
Índice general;Variación anual;2023M10;3,5
Índice general;Variación anual;2023M09;3,5
Índice general;Variación anual;2023M08;2,6
Índice general;Variación anual;2023M07;2,3
Índice general;Variación anual;2023M06;1,9
Índice general;Variación anual;2023M05;3,2
Índice general;Variación anual;2023M04;4,1
Índice general;Variación anual;2023M03;3,3
Índice general;Variación anual;2023M02;6
Índice general;Variación anual;2023M01;5,9
Índice general;Variación anual;2022M12;5,7
Índice general;Variación anual;2022M11;6,8
Índice general;Variación anual;2022M10;7,3
Índice general;Variación anual;2022M09;8,9
Índice general;Variación anual;2022M08;10,5
Índice general;Variación anual;2022M07;10,8
Índice general;Variación anual;2022M06;10,2
Índice general;Variación anual;2022M05;8,7
Índice general;Variación anual;2022M04;8,3
Índice general;Variación anual;2022M03;9,8
Índice general;Variación anual;2022M02;7,6
Índice general;Variación anual;2022M01;6,1
Índice general;Variación anual;2021M12;6,5
Índice general;Variación anual;2021M11;5,5
Índice general;Variación anual;2021M10;5,4
Índice general;Variación anual;2021M09;4
Índice general;Variación anual;2021M08;3,3
Índice general;Variación anual;2021M07;2,9
Índice general;Variación anual;2021M06;2,7
Índice general;Variación anual;2021M05;2,7
Índice general;Variación anual;2021M04;2,2
Índice general;Variación anual;2021M03;1,3
Índice general;Variación anual;2021M02;0
Índice general;Variación anual;2021M01;0,5
Índice general;Variación anual;2020M12;-0,5
Índice general;Variación anual;2020M11;-0,8
Índice general;Variación anual;2020M10;-0,8
Índice general;Variación anual;2020M09;-0,4
Índice general;Variación anual;2020M08;-0,5
Índice general;Variación anual;2020M07;-0,6
Índice general;Variación anual;2020M06;-0,3
Índice general;Variación anual;2020M05;-0,9
Índice general;Variación anual;2020M04;-0,7
Índice general;Variación anual;2020M03;0
Índice general;Variación anual;2020M02;0,7
Índice general;Variación anual;2020M01;1,1
Índice general;Variación anual;2019M12;0,8
Índice general;Variación anual;2019M11;0,4
Índice general;Variación anual;2019M10;0,1
Índice general;Variación anual;2019M09;0,1
Índice general;Variación anual;2019M08;0,3
Índice general;Variación anual;2019M07;0,5
Índice general;Variación anual;2019M06;0,4
Índice general;Variación anual;2019M05;0,8
Índice general;Variación anual;2019M04;1,5
Índice general;Variación anual;2019M03;1,3
Índice general;Variación anual;2019M02;1,1
Índice general;Variación anual;2019M01;1
Índice general;Variación anual;2018M12;1,2
Índice general;Variación anual;2018M11;1,7
Índice general;Variación anual;2018M10;2,3
Índice general;Variación anual;2018M09;2,3
Índice general;Variación anual;2018M08;2,2
Índice general;Variación anual;2018M07;2,2
Índice general;Variación anual;2018M06;2,3
Índice general;Variación anual;2018M05;2,1
Índice general;Variación anual;2018M04;1,1
Índice general;Variación anual;2018M03;1,2
Índice general;Variación anual;2018M02;1,1
Índice general;Variación anual;2018M01;0,6
Índice general;Variación anual;2017M12;1,1
Índice general;Variación anual;2017M11;1,7
Índice general;Variación anual;2017M10;1,6
Índice general;Variación anual;2017M09;1,8
Índice general;Variación anual;2017M08;1,6
Índice general;Variación anual;2017M07;1,5
Índice general;Variación anual;2017M06;1,5
Índice general;Variación anual;2017M05;1,9
Índice general;Variación anual;2017M04;2,6
Índice general;Variación anual;2017M03;2,3
Índice general;Variación anual;2017M02;3
Índice general;Variación anual;2017M01;3
Índice general;Variación anual;2016M12;1,6
Índice general;Variación anual;2016M11;0,7
Índice general;Variación anual;2016M10;0,7
Índice general;Variación anual;2016M09;0,2
Índice general;Variación anual;2016M08;-0,1
Índice general;Variación anual;2016M07;-0,6
Índice general;Variación anual;2016M06;-0,8
Índice general;Variación anual;2016M05;-1
Índice general;Variación anual;2016M04;-1,1
Índice general;Variación anual;2016M03;-0,8
Índice general;Variación anual;2016M02;-0,8
Índice general;Variación anual;2016M01;-0,3
Índice general;Variación anual;2015M12;0
Índice general;Variación anual;2015M11;-0,3
Índice general;Variación anual;2015M10;-0,7
Índice general;Variación anual;2015M09;-0,9
Índice general;Variación anual;2015M08;-0,4
Índice general;Variación anual;2015M07;0,1
Índice general;Variación anual;2015M06;0,1
Índice general;Variación anual;2015M05;-0,2
Índice general;Variación anual;2015M04;-0,6
Índice general;Variación anual;2015M03;-0,7
