Provincia,Maíz híbrido - Superficie - (hectáreas),Maíz híbrido - Producción - (toneladas),Otros maíces - Superficie - (hectáreas),Otros maíces - Producción - (toneladas)
A Coruña,7321,46498,293,1859
Lugo,1724,11361,576,3277
Ourense,1962,11792,0,0
Pontevedra,5627,28146,0,0
GALICIA,16634,97797,869,5136
P. DE ASTURIAS,230,598,225,585
CANTABRIA,0,0,0,0
Alava,0,0,2,9
Guipúzcoa,65,195,38,114
Vizcaya,31,106,40,121
PAIS VASCO,96,301,80,244
NAVARRA,13462,161624,0,0
LA RIOJA,416,4831,0,0
Huesca,58566,708649,4750,49875
Teruel,1947,18987,0,0
Zaragoza,15595,172889,0,0
ARAGON,76108,900525,4750,49875
Barcelona,173,1170,0,0
Girona,5545,58096,0,0
Lleida,31243,320435,0,0
Tarragona,112,908,0,0
CATALUÑA,37073,380609,0,0
BALEARES,138,759,0,0
Avila,1163,15825,0,0
Burgos,647,7748,0,0
León,57176,714700,0,0
Palencia,0,0,1990,23952
Salamanca,15914,198925,0,0
Segovia,73,803,0,0
Soria,146,1755,0,0
Valladolid,3837,47602,0,0
Zamora,11381,159584,0,0
CASTILLA Y LEON,90337,1146942,1990,23952
MADRID,3995,46651,255,3570
Albacete,6442,90188,0,0
Ciudad Real,3553,40875,0,0
Cuenca,803,9408,0,0
Guadalajara,2434,32815,0,0
Toledo,5448,68100,0,0
CASTILLA–LA MANCHA,18680,241386,0,0
Alicante,49,539,161,1760
Castellón,66,342,88,160
Valencia,121,1452,0,0
C. VALENCIANA,236,2333,249,1920
R. DE MURCIA,114,1083,0,0
Badajoz,26134,362270,0,0
Cáceres,18022,271826,0,0
EXTREMADURA,44156,634096,0,0
Almería,11,61,0,0
Cádiz,1837,22361,0,0
Córdoba,1783,22283,0,0
Granada,0,0,2182,20447
Huelva,198,2490,0,0
Jaén,362,5068,0,0
Málaga,256,1779,0,0
Sevilla,4938,61374,0,0
ANDALUCIA,9385,115416,2182,20447
Las Palmas,224,651,205,544
S.C. de Tenerife,256,580,28,64
CANARIAS,480,1231,233,608
ESPAÑA,311540,3736182,10833,106337
