cereal_predominante_cebada,cereal_predominante_maiz,cereal_predominante_trigo,corn_intl_eur_lag_1,corn_intl_eur_ma3,corn_intl_eur_vol3,dist_puerto_min_km,eur_usd_lag_1,eur_usd_lag_2,fase_cosecha,fase_crecimiento,fase_siembra,idx_bienes_inversion_lag_3,idx_bienes_inversion_lag_4,idx_bienes_servicios_lag_3,idx_bienes_servicios_lag_4,idx_energia_lag_3,idx_energia_lag_4,idx_fertilizantes_lag_3,idx_fertilizantes_lag_4,idx_fitosanitarios_lag_3,idx_fitosanitarios_lag_4,idx_gastos_generales_lag_3,idx_gastos_generales_lag_4,idx_piensos_lag_3,idx_piensos_lag_4,idx_semillas_lag_3,idx_semillas_lag_4,lat_centroide,lon_centroide,month_cos,month_sin,precip_provincial_lag_1,precip_provincial_lag_2,precip_relative_shock,precip_std_mm_lag_1,precip_std_mm_lag_2,prepag1_dap_lag_3,prepag1_dap_lag_4,prepag1_urea 46_lag_3,prepag1_urea 46_lag_4,prepag2_paja cereales_lag_3,prepag2_torta de girasol_lag_3,prepag2_torta de girasol_lag_4,presion_combustible_puerto,provincia_Albacete,provincia_Badajoz,provincia_Burgos,provincia_Ciudad Real,provincia_Cuenca,provincia_Cádiz,provincia_Córdoba,provincia_Guadalajara,provincia_Huesca,provincia_León,provincia_Lleida,provincia_Navarra,provincia_Palencia,provincia_Salamanca,provincia_Segovia,provincia_Sevilla,provincia_Soria,provincia_Teruel,provincia_Toledo,provincia_Valladolid,provincia_Zamora,provincia_Zaragoza,provincia_id,provincia_Ávila,puerto_referencia_bilbao_graneles,puerto_referencia_musel_gijon,puerto_referencia_santander_graneles,puerto_referencia_sevilla_eurovia,puerto_referencia_tarragona_graneles,puerto_referencia_valencia_graneles,sup_cereal_predominante_lag_1,temp_provincial_lag_1,temp_provincial_lag_2,temp_std_C_lag_1,temp_std_C_lag_2,total_sup_cebada,total_sup_cebada_lag_1,total_sup_maiz,total_sup_trigo,total_sup_trigo_lag_1,wheat_intl_eur_lag_1,wheat_intl_eur_lag_2,wheat_intl_eur_lag_3,wheat_intl_eur_ma3,wheat_intl_eur_vol3,z_clima_adverso_lag_1,z_clima_adverso_lag_2,target_return_h1
True,False,False,184.886532463673,170.5183694861375,10.842490507182568,155.59681733555922,1.217348963022232,1.2679000616073608,1,0,0,73.74,74.35,74.91,74.35,70.05,66.76,69.58,69.34,81.8,81.71,77.0,76.13,75.97,75.94,74.8,74.8,38.82754835338438,-1.9795424083372128,-0.8660254037844388,-0.4999999999999997,30.897954078011644,43.254339510297214,0.7686375828929319,0.4889677918977251,0.5234886623256396,25.85,25.9,24.11,23.72,7.86,14.24,14.06,10899.557054355922,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,False,False,False,False,False,False,True,171424.0,22.989788615262235,17.949097588270906,1.3380785626209772,1.2369836664910194,171424.0,171424.0,21024.0,52313.0,52313.0,270.31807523330417,250.91544982055024,240.27075452441449,253.83475985942297,12.439242977314825,0.0,0.0,0.026950597849144272
False,False,True,184.886532463673,170.5183694861375,10.842490507182568,147.64979523829717,1.217348963022232,1.2679000616073608,1,0,0,73.74,74.35,74.91,74.35,70.05,66.76,69.58,69.34,81.8,81.71,77.0,76.13,75.97,75.94,74.8,74.8,38.7115002185918,-6.14120145448277,-0.8660254037844388,-0.4999999999999997,10.656854857229526,53.61502198595095,1.0332274847511584,0.2295776180247661,0.5848183767716251,25.85,25.9,24.11,23.72,7.86,14.24,14.06,10342.868156442715,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,False,False,False,False,True,False,False,152335.0,25.888985236278486,19.85927052480434,0.902231465903775,0.7892335906983622,48784.0,48784.0,35925.0,152335.0,152335.0,270.31807523330417,250.91544982055024,240.27075452441449,253.83475985942297,12.439242977314825,0.0,0.0,-0.017695920337406752
True,False,False,184.886532463673,170.5183694861375,10.842490507182568,112.2646235502942,1.217348963022232,1.2679000616073608,1,0,0,73.74,74.35,74.91,74.35,70.05,66.76,69.58,69.34,81.8,81.71,77.0,76.13,75.97,75.94,74.8,74.8,42.373325424482935,-3.58572216822109,-0.8660254037844388,-0.4999999999999997,49.036259083039575,89.93055318866777,1.0924874116215346,0.7905929416146388,1.0080105602410274,25.85,25.9,24.11,23.72,7.86,14.24,14.06,7864.136879698109,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,False,True,False,False,False,False,False,213099.0,18.803907244847064,13.39353114904645,1.811356984378114,1.343438753819309,213099.0,213099.0,1276.0,202921.0,202921.0,270.31807523330417,250.91544982055024,240.27075452441449,253.83475985942297,12.439242977314825,0.0,0.0,0.03795298851174423
False,False,True,184.886532463673,170.5183694861375,10.842490507182568,112.2646235502942,1.217348963022232,1.2679000616073608,1,0,0,73.74,74.35,74.91,74.35,70.05,66.76,69.58,69.34,81.8,81.71,77.0,76.13,75.97,75.94,74.8,74.8,42.373325424482935,-3.58572216822109,-0.8660254037844388,-0.4999999999999997,49.036259083039575,89.93055318866777,1.0065632507662243,0.7905929416146388,1.0080105602410274,25.85,25.9,24.11,23.72,7.86,14.24,14.06,7864.136879698109,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,False,True,False,False,False,False,False,202921.0,18.803907244847064,13.39353114904645,1.811356984378114,1.343438753819309,213099.0,213099.0,1276.0,202921.0,202921.0,270.31807523330417,250.91544982055024,240.27075452441449,253.83475985942297,12.439242977314825,0.0,0.0,-0.0033495560997941136
True,False,False,184.886532463673,170.5183694861375,10.842490507182568,255.2209442936476,1.217348963022232,1.2679000616073608,1,0,0,73.74,74.35,74.91,74.35,70.05,66.76,69.58,69.34,81.8,81.71,77.0,76.13,75.97,75.94,74.8,74.8,38.92705458106916,-3.828832084144407,-0.8660254037844388,-0.4999999999999997,22.884269745675446,29.40114827174985,0.6933298430835593,0.2897257573710503,0.3502717503753008,25.85,25.9,24.11,23.72,7.86,14.24,14.06,17878.227147770012,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13,False,False,False,False,True,False,False,161191.0,25.3266991755632,19.45277642396626,0.8439425352749432,0.8539233289397918,161191.0,161191.0,7095.0,46151.0,46151.0,270.31807523330417,250.91544982055024,240.27075452441449,253.83475985942297,12.439242977314825,0.0,0.0,0.03022146754344631
True,False,False,184.886532463673,170.5183694861375,10.842490507182568,162.9199290807873,1.217348963022232,1.2679000616073608,1,0,0,73.74,74.35,74.91,74.35,70.05,66.76,69.58,69.34,81.8,81.71,77.0,76.13,75.97,75.94,74.8,74.8,39.89900285015985,-2.1966999025851988,-0.8660254037844388,-0.4999999999999997,38.29734942401605,57.42706843843439,0.8951749681439468,0.5253924968625295,0.6203698446332513,25.85,25.9,24.11,23.72,7.86,14.24,14.06,11412.541032109151,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,16,False,False,False,False,False,False,True,285370.0,22.639952816032004,16.901240468184547,1.645136284296714,1.6725079386086223,285370.0,285370.0,1576.0,31592.0,31592.0,270.31807523330417,250.91544982055024,240.27075452441449,253.83475985942297,12.439242977314825,0.0,0.0,0.007695300261923119
False,False,True,184.886532463673,170.5183694861375,10.842490507182568,95.13363756623352,1.217348963022232,1.2679000616073608,1,0,0,73.74,74.35,74.91,74.35,70.05,66.76,69.58,69.34,81.8,81.71,77.0,76.13,75.97,75.94,74.8,74.8,36.553875466007234,-5.760626178356707,-0.8660254037844388,-0.4999999999999997,3.9075506133233775,58.431581066842384,0.3783556448941564,0.0553597668446972,0.3441709851942938,25.85,25.9,24.11,23.72,7.86,14.24,14.06,6664.111311514657,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,False,False,False,False,True,False,False,94526.0,23.4826465155245,19.352234212983262,1.4999995927880434,1.125855931252299,5090.0,5090.0,3494.0,94526.0,94526.0,270.31807523330417,250.91544982055024,240.27075452441449,253.83475985942297,12.439242977314825,0.0,0.0,-0.012721877077746588
False,False,True,184.886532463673,170.5183694861375,10.842490507182568,124.20981265596254,1.217348963022232,1.2679000616073608,1,0,0,73.74,74.35,74.91,74.35,70.05,66.76,69.58,69.34,81.8,81.71,77.0,76.13,75.97,75.94,74.8,74.8,37.99485656902838,-4.809649093820608,-0.8660254037844388,-0.4999999999999997,10.915143022903544,46.36149171657273,1.365783515863556,0.1980585496357091,0.4373985219535571,25.85,25.9,24.11,23.72,7.86,14.24,14.06,8700.897376550176,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14,False,False,False,False,True,False,False,147132.0,26.037704023262496,20.572014701967973,1.2944074651261863,1.2896615097204571,4279.0,4279.0,10505.0,147132.0,147132.0,270.31807523330417,250.91544982055024,240.27075452441449,253.83475985942297,12.439242977314825,0.0,0.0,-0.0018024382787736478
True,False,False,184.886532463673,170.5183694861375,10.842490507182568,242.5570192567739,1.217348963022232,1.2679000616073608,1,0,0,73.74,74.35,74.91,74.35,70.05,66.76,69.58,69.34,81.8,81.71,77.0,76.13,75.97,75.94,74.8,74.8,40.81502276954275,-2.6227834118163096,-0.8660254037844388,-0.4999999999999997,46.34062890070213,97.6749128785698,1.0792420716815594,0.678075528309721,1.042425430332623,25.85,25.9,24.11,23.72,7.86,14.24,14.06,16991.119198937013,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,19,False,False,False,False,False,False,True,119037.0,21.5318931602478,15.449142253898236,1.873477410789153,1.725574084134318,119037.0,119037.0,5167.0,61710.0,61710.0,270.31807523330417,250.91544982055024,240.27075452441449,253.83475985942297,12.439242977314825,0.0,0.0,0.06727605133868404
True,False,False,184.886532463673,170.5183694861375,10.842490507182568,163.7408448393481,1.217348963022232,1.2679000616073608,1,0,0,73.74,74.35,74.91,74.35,70.05,66.76,69.58,69.34,81.8,81.71,77.0,76.13,75.97,75.94,74.8,74.8,42.2055248468586,-0.0732915557486054,-0.8660254037844388,-0.4999999999999997,69.99420415825209,126.62823962853848,1.0114942315083504,1.1420301148160958,1.2502897680692722,25.85,25.9,24.11,23.72,7.86,14.24,14.06,11470.046180996334,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,22,False,False,False,False,False,True,False,183513.0,21.38861425683488,15.578139572504734,4.077775119537155,3.808107841326764,183513.0,183513.0,34702.0,26488.0,26488.0,270.31807523330417,250.91544982055024,240.27075452441449,253.83475985942297,12.439242977314825,0.0,0.0,0.02644194703612465
