Provincia,Maíz híbirido - Superficie - (hectáreas),Maíz híbirido - Producción - (toneladas),Otros maíces - Superficie - (hectáreas),Otros maíces - Producción - (toneladas)
A Coruña,11050,35500,339,4832
Lugo,2069,9579,0,0
Ourense,3262,18267,0,0
Pontevedra,5188,16500,3042,11482
GALICIA,21569,79846,3381,16314
P. DE ASTURIAS,1200,3000,100,200
CANTABRIA,30,135,3,12
Alava,0,0,27,105
Guipúzcoa,140,502,210,748
Vizcaya,62,201,94,301
PAIS VASCO,202,703,331,1154
NAVARRA,11925,98725,0,0
LA RIOJA,1419,12574,0,0
Huesca,46698,445219,0,0
Teruel,4364,41793,0,0
Zaragoza,27696,179945,0,0
ARAGON,78758,666957,0,0
Barcelona,2553,13706,0,0
Girona,0,0,10259,95932
Lleida,29289,307531,0,0
Tarragona,121,1003,0,0
CATALUÑA,31963,322240,10259,95932
BALEARES,200,1600,0,0
Avila,1263,11367,0,0
Burgos,750,6702,0,0
León,58472,555480,0,0
Palencia,10559,51845,0,0
Salamanca,13944,146937,0,0
Segovia,47,423,0,0
Soria,555,5539,0,0
Valladolid,17743,195141,0,0
Zamora,23525,209012,0,0
CASTILLA Y LEON,126858,1182446,0,0
MADRID,9427,108307,0,0
Albacete,19920,258825,0,0
Ciudad Real,5901,67731,0,0
Cuenca,2188,24893,0,0
Guadalajara,6100,79014,0,0
Toledo,13987,157245,0,0
CASTILLA–LA MANCHA,48096,587708,0,0
Alicante,440,2196,0,0
Castellón,193,895,0,0
Valencia,324,2553,0,0
C. VALENCIANA,957,5644,0,0
R. DE MURCIA,231,1674,0,0
Badajoz,0,0,45500,459550
Cáceres,0,0,21500,191350
EXTREMADURA,0,0,67000,650900
Almería,0,0,33,137
Cádiz,3802,46811,0,0
Córdoba,12598,159842,0,0
Granada,4198,30226,0,0
Huelva,658,5533,0,0
Jaén,1679,17948,0,0
Málaga,612,4100,34,34
Sevilla,27060,323265,0,0
ANDALUCIA,50607,587725,67,171
Las Palmas,75,269,18,65
S.C. de Tenerife,366,858,92,214
CANARIAS,441,1127,110,279
ESPAÑA,383883,3660411,81251,764962
