CEREALES GRANO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
"6.17.  CEBADA: Análisis provincial de superficie y producción según tipos, 2002",,,,
,,,,
Provincias,Cebada de 2 carreras,,Cebada de 6 carreras,
y,Superficie,Producción,Superficie,Producción
Comunidades Autónomas,(hectáreas),(toneladas),(hectáreas),(toneladas)
A Coruña,259,622,–,–
Lugo,–,–,4,16
Ourense,246,935,–,–
Pontevedra,–,–,15,42
 GALICIA,505,1557,19,58
,,,,
 P. DE ASTURIAS,–,–,–,–
,,,,
 CANTABRIA,505,1515,–,–
,,,,
Alava,13529,76439,–,–
Guipúzcoa,–,–,–,–
Vizcaya,–,–,–,–
 PAÍS VASCO,13529,76439,–,–
,,,,
 NAVARRA,4815,13512,96574,271001
,,,,
 LA RIOJA,19718,55074,–,–
,,,,
Huesca,143466,436952,33653,102389
Teruel,76227,150774,58034,102986
Zaragoza,45394,78267,14335,24716
 ARAGÓN,265087,665993,106022,230091
,,,,
Barcelona,43925,148153,1987,9383
Girona,16254,39752,–,–
Lleida,101441,392464,16450,62510
Tarragona,10347,43372,2780,10843
 CATALUÑA,171967,623741,21217,82736
,,,,
 BALEARES,4603,5742,7541,9407
,,,,
Avila,69062,188320,18989,39789
Burgos,228569,693245,6500,19370
León,21117,74630,7500,18000
Palencia,170000,319140,19205,30729
Salamanca,51400,146020,24441,69599
Segovia,79777,207693,53200,138280
Soria,138227,302180,2500,5425
Valladolid,300419,577765,19000,43800
Zamora,41001,108872,34000,101000
 CASTILLA Y LEÓN,1099572,2617865,185335,465992
,,,,
 MADRID,34180,92380,3545,9581
,,,,
Albacete,91652,334720,96200,270803
Ciudad Real,79119,236376,44500,120950
Cuenca,232036,828425,52450,189598
Guadalajara,103115,312748,10200,30937
Toledo,147331,393585,7754,12173
 CASTILLA–LA MANCHA,653253,2105854,211104,624461
,,,,
Alicante,3596,8637,1080,1879
Castellón,2569,5406,1206,3197
Valencia,3546,9130,4433,13256
 C. VALENCIANA,9711,23173,6719,18332
,,,,
 R. DE MURCIA,36864,39950,7200,5200
,,,,
Badajoz,36750,117569,7450,23758
Cáceres,1700,6800,3100,9920
 EXTREMADURA,38450,124369,10550,33678
,,,,
Almería,–,–,10700,21230
Cádiz,3012,7919,2733,7183
Córdoba,1303,2894,3039,6750
Granada,15617,22983,39496,57807
Huelva,367,730,1284,2601
Jaén,4117,8177,1563,3040
Málaga,4000,10346,400,800
Sevilla,4456,10540,756,1531
 ANDALUCÍA,32872,63589,59971,100942
,,,,
Las Palmas,–,–,–,–
S.C. de Tenerife,–,–,96,96
 CANARIAS,–,–,96,96
,,,,
ESPAÑA,2385631,6510753,715893,1851575
