CEREALES GRANO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
"6.9.  TRIGO: Análisis provincial de superficie y producción según dureza del grano, 2002",,,,
,,,,
Provincias,Trigo duro,,Trigo blando y semiduro,
y,Superficie,Producción,Superficie,Producción
Comunidades Autónomas,(hectáreas),(toneladas),(hectáreas),(toneladas)
A Coruña,–,–,4006,11617
Lugo,–,–,5281,17374
Ourense,–,–,10301,30903
Pontevedra,–,–,647,1941
 GALICIA,–,–,20235,61835
,,,,
 P. DE ASTURIAS,80,168,–,–
,,,,
 CANTABRIA,–,–,550,2200
,,,,
Alava,–,–,27459,162008
Guipúzcoa,–,–,–,–
Vizcaya,–,–,1,4
 PAÍS VASCO,–,–,27460,162012
,,,,
 NAVARRA,14145,9403,64167,296473
,,,,
 LA RIOJA,179,801,34526,150484
,,,,
Huesca,2216,3331,32746,137260
Teruel,4383,4252,35141,61724
Zaragoza,225657,204966,27450,36171
 ARAGÓN,232256,212549,95337,235155
,,,,
Barcelona,–,–,21450,106405
Girona,–,–,12790,33506
Lleida,70,291,36293,147280
Tarragona,–,–,6530,26200
 CATALUÑA,70,291,77063,313391
,,,,
 BALEARES,393,475,3775,4565
,,,,
Avila,–,–,24962,59878
Burgos,14855,31344,187303,792575
León,–,–,48203,154084
Palencia,100,230,109494,251572
Salamanca,423,1105,63449,193422
Segovia,–,–,51266,130463
Soria,103,240,101163,236350
Valladolid,100,150,54341,131713
Zamora,1780,3487,77444,200201
 CASTILLA Y LEÓN,17361,36556,717625,2150258
,,,,
 MADRID,214,598,25822,72147
,,,,
Albacete,–,–,46259,142888
Ciudad Real,–,–,64253,136609
Cuenca,–,–,47415,136971
Guadalajara,–,–,79486,233568
Toledo,46848,82575,42550,94574
 CASTILLA–LA MANCHA,46848,82575,279963,744610
,,,,
Alicante,361,433,3524,11000
Castellón,–,–,554,1831
Valencia,148,410,1779,4527
 C. VALENCIANA,509,843,5857,17358
,,,,
 R. DE MURCIA,429,500,8300,10370
,,,,
Badajoz,96400,320259,51200,232647
Cáceres,400,1244,6710,21680
 EXTREMADURA,96800,321503,57910,254327
,,,,
Almería,4620,5110,1225,2153
Cádiz,88967,238856,10506,27359
Córdoba,133493,421615,14833,46847
Granada,24717,36804,5136,7624
Huelva,18067,50207,3077,8800
Jaén,20839,60733,1504,4460
Málaga,34603,68800,1889,4601
Sevilla,191594,604808,23521,91758
 ANDALUCÍA,516900,1486933,61691,193602
,,,,
Las Palmas,–,–,–,–
S.C. de Tenerife,–,–,178,178
 CANARIAS,–,–,178,178
,,,,
ESPAÑA,926184,2153195,1480459,4668965
