Provincia,Maíz híbrido - Superficie - (hectáreas),Maíz híbrido - Producción - (toneladas),Otros maíces - Superficie - (hectáreas),Otros maíces - Producción - (toneladas)
A Coruña,8892,67792,370,2821
Lugo,1349,10220,450,3407
Ourense,2044,15236,0,0
Pontevedra,6007,47551,0,0
GALICIA,18292,140799,820,6228
P. DE ASTURIAS,0,0,333,733
CANTABRIA,325,1353,0,0
Alava,0,0,2,7
Guipúzcoa,65,210,108,333
Vizcaya,60,189,78,239
PAIS VASCO,125,399,188,579
NAVARRA,17810,188616,905,13838
LA RIOJA,668,6348,0,0
Huesca,38268,459081,0,0
Teruel,3457,35290,0,0
Zaragoza,19569,209684,0,0
ARAGON,61294,704055,0,0
Barcelona,299,1999,0,0
Girona,7629,83360,0,0
Lleida,28271,290317,0,0
Tarragona,46,406,0,0
CATALUÑA,36245,376082,0,0
BALEARES,326,1793,0,0
Avila,945,11340,0,0
Burgos,725,6825,0,0
León,60381,573620,0,0
Palencia,1679,15129,0,0
Salamanca,16045,205624,0,0
Segovia,170,1360,0,0
Soria,349,3809,0,0
Valladolid,8441,92851,0,0
Zamora,16326,179600,0,0
CASTILLA Y LEON,105061,1090158,0,0
MADRID,7182,104075,149,2159
Albacete,16851,212323,0,0
Ciudad Real,6855,71397,0,0
Cuenca,1200,12000,43,1857
Guadalajara,4212,48756,0,0
Toledo,10564,104535,0,0
CASTILLA–LA MANCHA,39682,449011,43,1857
Alicante,319,2544,0,0
Castellón,96,370,0,0
Valencia,156,1248,0,0
C. VALENCIANA,571,4162,0,0
R. DE MURCIA,128,1216,0,0
Badajoz,40626,478050,633,1668
Cáceres,19384,228886,0,0
EXTREMADURA,60010,706936,633,1668
Almería,0,0,20,0
Cádiz,3528,30191,0,0
Córdoba,8291,103344,0,0
Granada,0,0,3105,32863
Huelva,218,2540,0,0
Jaén,0,0,1584,15725
Málaga,560,3373,5,140
Sevilla,0,270414,0,0
ANDALUCIA,12597,409862,4714,48728
Las Palmas,130,455,88,122
S.C. de Tenerife,391,753,44,84
CANARIAS,521,1208,132,206
ESPAÑA,360837,4186073,7917,75996
