Provincia,Cebada de 2 carreras - Superficie - (hectáreas),Cebada de 2 carreras - Producción - (toneladas),Cebada de 6 carreras - Superficie - (hectáreas),Cebada de 6 carreras - Producción - (toneladas)
A Coruña,46,99,0,0
Lugo,286,617,0,0
Ourense,138,298,0,0
Pontevedra,0,0,0,0
GALICIA,470,1014,0,0
CANTABRIA,0,0,492,354
Alava,14285,78568,0,0
PAÍS VASCO,14285,78568,0,0
NAVARRA,95364,296202,0,0
LA RIOJA,14923,49297,0,0
Huesca,151893,327690,23310,43905
Teruel,85672,122960,11682,14851
Zaragoza,117560,213212,16051,27986
ARAGÓN,355125,663862,51043,86742
Barcelona,41145,155210,332,1252
Girona,15844,55915,660,2209
Lleida,87880,248234,14187,40746
Tarragona,13384,37588,0,0
CATALUÑA,158253,496947,15179,44207
BALEARES,7148,22344,10721,33515
Avila,43266,84907,14618,25300
Burgos,157929,543682,5000,16875
León,19172,62239,2500,6375
Palencia,132555,303641,10000,23122
Salamanca,46115,112778,4000,9624
Segovia,63757,141717,25004,58691
Soria,94389,129101,5000,6210
Valladolid,224821,514987,3000,6901
Zamora,57367,148961,14341,37240
CASTILLA Y LEÓN,839371,2042013,83463,190338
MADRID,38615,107221,0,0
Albacete,99089,238753,45000,81575
Ciudad Real,90983,240098,60655,160065
Cuenca,221685,373067,50368,95700
Guadalajara,87511,128810,9500,19000
Toledo,145781,260809,5668,12175
CASTILLA–LA MANCHA,645049,1241537,171191,368515
Alicante,2505,5662,868,1506
Castellón,3746,4323,397,543
Valencia,6923,8857,2691,2691
C. VALENCIANA,13174,18842,3956,4740
R. DE MURCIA,6138,8750,20049,21750
Badajoz,43246,53087,1192,925
Cáceres,723,950,33,24
EXTREMADURA,43969,54037,1225,949
Almería,0,0,9791,8324
Cádiz,650,2075,4753,15177
Córdoba,2356,1028,5498,4111
Granada,19869,37176,30248,24489
Huelva,150,113,600,270
Jaén,4489,4053,3290,2702
Málaga,9743,18560,1220,2294
Sevilla,7714,3882,1425,322
ANDALUCÍA,44971,66887,56825,57689
Las Palmas,0,0,0,0
S.C. de Tenerife,0,0,87,25
CANARIAS,0,0,87,25
ESPAÑA,2276855,5147521,414231,808824
