Provincia,Cebada de 2 carreras - Superficie - (hectáreas),Cebada de 2 carreras - Producción - (toneladas),Cebada de 6 carreras - Superficie - (hectáreas),Cebada de 6 carreras - Producción - (toneladas)
A Coruña,0,0,298,632
Lugo,0,0,33,118
Ourense,0,0,143,549
Pontevedra,0,0,9,19
GALICIA,0,0,483,1318
P. DE ASTURIAS,0,0,0,0
CANTABRIA,478,717,0,0
Alava,11993,57566,0,0
Guipúzcoa,0,0,0,0
Vizcaya,0,0,0,0
PAÍS VASCO,11993,57566,0,0
NAVARRA,1689,5257,101446,395573
LA RIOJA,17415,56674,0,0
Huesca,157821,225596,25692,36725
Teruel,90583,77038,49453,42491
Zaragoza,46984,113216,18271,28304
ARAGÓN,295388,415850,93416,107520
Barcelona,44295,57550,1950,3297
Girona,15629,33368,0,0
Lleida,97981,71212,16000,8000
Tarragona,10936,13480,2565,3163
CATALUÑA,168841,175610,20515,14460
BALEARES,8336,11829,12504,21028
Avila,68436,77403,21750,20345
Burgos,206599,447713,6500,14950
León,27450,89918,3000,7500
Palencia,147145,299649,40000,94760
Salamanca,57361,100829,19900,34010
Segovia,93139,156132,40544,59580
Soria,122991,161117,8000,10400
Valladolid,304147,440908,28180,44857
Zamora,76232,149552,21377,42038
CASTILLA Y LEÓN,1103500,1923221,189251,328440
MADRID,38472,66737,2674,3513
Albacete,83906,134066,87518,51951
Ciudad Real,100000,117100,61191,56214
Cuenca,213870,197136,71500,64600
Guadalajara,99037,87761,20000,17723
Toledo,146219,125958,7696,5880
CASTILLA–LA MANCHA,643032,662021,247905,196368
Alicante,2881,5245,956,1804
Castellón,2566,4712,1000,2300
Valencia,3200,3039,5017,4769
C. VALENCIANA,8647,12996,6973,8873
R. DE MURCIA,6739,1923,35370,14103
Badajoz,41466,75137,7318,13260
Cáceres,1298,2033,2412,3777
EXTREMADURA,42764,77170,9730,17037
Almería,10,1,10427,7883
Cádiz,4425,8407,665,2524
Córdoba,855,453,3424,1815
Granada,20595,5800,30221,6100
Huelva,294,472,850,650
Jaén,3460,2617,1312,1072
Málaga,6326,7685,626,760
Sevilla,4558,3751,477,228
ANDALUCÍA,40523,29186,48002,21032
Las Palmas,0,0,3,3
S.C. de Tenerife,0,0,34,34
CANARIAS,0,0,37,37
ESPAÑA,2387817,3496757,768306,1129302
