Provincia,Maíz híbirido - Superficie - (hectáreas),Maíz híbirido - Producción - (toneladas),Otros maíces - Superficie - (hectáreas),Otros maíces - Producción - (toneladas)
A Coruña,10102,49350,350,1710
Lugo,1780,10510,350,2067
Ourense,2380,11407,350,1677
Pontevedra,7390,36104,0,0
GALICIA,21652,107371,1050,5454
P. DE ASTURIAS,750,1875,50,100
CANTABRIA,120,720,5,30
Alava,0,0,35,96
Guipúzcoa,120,332,190,513
Vizcaya,65,165,75,185
PAIS VASCO,185,497,300,794
NAVARRA,12087,99027,495,7227
LA RIOJA,1551,13205,0,0
Huesca,34702,308848,0,0
Teruel,5801,53189,0,0
Zaragoza,25009,212501,0,0
ARAGON,65512,574538,0,0
Barcelona,2497,10193,0,0
Girona,0,0,9535,96037
Lleida,26690,234878,0,0
Tarragona,144,1184,0,0
CATALUÑA,29331,246255,9535,96037
BALEARES,370,2127,0,0
Avila,1212,11895,0,0
Burgos,1276,11548,0,0
León,60500,574750,0,0
Palencia,5157,46413,0,0
Salamanca,13828,132749,0,0
Segovia,101,602,0,0
Soria,539,5390,0,0
Valladolid,14154,135878,0,0
Zamora,21611,183464,0,0
CASTILLA Y LEON,118378,1102689,0,0
MADRID,7872,91473,0,0
Albacete,21024,266772,0,0
Ciudad Real,7095,98993,0,0
Cuenca,1576,16483,0,0
Guadalajara,5167,65079,0,0
Toledo,12662,149665,0,0
CASTILLA–LA MANCHA,47524,596992,0,0
Alicante,338,1521,0,0
Castellón,106,503,0,0
Valencia,477,3980,30,21
C. VALENCIANA,921,6004,30,21
R. DE MURCIA,283,2382,0,0
Badajoz,0,0,35925,366435
Cáceres,19000,184300,0,0
EXTREMADURA,19000,184300,35925,366435
Almería,22,84,2,4
Cádiz,3494,39596,0,0
Córdoba,10505,133267,0,0
Granada,3701,25734,0,0
Huelva,251,2071,0,0
Jaén,1251,16035,0,0
Málaga,495,3086,61,380
Sevilla,20989,254041,0,0
ANDALUCIA,40708,473914,63,384
Las Palmas,211,541,44,123
S.C. de Tenerife,311,769,35,86
CANARIAS,522,1310,79,209
ESPAÑA,366766,3504679,47532,476691
