SUPERFICIES Y PRODUCCIONES DE CULTIVOS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
"13.1.3.4. CEREALES GRANO-CEBADA: Análisis provincial de superficie y producción según tipos, 2015",,,,
,,,,
Provincias,Cebada de 2 carreras,,Cebada de 6 carreras,
y,Superficie,Producción,Superficie,Producción
Comunidades Autónomas,(hectáreas),(toneladas),(hectáreas),(toneladas)
A Coruña,57,150,–,–
Lugo,244,493,–,–
Ourense,317,637,–,–
Pontevedra,1,3,–,–
 GALICIA,619,1283,–,–
,,,,
 P. DE ASTURIAS,–,–,–,–
,,,,
 CANTABRIA,–,–,145,188
,,,,
Alava,14097,59207,–,–
Guipúzcoa,–,–,–,–
Vizcaya,–,–,–,–
 PAÍS VASCO,14097,59207,–,–
,,,,
 NAVARRA,85501,314121,–,–
,,,,
 LA RIOJA,18677,65581,–,–
,,,,
Huesca,173593,577271,5433,18822
Teruel,101668,174024,2756,3949
Zaragoza,144596,354894,19717,36927
 ARAGÓN,419857,1106189,27906,59698
,,,,
Barcelona,36957,83642,373,845
Girona,19292,72236,804,2388
Lleida,91360,243071,13651,36321
Tarragona,15121,39308,–,–
 CATALUÑA,162730,438257,14828,39554
,,,,
 BALEARES,7644,12353,11467,18530
,,,,
Avila,36726,95469,12030,24796
Burgos,149325,486046,4000,13000
León,17839,58589,1100,3080
Palencia,113339,347809,10000,31028
Salamanca,33813,89544,2800,7168
Segovia,60448,149948,19000,44260
Soria,94638,262458,5000,13520
Valladolid,187481,525076,2000,5666
Zamora,45185,118410,9237,24165
 CASTILLA Y LEÓN,738794,2133349,65167,166683
,,,,
 MADRID,36515,78712,517,1369
,,,,
Albacete,121592,252070,33022,55632
Ciudad Real,85466,200401,56980,133607
Cuenca,179600,605198,59867,201732
Guadalajara,82763,143037,7365,12782
Toledo,145231,229132,4143,5220
 CASTILLA–LA MANCHA,614652,1429838,161377,408973
,,,,
Alicante,2999,4226,1019,1351
Castellón,3998,7669,415,821
Valencia,8527,11752,2132,2939
 C. VALENCIANA,15524,23647,3566,5111
,,,,
 R. DE MURCIA,17275,17245,11281,11155
,,,,
Badajoz,46990,96991,–,–
Cáceres,741,1300,–,–
 EXTREMADURA,47731,98291,–,–
,,,,
Almería,–,–,11359,18197
Cádiz,2365,6404,6650,17820
Córdoba,2026,3064,8075,12930
Granada,16441,27228,37997,26473
Huelva,120,420,1183,2958
Jaén,3300,9720,4950,14600
Málaga,11971,30382,1477,3831
Sevilla,14500,40358,425,1134
 ANDALUCÍA,50723,117576,72116,97943
,,,,
Las Palmas,65,98,64,96
S.C. de Tenerife,58,59,–,–
 CANARIAS,123,157,64,96
,,,,
ESPAÑA,2230462,5895806,368434,809300
