CEREALES GRANO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
"6.17.  CEBADA: Análisis provincial de superficie y producción según tipos, 2001",,,,
,,,,
Provincias,Cebada de 2 carreras,,Cebada de 6 carreras,
y,Superficie,Producción,Superficie,Producción
Comunidades Autónomas,(hectáreas),(toneladas),(hectáreas),(toneladas)
A Coruña,375,900,–,–
Lugo,–,–,–,–
Ourense,–,–,511,1964
Pontevedra,–,–,18,50
 GALICIA,375,900,529,2014
,,,,
 P. DE ASTURIAS,–,–,–,–
,,,,
 CANTABRIA,557,836,--,--
,,,,
Alava,15247,70136,–,–
Guipúzcoa,–,–,–,–
Vizcaya,–,–,–,–
 PAIS VASCO,15247,70136,–,–
,,,,
 NAVARRA,10204,27856,92188,313284
,,,,
 LA RIOJA,21418,59037,–,–
,,,,
Huesca,136861,337717,30045,78430
Teruel,79034,135232,53789,82088
Zaragoza,43746,72587,13445,21387
 ARAGON,259641,545536,97279,181905
,,,,
Barcelona,42740,102020,1770,6277
Girona,14757,36638,1700,4200
Lleida,100295,284901,16373,39442
Tarragona,11880,29787,2516,6300
 CATALUÑA,169672,453346,22359,56219
,,,,
 BALEARES,5883,6844,4418,5027
,,,,
Avila,68969,105025,20067,22115
Burgos,207886,471000,25200,53424
León,15978,20771,5322,18228
Palencia,130296,179384,25000,50642
Salamanca,51208,88163,24067,39486
Segovia,83898,115290,45175,69443
Soria,143582,249913,2000,3400
Valladolid,259840,493584,20000,38000
Zamora,49246,73487,25331,38002
 CASTILLA Y LEON,1010903,1796617,192162,332740
,,,,
 MADRID,39317,91637,783,1825
,,,,
Albacete,87693,182318,92800,111290
Ciudad Real,81216,163000,43764,83460
Cuenca,208322,594992,58000,161240
Guadalajara,105298,195710,11404,21195
Toledo,143640,335674,9169,21426
 CASTILLA–LA MANCHA,626169,1471694,215137,398611
,,,,
Alicante,2818,6137,889,1788
Castellón,2859,5455,1400,2800
Valencia,5785,11903,4613,9320
 C. VALENCIANA,11462,23495,6902,13908
,,,,
 R. DE MURCIA,6861,4995,34963,38398
,,,,
Badajoz,38510,120200,7700,23870
Cáceres,720,2880,3600,10440
 EXTREMADURA,39230,123080,11300,34310
,,,,
Almería,–,–,10650,14621
Cádiz,4118,10594,1592,4094
Córdoba,1680,3481,3920,8123
Granada,17265,35502,40100,74670
Huelva,400,1086,852,1490
Jaén,3800,8600,2093,3086
Málaga,5317,16869,816,1632
Sevilla,3571,9003,859,1942
 ANDALUCIA,36151,85135,60882,109658
,,,,
Las Palmas,–,–,–,–
S.C. de Tenerife,–,–,96,96
 CANARIAS,–,–,96,96
,,,,
ESPAÑA,2253090,4761144,738998,1487995
