Provincia,Maíz híbirido - Superficie - (hectáreas),Maíz híbirido - Producción - (toneladas),Otros maíces - Superficie - (hectáreas),Otros maíces - Producción - (toneladas)
A Coruña,10900,38150,1866,6693
Lugo,1971,6307,0,0
Ourense,3325,14994,0,0
Pontevedra,5586,20637,3280,16828
GALICIA,21782,80088,5146,23521
P. DE ASTURIAS,1500,3450,100,200
CANTABRIA,20,82,7,29
Alava,0,0,25,101
Guipúzcoa,140,470,225,750
Vizcaya,62,201,98,314
PAIS VASCO,202,671,348,1165
NAVARRA,15598,128999,0,0
LA RIOJA,1626,14237,0,0
Huesca,53128,526605,0,0
Teruel,4813,39358,0,0
Zaragoza,41460,352418,0,0
ARAGON,99401,918381,0,0
Barcelona,2582,10967,0,0
Girona,11346,94239,0,0
Lleida,30233,323478,0,0
Tarragona,145,1155,0,0
CATALUÑA,44306,429839,0,0
BALEARES,650,5200,0,0
Avila,1518,13662,0,0
Burgos,970,9079,0,0
León,64299,578376,0,0
Palencia,9030,41100,0,0
Salamanca,15201,166617,0,0
Segovia,103,876,0,0
Soria,847,8047,0,0
Valladolid,20970,231509,0,0
Zamora,23596,224061,0,0
CASTILLA Y LEON,136534,1273327,0,0
MADRID,9871,108996,0,0
Albacete,23249,290511,0,0
Ciudad Real,5396,63110,0,0
Cuenca,2175,24118,84,931
Guadalajara,6552,66175,0,0
Toledo,14494,124277,0,0
CASTILLA–LA MANCHA,51866,568191,84,931
Alicante,599,2991,0,0
Castellón,360,1587,0,0
Valencia,361,2782,0,0
C. VALENCIANA,1320,7360,0,0
R. DE MURCIA,213,1673,0,0
Badajoz,45000,540000,0,0
Cáceres,21000,231000,0,0
EXTREMADURA,66000,771000,0,0
Almería,0,0,30,105
Cádiz,4488,53514,0,0
Córdoba,13487,161529,0,0
Granada,4675,25245,0,0
Huelva,658,5652,0,0
Jaén,1625,12396,0,0
Málaga,684,4729,31,90
Sevilla,29723,380114,0,0
ANDALUCIA,55340,643179,61,195
Las Palmas,45,73,11,18
S.C. de Tenerife,373,877,93,219
CANARIAS,418,950,104,237
ESPAÑA,506647,4955623,5850,26278
