Provincia,Trigo duro - Superficie - (hectáreas),Trigo duro - Producción - (toneladas),Trigo blando y semiduro - Superficie - (hectáreas),Trigo blando y semiduro - Producción - (toneladas)
A Coruña,0,0,1897,6317
Lugo,0,0,3271,8537
Ourense,0,0,9413,29086
Pontevedra,0,0,326,1187
GALICIA,0,0,14907,45127
P. DE ASTURIAS,0,0,50,50
CANTABRIA,0,0,462,1132
Álava,0,0,26040,154938
PAÍS VASCO,0,0,26040,154938
NAVARRA,3977,5648,70603,334439
LA RIOJA,52,208,34113,155093
Huesca,3622,12817,32107,122811
Teruel,1575,3131,31590,94020
Zaragoza,150511,259887,35231,115831
ARAGÓN,155708,275835,98928,332662
Barcelona,0,0,20461,83352
Girona,15,67,15337,66594
Lleida,226,834,45028,207645
Tarragona,0,0,6796,28124
CATALUÑA,241,901,87622,385715
BALEARES,0,0,3822,13285
Ávila,0,0,30499,79060
Burgos,1147,2993,203693,890485
León,30,137,46120,186766
Palencia,148,444,94962,345786
Salamanca,115,311,59419,167643
Segovia,0,0,55990,187456
Soria,88,337,96147,369743
Valladolid,468,1606,50387,162744
Zamora,119,209,57228,129108
CASTILLA Y LEÓN,2115,6037,694445,2518791
MADRID,92,179,21241,51284
Albacete,236,419,60320,154511
Ciudad Real,141,155,42478,47262
Cuenca,171,684,24856,85715
Guadalajara,43,992,61366,166000
Toledo,4727,6920,43534,92413
CASTILLA – LA MANCHA,5318,9170,232554,545901
Alicante,65,278,1272,3612
Castellón,30,88,639,1583
Valencia,0,0,1444,3163
C. VALENCIANA,95,366,3355,8358
R. DE MURCIA,110,385,6606,15473
Badajoz,13613,27164,60127,132535
Cáceres,158,303,7436,13859
EXTREMADURA,13771,27467,67563,146394
Almería,503,456,1473,1598
Cádiz,61204,98384,9101,27200
Córdoba,71169,146808,17907,36774
Granada,3278,7220,7708,15808
Huelva,12375,23205,3603,8107
Jaén,10499,16981,2100,2997
Málaga,20715,52561,4203,11516
Sevilla,127084,328050,51203,128536
ANDALUCÍA,306827,673665,97298,232536
Las Palmas,0,0,0,0
S.C. de Tenerife,0,0,158,158
CANARIAS,0,0,158,158
ESPAÑA,488306,999861,1459767,4941336
