Provincia,Maíz híbrido - Superficie - (hectáreas),Maíz híbrido - Producción - (toneladas),Otros maíces - Superficie - (hectáreas),Otros maíces - Producción - (toneladas)
A Coruña,7904,58648,329,2441
Lugo,1454,14365,485,4792
Ourense,2162,17728,0,0
Pontevedra,5564,30101,0,0
GALICIA,17084,120842,814,7233
P. DE ASTURIAS,260,650,50,100
CANTABRIA,325,845,0,0
Alava,0,0,14,53
Guipúzcoa,65,215,107,344
Vizcaya,60,193,75,233
PAIS VASCO,125,408,196,630
NAVARRA,12528,121227,782,12073
LA RIOJA,505,4803,0,0
Huesca,35918,431016,0,0
Teruel,3265,30153,0,0
Zaragoza,17783,174659,0,0
ARAGON,56966,635828,0,0
Barcelona,1477,4806,0,0
Girona,7386,81521,0,0
Lleida,24182,228354,0,0
Tarragona,23,150,0,0
CATALUÑA,33068,314831,0,0
BALEARES,285,1568,0,0
Avila,246,1968,0,0
Burgos,556,6127,0,0
León,54134,552167,0,0
Palencia,2969,28206,0,0
Salamanca,12662,155743,0,0
Segovia,150,1200,0,0
Soria,354,3768,0,0
Valladolid,7900,79000,0,0
Zamora,15866,174182,0,0
CASTILLA Y LEON,94837,1002361,0,0
MADRID,6132,78158,0,0
Albacete,10224,132912,0,0
Ciudad Real,0,0,3993,44800
Cuenca,708,7647,0,0
Guadalajara,3320,43066,0,0
Toledo,9510,131090,0,0
CASTILLA–LA MANCHA,23762,314715,3993,44800
Alicante,179,1486,0,0
Castellón,36,54,0,0
Valencia,344,5210,0,0
C. VALENCIANA,559,6750,0,0
R. DE MURCIA,122,1171,0,0
Badajoz,25390,260349,0,0
Cáceres,14158,152227,0,0
EXTREMADURA,39548,412576,0,0
Almería,0,0,43,58
Cádiz,3000,29220,0,0
Córdoba,4288,53474,0,0
Granada,2955,32857,0,0
Huelva,100,950,0,0
Jaén,0,0,817,8987
Málaga,389,2806,91,117
Sevilla,10706,113146,0,0
ANDALUCIA,21438,232453,951,9162
Las Palmas,0,0,234,639
S.C. de Tenerife,383,898,43,100
CANARIAS,383,898,277,739
ESPAÑA,307927,3250084,7063,74737
