Provincia,Maíz híbrido - Superficie - (hectáreas),Maíz híbrido - Producción - (toneladas),Otros maíces - Superficie - (hectáreas),Otros maíces - Producción - (toneladas)
A Coruña,8819,68260,367,2840
Lugo,1472,10917,490,3639
Ourense,1952,14404,0,0
Pontevedra,6161,42837,0,0
GALICIA,18404,136418,857,6479
P. DE ASTURIAS,150,350,150,400
CANTABRIA,546,1420,0,0
Alava,0,0,13,42
Guipúzcoa,65,200,137,406
Vizcaya,69,213,78,234
PAIS VASCO,134,413,228,682
NAVARRA,21442,220522,890,15971
LA RIOJA,940,8563,0,0
Huesca,48840,624421,0,0
Teruel,0,0,3414,36541
Zaragoza,24516,285088,0,0
ARAGON,73356,909509,3414,36541
Barcelona,303,2979,0,0
Girona,7839,101192,0,0
Lleida,30746,333034,0,0
Tarragona,67,599,0,0
CATALUÑA,38955,437804,0,0
BALEARES,232,1276,0,0
Avila,1511,20701,0,0
Burgos,850,8925,0,0
León,65263,659156,0,0
Palencia,4306,43060,0,0
Salamanca,18455,202903,0,0
Segovia,99,792,0,0
Soria,335,3685,0,0
Valladolid,10086,110946,0,0
Zamora,21060,242759,0,0
CASTILLA Y LEON,121965,1292927,0,0
MADRID,6852,93345,399,5435
Albacete,15900,219420,0,0
Ciudad Real,7142,71410,0,0
Cuenca,1247,14120,0,0
Guadalajara,3619,43193,0,0
Toledo,11140,137678,0,0
CASTILLA–LA MANCHA,39048,485821,0,0
Alicante,292,3504,0,0
Castellón,176,826,0,0
Valencia,206,3008,0,0
C. VALENCIANA,674,7338,0,0
R. DE MURCIA,137,1394,0,0
Badajoz,46122,534434,991,2796
Cáceres,22023,256083,0,0
EXTREMADURA,68145,790517,991,2796
Almería,0,0,68,76
Cádiz,4156,35382,0,0
Córdoba,8859,110465,0,0
Granada,0,0,3330,40164
Huelva,186,1655,0,0
Jaén,2013,23421,0,0
Málaga,593,4207,73,175
Sevilla,24363,215173,0,0
ANDALUCIA,40170,390303,3471,40415
Las Palmas,159,553,108,148
S.C. de Tenerife,433,1009,48,112
CANARIAS,592,1562,156,260
ESPAÑA,431742,4779482,10556,108979
