Provincia,Cebada de 2 carreras - Superficie - (hectáreas),Cebada de 2 carreras - Producción - (toneladas),Cebada de 6 carreras - Superficie - (hectáreas),Cebada de 6 carreras - Producción - (toneladas)
A Coruña,44,93,0,0
Lugo,190,372,0,0
Ourense,163,328,0,0
Pontevedra,5,10,0,0
GALICIA,402,803,0,0
CANTABRIA,0,0,162,211
Alava,14870,62454,0,0
PAÍS VASCO,14870,62454,0,0
NAVARRA,95787,376750,0,0
LA RIOJA,19023,97975,0,0
Huesca,176896,809300,5539,22090
Teruel,88645,301065,12088,36027
Zaragoza,133919,502051,18291,61002
ARAGÓN,399460,1612416,35918,119119
Barcelona,38998,147921,315,1193
Girona,17058,79965,528,2304
Lleida,91921,456312,14840,74901
Tarragona,14851,62082,0,0
CATALUÑA,162828,746280,15683,78398
BALEARES,9265,18609,13898,27914
Avila,37874,101729,12625,31525
Burgos,152623,662304,5000,21455
León,18486,73049,2000,7000
Palencia,130918,526104,10000,40396
Salamanca,41921,114943,4000,10772
Segovia,67069,219558,25000,86180
Soria,100158,405587,5000,20075
Valladolid,224996,893323,3000,12029
Zamora,57674,224575,12000,46728
CASTILLA Y LEÓN,831719,3221172,78625,276160
MADRID,40760,178027,106,463
Albacete,107588,369245,49950,147690
Ciudad Real,96033,288074,62831,188922
Cuenca,220945,850000,61000,108615
Guadalajara,90552,283211,9634,30115
Toledo,153066,476493,5668,22244
CASTILLA–LA MANCHA,668184,2267023,189083,497586
Alicante,2023,3724,1888,5193
Castellón,4168,4905,425,566
Valencia,7678,22470,3296,9540
C. VALENCIANA,13869,31099,5609,15299
R. DE MURCIA,6089,8750,21290,27559
Badajoz,45551,74885,0,0
Cáceres,756,1160,0,0
EXTREMADURA,46307,76045,0,0
Almería,0,0,10765,20516
Cádiz,700,1620,6275,15043
Córdoba,1489,2170,5954,8574
Granada,21254,46974,33622,82272
Huelva,272,1238,1000,4550
Jaén,5350,11916,3490,8027
Málaga,10762,24796,1330,3065
Sevilla,11737,31529,1250,2500
ANDALUCÍA,51564,120243,63686,144547
Las Palmas,2,2,2,3
S.C. de Tenerife,0,0,91,91
CANARIAS,2,2,93,94
ESPAÑA,2360129,8817648,424153,1187350
