SUPERFICIES Y PRODUCCIONES DE CULTIVOS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
"13.1.2.4. CEREALES GRANO-TRIGO: Análisis provincial de superficie y producción según dureza del grano, 2013",,,,
,,,,
Provincias,Trigo duro,,Trigo blando y semiduro,
y,Superficie,Producción,Superficie,Producción
Comunidades Autónomas,(hectáreas),(toneladas),(hectáreas),(toneladas)
A Coruña,–,–,1777,5606
Lugo,–,–,3616,7232
Ourense,–,–,9232,22914
Pontevedra,–,–,342,696
 GALICIA,–,–,14967,36448
,,,,
 P. DE ASTURIAS,–,–,50,60
,,,,
 CANTABRIA,–,–,527,1291
,,,,
Álava,–,–,24460,122300
 PAÍS VASCO,–,–,24460,122300
,,,,
 NAVARRA,2154,5052,68560,299911
,,,,
 LA RIOJA,67,335,33377,180614
,,,,
Huesca,2086,7065,51084,246477
Teruel,1350,2829,42126,118843
Zaragoza,107586,261367,53890,191535
 ARAGÓN,111022,271261,147100,556855
,,,,
Barcelona,24,102,24187,101454
Girona,15,67,14979,67136
Lleida,148,751,49206,249713
Tarragona,–,–,7156,34993
 CATALUÑA,187,920,95528,453296
,,,,
 BALEARES,8,8,4197,9533
,,,,
Ávila,25,78,34095,106915
Burgos,409,1496,220573,1042644
León,29,127,60195,268282
Palencia,35,166,119349,537305
Salamanca,38,129,65721,226683
Segovia,122,445,69772,252593
Soria,6,23,102005,410665
Valladolid,588,2680,78626,327430
Zamora,124,276,67747,265255
 CASTILLA Y LEÓN,1376,5420,818083,3437772
,,,,
 MADRID,80,417,26908,140377
,,,,
Albacete,168,500,72155,244036
Ciudad Real,232,525,54111,105006
Cuenca,324,810,36022,119655
Guadalajara,59,189,71085,229341
Toledo,1694,4749,65542,197709
 CASTILLA – LA MANCHA,2477,6773,298915,895747
,,,,
Alicante,17,77,1467,5200
Castellón,10,19,654,1157
Valencia,–,–,1600,4303
 C. VALENCIANA,27,96,3721,10660
,,,,
 R. DE MURCIA,2055,3764,5925,15514
,,,,
Badajoz,4470,10473,69106,138445
Cáceres,151,290,5843,9624
 EXTREMADURA,4621,10763,74949,148069
,,,,
Almería,193,218,1915,2744
Cádiz,50802,122383,17150,43167
Córdoba,50274,146297,33418,97484
Granada,2545,4628,14558,36975
Huelva ,9810,41889,5728,24924
Jaén,3499,8257,5860,13830
Málaga,15674,42897,6718,9417
Sevilla,86513,261882,78778,274482
 ANDALUCÍA,219310,628451,164125,503023
,,,,
Las Palmas,5,8,5,8
S.C. de Tenerife,–,–,183,183
 CANARIAS,5,8,188,191
,,,,
ESPAÑA,343389,933268,1781580,6811661
