Provincia,Superficie (hectáreas),Producción (toneladas)
A Coruña,0,0
Lugo,0,0
Ourense,0,0
Pontevedra,0,0
GALICIA,0,0
P. DE ASTURIAS,0,0
CANTABRIA,0,0
Álava,0,0
Guipúzcoa,0,0
Vizcaya,0,0
PAÍS VASCO,0,0
NAVARRA,0,0
LA RIOJA,0,0
Huesca,4992,12899
Teruel,2094,2166
Zaragoza,3645,8292
ARAGÓN,10731,23357
Barcelona,223,215
Girona,586,1270
Lleida,381,772
Tarragona,0,0
CATALUÑA,1190,2257
BALEARES,11595,19978
Ávila,2494,2283
Burgos,4200,9782
León,1000,1530
Palencia,10000,23292
Salamanca,650,1203
Segovia,8500,14748
Soria,5050,4705
Valladolid,1750,3326
Zamora,2826,5603
CASTILLA Y LEÓN,36470,66472
MADRID,442,551
Albacete,20650,11842
Ciudad Real,41043,36589
Cuenca,11505,11240
Guadalajara,3260,5272
Toledo,12446,9772
CASTILLA–LA MANCHA,88904,74715
Alicante,243,251
Castellón,42,53
Valencia,324,1067
C. VALENCIANA,609,1371
R. DE MURCIA,10358,18652
Badajoz,107,100
Cáceres,89,52
EXTREMADURA,196,152
Almería,8886,707
Cádiz,590,943
Córdoba,13280,14527
Granada,10189,4064
Huelva,135,126
Jaén,1550,992
Málaga,610,666
Sevilla,2248,2623
ANDALUCÍA,37488,24648
Las Palmas,0,0
S.C. de Tenerife,0,0
CANARIAS,0,0
ESPAÑA,197983,232153
