date,BIENES DE INVERSION   (INPUT II),CONS. Y REP. EDIFICIOS,CONS. Y REP. MAQUINARIA,ENERGIA Y LUBRICANTES,ENERGIA Y LUBRICANTES CARBURANTES,ENERGIA Y LUBRICANTES ELECTRICIDAD,ENERGIA Y LUBRICANTES LUBRICANTES,GASTOS GENERALES,MAQUINARIA Y OTROS BIENES DE EQUIPO,MATERIAL Y PEQUEÑO UTILLAJE,OBRAS DE INVERSION,PROTECCION FITOPATOLOGICA,TRATAMIENTOS ZOOSANITARIOS
2005-01-01,99.8,98.48,98.79,88.35,84.4,100.0,96.39,96.42,100.85,97.89,98.36,98.84,98.57
2005-02-01,99.86,98.48,98.87,90.28,86.95,100.0,97.54,97.03,100.95,98.34,98.36,98.86,98.77
2005-03-01,99.86,98.48,98.68,94.21,92.28,100.0,97.7,97.94,100.95,98.66,98.36,99.52,98.98
2005-04-01,99.04,100.02,99.5,98.85,98.6,100.0,97.7,99.07,98.81,99.39,99.36,99.63,99.38
2005-05-01,99.19,100.02,99.55,95.26,93.66,100.0,98.53,99.19,99.08,99.89,99.36,100.27,99.68
2005-06-01,99.38,100.02,99.37,99.53,99.46,100.0,98.53,99.89,99.39,100.54,99.36,100.19,99.87
2005-07-01,99.84,100.53,100.93,102.92,103.93,100.0,100.7,101.44,99.24,100.75,100.67,100.31,100.18
2005-08-01,99.88,100.53,101.02,105.65,107.62,100.0,101.01,102.1,99.3,100.77,100.67,100.44,100.43
2005-09-01,99.95,100.53,100.64,108.4,111.24,100.0,102.67,102.94,99.42,101.15,100.67,100.32,100.62
2005-10-01,101.06,100.97,101.07,108.55,111.42,100.0,102.96,101.92,100.66,100.72,101.61,100.56,100.84
2005-11-01,101.07,100.97,100.69,104.24,105.55,100.0,103.14,101.18,100.67,100.9,101.61,100.56,101.18
2005-12-01,101.07,100.97,100.74,103.73,104.85,100.0,103.14,100.91,100.67,101.04,101.61,100.51,101.49
2006-01-01,101.72,102.19,108.7,104.74,104.88,104.45,103.98,102.96,101.2,102.47,102.44,101.03,101.89
2006-02-01,101.75,102.19,107.85,105.92,106.41,104.45,104.99,103.13,101.25,103.27,102.44,101.15,102.19
2006-03-01,101.72,102.19,108.0,105.41,105.8,104.45,103.76,103.57,101.2,103.25,102.44,101.0,102.61
2006-04-01,101.89,102.79,108.13,110.39,112.47,104.45,105.43,105.16,101.0,104.32,103.12,101.4,103.12
2006-05-01,102.67,106.04,108.25,110.49,112.58,104.45,105.64,105.9,101.36,104.76,104.46,102.12,103.53
2006-06-01,102.76,106.04,109.02,110.8,113.01,104.45,105.64,105.88,101.52,105.04,104.46,101.85,103.95
2006-07-01,104.46,107.28,109.22,112.71,115.02,106.18,106.93,106.94,101.99,104.87,107.86,101.99,104.35
2006-08-01,104.53,107.28,109.87,112.12,114.24,106.18,106.52,107.61,102.11,105.2,107.86,101.84,104.75
2006-09-01,104.57,107.28,110.29,108.56,109.41,106.18,106.36,105.76,102.17,105.88,107.86,102.74,105.2
2006-10-01,106.27,108.24,110.31,105.65,105.44,106.18,106.45,103.6,104.4,106.17,108.84,102.39,105.3
2006-11-01,106.28,108.24,110.41,105.71,105.55,106.18,106.04,103.65,104.42,106.2,108.84,102.79,105.46
