PRODUCTOS,AÑO,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiem.,Octubre,Noviem.,Diciem.,Anual
BIENES Y SERVICIOS DE USO CORRIENTE (INPUT I),2005,96.97,97.4,98.29,99.03,98.77,99.53,100.73,101.28,102.01,102.22,101.8,101.91,100
,2006,102.17,102.3,102.55,102.81,102.85,102.55,102.49,102.86,103.15,103.62,104.44,104.79,103.05
,2007,105.23,105.72,106.15,107.27,108.08,108.92,110.03,112.14,115.63,118.47,120.28,122.02,111.64
,2008,125.55,127.16,129.39,130.94,133.35,135.77,137.25,135.06,132.73,129.18,124.63,120.38,130.12
,2009,118.42,117.99,116.48,115.92,115.84,116.73,116.61,115.91,114.49,112.23,112.25,112.13,115.42
,2010,113.06,113.6,114.23,114.88,115.27,115.54,116.25,118.02,120.53,123.09,123.98,126.33,117.9
,2011,130.74,132.21,132.67,133.19,132.76,132.34,132.53,132.44,132.55,132.05,131.8,131.94,132.27
,2012,132.96,133.92,135.5,136.79,136.95,137.9,140.03,143.15,145.16,144.15,143.74,144.16,139.54
,2013,144.58,144.58,143.73,142.62,141.37,140.4,139.3,137.52,135.9,134.45,134.51,134.46,139.46
,2014,134.55,135.41,135.84,135.8,135.36,135.13,134.76,134.36,133.79,132.2,132.33,131.83,134.28
SEMILLAS Y PLANTONES,2005,99.9,100.03,99.95,99.95,99.95,99.95,99.95,99.95,99.85,100.16,100.16,100.16,100
,2006,100.16,100.16,99.24,99.11,99.11,99.33,99.33,99.34,99.34,104.84,104.57,104.57,100.76
,2007,104.55,104.49,105.22,105.22,105.22,105.22,107.8,107.78,107.38,111.89,115.08,115.08,107.91
,2008,115.08,114.55,113.86,113.86,113.86,113.86,113.87,114.57,114.57,114.18,114.19,112.91,114.11
,2009,112.91,113.1,113,113,113,113,113,113,111.31,108.16,105.92,103.2,111.05
,2010,103.2,103.2,103.2,102.64,102.64,102.64,102.64,102.64,102.64,108.19,108.05,108.05,104.14
,2011,108.81,108.81,108.81,109.49,109.49,109.49,111.84,111.84,111.84,111.84,110.27,110.27,110.23
,2012,115.59,115.59,115.59,116.11,116.11,116.11,116.11,116.11,116.11,116.11,116.11,116.11,115.98
,2013,117.59,117.59,117.59,117.59,117.59,115.21,115.21,115.21,115.21,115.21,115.52,115.52,116.25
,2014,115.52,131.99,131.99,131.99,131.99,131.99,131.99,131.99,131.99,131.99,130.99,130.99,130.45
      - SEMILLAS,2005,99.98,100.21,100.07,100.07,100.07,100.07,100.07,100.07,99.88,99.84,99.84,99.84,100
,2006,99.84,99.84,98.17,97.93,97.93,98.34,98.34,98.34,98.34,108.37,107.21,107.21,100.82
,2007,107.16,107.06,108.38,108.38,108.38,108.38,108.4,108.36,107.64,115.44,121.25,121.25,110.84
,2008,121.25,120.28,119.02,119.02,119.02,119.02,119.04,118.99,118.99,118.3,118.3,118.3,119.13
