feature_name,feature_origin,feature_type,system_layer,temporal_relation_to_target,output_role,allowed_model_input,leakage_risk
shelf_life_days,derived,numerical,engineered_feature,current_t_context,input_or_diagnostic,no,low
supply_index_lag_2,autoregressive,derived,external_proxy_upstream,historical_lag,input_or_diagnostic,no,low
supply_index_lag_4,autoregressive,derived,external_proxy_upstream,historical_lag,input_or_diagnostic,no,low
supply_index_lag_8,autoregressive,derived,external_proxy_upstream,historical_lag,input_or_diagnostic,no,low
supply_index_roll_mean_12,autoregressive,derived,external_proxy_upstream,historical_rolling,input_or_diagnostic,no,low
synthetic_inventory_coverage_days_lag_2,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,no,low
synthetic_inventory_coverage_days_lag_4,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,no,low
synthetic_inventory_coverage_days_lag_8,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,no,low
synthetic_inventory_coverage_days_roll_mean_12,autoregressive,derived,synthetic_operational_state,historical_rolling,input_or_diagnostic,no,low
synthetic_inventory_level,synthetic_internal,numerical,synthetic_operational_state,current_t_context,input_or_diagnostic,no,low
synthetic_inventory_level_lag_1,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,no,low
synthetic_inventory_level_lag_2,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,no,low
synthetic_inventory_level_lag_4,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,no,low
synthetic_inventory_level_lag_8,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,no,low
synthetic_inventory_level_roll_mean_12,autoregressive,derived,synthetic_operational_state,historical_rolling,input_or_diagnostic,no,low
synthetic_inventory_level_roll_mean_4,autoregressive,derived,synthetic_operational_state,historical_rolling,input_or_diagnostic,no,low
synthetic_lead_time_days_lag_2,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,no,low
synthetic_lead_time_days_lag_4,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,no,low
synthetic_lead_time_days_lag_8,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,no,low
synthetic_lead_time_days_roll_mean_12,autoregressive,derived,synthetic_operational_state,historical_rolling,input_or_diagnostic,no,low
synthetic_planned_orders,synthetic_internal,numerical,synthetic_operational_state,current_t_context,input_or_diagnostic,no,low
synthetic_planned_orders_lag_1,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,no,low
synthetic_planned_orders_lag_2,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,no,low
synthetic_planned_orders_lag_4,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,no,low
synthetic_planned_orders_lag_8,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,no,low
synthetic_planned_orders_roll_mean_12,autoregressive,derived,synthetic_operational_state,historical_rolling,input_or_diagnostic,no,low
synthetic_planned_orders_roll_mean_4,autoregressive,derived,synthetic_operational_state,historical_rolling,input_or_diagnostic,no,low
synthetic_procurement_need,synthetic_internal,numerical,target_supervision,W_plus_1_supervision,predictive_target,no,high_target_column
synthetic_procurement_need_coverage_gap,derived_ratio_gap,derived,target_like_diagnostic,current_t_context,input_or_diagnostic,no,high_target_family
synthetic_procurement_need_hybrid,synthetic_internal,numerical,target_like_diagnostic,current_t_context,input_or_diagnostic,no,high_target_family
synthetic_procurement_need_lag_1,autoregressive,derived,target_like_diagnostic,historical_lag,input_or_diagnostic,no,high_target_family
synthetic_procurement_need_lag_2,autoregressive,derived,target_like_diagnostic,historical_lag,input_or_diagnostic,no,high_target_family
synthetic_procurement_need_lag_4,autoregressive,derived,target_like_diagnostic,historical_lag,input_or_diagnostic,no,high_target_family
synthetic_procurement_need_lag_8,autoregressive,derived,target_like_diagnostic,historical_lag,input_or_diagnostic,no,high_target_family
synthetic_procurement_need_pressure,synthetic_internal,numerical,target_like_diagnostic,current_t_context,input_or_diagnostic,no,high_target_family
synthetic_procurement_need_refined,synthetic_internal,numerical,target_like_diagnostic,current_t_context,input_or_diagnostic,no,high_target_family
synthetic_procurement_need_roll_mean_12,autoregressive,derived,target_like_diagnostic,historical_rolling,input_or_diagnostic,no,high_target_family
synthetic_procurement_need_roll_mean_4,autoregressive,derived,target_like_diagnostic,historical_rolling,input_or_diagnostic,no,high_target_family
synthetic_raw_material_requirement_t_plus_4,synthetic_internal,numerical,synthetic_operational_state,future_not_allowed,input_or_diagnostic,no,low
unit_purchase_cost,derived,numerical,engineered_feature,current_t_context,input_or_diagnostic,no,low
