PRODUCTOS,AÑO,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiem.,Octubre,Noviem.,Diciem.,Anual
BIENES Y SERVICIOS DE USO CORRIENTE (INPUT I),2023,147.47,149.05,145.69,141.75,138.67,137.41,135.78,135.05,134.55,134.42,131.68,132.27,138.65
,2024,132.64,129.43,127.42,125.52,124.65,124.85,124.02,123.46,121.98,122.26,123.87,125.06,125.43
,2025,126.27,127.8,127.04,125.74,125.31,125.88,126.52,126.2,125.8,126.06,0,0,0
SEMILLAS Y PLANTONES,2023,107.28,109.74,111.6,113.57,114.91,115.8,116.34,116.84,117.2,117.97,119.1,119.31,114.97
,2024,119.88,120.03,120.18,120.81,120.91,121.09,121.72,121.99,122.09,122.26,122.71,122.77,121.37
,2025,123.57,123.55,123.55,122.69,122.69,122.62,122.41,122.54,122.54,121.65,0,0,0
      - SEMILLAS,2023,107.41,110.51,112.83,115.18,116.81,117.9,118.53,119.18,119.58,120.47,121.99,122.25,116.89
,2024,122.12,122.31,122.52,122.66,122.8,123.05,123.19,123.57,123.69,123.94,124.55,124.64,123.25
,2025,124.28,124.25,124.25,123.07,123.07,122.98,121.74,121.92,121.92,120.7,0,0,0
     - PLANTONES,2023,106.91,107.72,108.35,109.29,109.86,110.25,110.56,110.64,110.88,111.32,111.46,111.54,109.9
,2024,113.96,113.96,113.96,115.9,115.9,115.9,117.83,117.83,117.83,117.83,117.83,117.83,116.39
,2025,121.69,121.69,121.69,121.69,121.69,121.69,124.17,124.17,124.17,124.17,0,0,0
FERTILIZANTES,2023,222.25,214.45,203.32,190.61,180.04,174.78,168.17,163.02,160.56,158.16,156.47,157.47,179.11
,2024,153.54,152.3,149.59,147.29,145.91,145.48,144.29,143.81,144.38,144.86,144.73,146.31,146.89
,2025,148.02,149.02,150.8,152.4,153.54,154.44,155.59,155.95,157.08,159.96,0,0,0
     - SIMPLES,2023,245.87,235.63,220.61,202.36,186.64,177.91,169.05,164.42,163.69,161.28,160.06,163.82,187.61
,2024,158.2,156.92,153.17,149.27,147.05,146.93,144.62,143.78,144.71,145.53,145.68,147.78,148.64
,2025,150.54,150.94,154.4,156.75,158.45,160.44,161.41,161.53,162.8,166.37,0,0,0
          + NITROGENADOS,2023,266.23,254.54,236.42,214.56,194.06,184.25,174.56,169.37,169.44,166.99,166.42,169.68,197.21
,2024,162.33,160.76,157.03,152.84,149.92,149.63,147.13,146.81,148.11,149.18,148.82,151.29,151.99
,2025,156.53,158.8,163.66,167.1,168.16,169.15,168.97,168.86,170.2,173.52,0,0,0
          + FOSFATADOS,2023,163.16,159.6,159.13,156.76,156.44,145.17,142.15,137.69,137.28,128.52,126.94,139.3,146.02
,2024,140.66,141.91,141.71,135.92,137.11,136.06,134,132.73,131.77,131.67,136.45,137.45,136.45
,2025,141.02,126.53,122.86,120.31,127.79,137.69,147.67,150.64,151.58,158.28,0,0,0
          + POTASICOS,2023,189.7,182.94,175.4,166.44,166.2,164.4,156.41,154.52,149.56,151,146.7,148.08,162.61
,2024,147.25,145.98,140.13,138.75,138.12,139.44,137.95,134.65,134.78,134.94,135.01,135.85,138.56
,2025,125.54,124.94,125.4,124.99,126.59,129.22,130.88,130.47,131.6,134.65,0,0,0
     - COMPUESTOS,2023,230.48,223.6,214.38,205.45,198.83,196.84,191.27,183.64,177.83,174.61,171.67,168.99,194.8
