date,ALIMENTOS DE GANADO,ALIMENTOS DE GANADO PIENSOS COMPUESTOS,ALIMENTOS DE GANADO PIENSOS COMPUESTOS PARA  AVES,ALIMENTOS DE GANADO PIENSOS COMPUESTOS PARA BOVINO,ALIMENTOS DE GANADO PIENSOS COMPUESTOS PARA CONEJOS,ALIMENTOS DE GANADO PIENSOS COMPUESTOS PARA OVINO Y CAPRINO,ALIMENTOS DE GANADO PIENSOS COMPUESTOS PARA PORCINO,ALIMENTOS DE GANADO PIENSOS SIMPLES,BIENES Y SERVICIOS DE USO CORRIENTE (INPUT I),FERTILIZANTES,FERTILIZANTES COMPUESTOS,FERTILIZANTES ENMIENDAS,FERTILIZANTES SIMPLES,FERTILIZANTES SIMPLES FOSFATADOS,FERTILIZANTES SIMPLES NITROGENADOS,FERTILIZANTES SIMPLES POTASICOS,SEMILLAS Y PLANTONES,SEMILLAS Y PLANTONES PLANTONES,SEMILLAS Y PLANTONES SEMILLAS
2023-01-01,156.35,157.06,154.83,154.33,155.33,158.26,159.06,152.68,147.47,222.25,230.48,96.02,245.87,163.16,266.23,189.7,107.28,106.91,107.41
2023-02-01,155.86,156.28,154.53,153.52,153.78,158.72,157.96,153.7,149.05,214.45,223.6,96.02,235.63,159.6,254.54,182.94,109.74,107.72,110.51
2023-03-01,154.67,155.26,153.9,153.38,152.74,158.4,156.36,151.63,145.69,203.32,214.38,96.02,220.61,159.13,236.42,175.4,111.6,108.35,112.83
2023-04-01,150.36,150.62,151.02,150.04,152.27,153.69,150.32,149.05,141.75,190.61,205.45,96.02,202.36,156.76,214.56,166.44,113.57,109.29,115.18
2023-05-01,147.11,146.46,146.83,147.78,150.61,148.75,145.44,150.46,138.67,180.04,198.83,96.02,186.64,156.44,194.06,166.2,114.91,109.86,116.81
2023-06-01,144.06,141.87,139.48,143.26,149.5,144.31,141.97,155.3,137.41,174.78,196.84,96.02,177.91,145.17,184.25,164.4,115.8,110.25,117.9
2023-07-01,141.26,137.38,136.66,139.93,149.96,142.23,135.9,161.21,135.78,168.17,191.27,96.02,169.05,142.15,174.56,156.41,116.34,110.56,118.53
2023-08-01,139.08,134.17,133.29,136.15,145.97,139.71,132.94,164.35,135.05,163.02,183.64,96.02,164.42,137.69,169.37,154.52,116.84,110.64,119.18
2023-09-01,136.97,132.1,132.41,133.63,144.49,135.88,130.66,162.04,134.55,160.56,177.83,96.02,163.69,137.28,169.44,149.56,117.2,110.88,119.58
2023-10-01,137.57,132.1,132.83,132.5,143.3,134.93,131.04,165.7,134.42,158.16,174.61,96.02,161.28,128.52,166.99,151.0,117.97,111.32,120.47
2023-11-01,135.2,130.16,129.08,130.33,142.08,135.31,129.77,161.07,131.68,156.47,171.67,96.02,160.06,126.94,166.42,146.7,119.1,111.46,121.99
2023-12-01,136.56,131.77,130.62,136.16,140.82,135.17,130.0,161.21,132.27,157.47,168.99,96.02,163.82,139.3,169.68,148.08,119.31,111.54,122.25
2024-01-01,136.82,132.41,135.6,134.06,141.79,136.86,129.64,159.48,132.64,153.54,165.99,96.59,158.2,140.66,162.33,147.25,119.88,113.96,122.12
2024-02-01,132.32,128.53,127.78,128.22,137.33,135.57,128.07,151.82,129.43,152.3,164.22,97.16,156.92,141.91,160.76,145.98,120.03,113.96,122.31
2024-03-01,129.76,125.92,125.47,125.52,135.28,130.76,125.55,149.54,127.42,149.59,161.9,97.73,153.17,141.71,157.03,140.13,120.18,113.96,122.52
2024-04-01,127.39,123.94,122.31,123.4,131.61,129.18,124.16,145.16,125.52,147.29,161.16,97.73,149.27,135.92,152.84,138.75,120.81,115.9,122.66
2024-05-01,125.48,121.94,121.45,122.73,130.45,126.99,121.14,143.69,124.65,145.91,160.53,97.73,147.05,137.11,149.92,138.12,120.91,115.9,122.8
2024-06-01,124.75,122.44,121.29,122.68,129.59,126.66,122.26,136.65,124.85,145.48,159.51,97.73,146.93,136.06,149.63,139.44,121.09,115.9,123.05
2024-07-01,122.39,121.16,120.41,121.93,128.37,124.23,120.7,128.74,124.02,144.29,159.54,97.73,144.62,134.0,147.13,137.95,121.72,117.83,123.19
2024-08-01,120.51,121.74,120.15,121.24,124.62,123.41,122.4,114.22,123.46,143.81,159.45,97.73,143.78,132.73,146.81,134.65,121.99,117.83,123.57
2024-09-01,119.39,120.43,119.43,120.1,124.3,123.11,120.65,114.03,121.98,144.38,159.66,97.73,144.71,131.77,148.11,134.78,122.09,117.83,123.69
2024-10-01,119.9,120.87,120.12,120.62,124.23,123.85,120.92,114.92,122.26,144.86,159.8,97.73,145.53,131.67,149.18,134.94,122.26,117.83,123.94
2024-11-01,120.69,121.96,120.95,121.64,126.57,125.13,122.1,114.17,123.87,144.73,159.23,97.73,145.68,136.45,148.82,135.01,122.71,117.83,124.55
2024-12-01,121.75,123.13,122.21,122.22,127.21,126.15,123.49,114.67,125.06,146.31,160.58,97.73,147.78,137.45,151.29,135.85,122.77,117.83,124.64
2025-01-01,123.79,124.27,124.69,120.26,134.23,124.15,125.38,121.36,126.27,148.02,162.12,95.45,150.54,141.02,156.53,125.54,123.57,121.69,124.28
2025-02-01,125.45,125.86,125.92,122.11,134.23,125.1,127.14,123.38,127.8,149.02,164.34,95.45,150.94,126.53,158.8,124.94,123.55,121.69,124.25
2025-03-01,126.6,127.27,127.31,122.85,135.93,125.27,128.94,123.16,127.04,150.8,164.85,93.75,154.4,122.86,163.66,125.4,123.55,121.69,124.25
2025-04-01,126.05,126.67,125.64,125.35,133.37,123.76,127.76,122.88,125.74,152.4,165.88,93.75,156.75,120.31,167.1,124.99,122.69,121.69,123.07
2025-05-01,125.03,125.56,124.01,125.61,131.5,120.56,126.56,122.31,125.31,153.54,167.18,92.05,158.45,127.79,168.16,126.59,122.69,121.69,123.07
2025-06-01,124.21,124.77,122.21,126.02,131.64,121.73,125.55,121.34,125.88,154.44,166.78,92.05,160.44,137.69,169.15,129.22,122.62,121.69,122.98
2025-07-01,124.25,125.82,123.86,129.82,135.93,116.83,125.76,116.2,126.52,155.59,168.59,92.05,161.41,147.67,168.97,130.88,122.41,124.17,121.74
2025-08-01,123.27,124.6,122.91,129.62,134.23,116.25,123.98,116.4,126.2,155.95,169.41,92.05,161.53,150.64,168.86,130.47,122.54,124.17,121.92
2025-09-01,122.58,123.98,122.51,129.16,134.56,115.77,123.16,115.37,125.8,157.08,170.73,92.05,162.8,151.58,170.2,131.6,122.54,124.17,121.92
2025-10-01,122.5,123.73,122.16,129.02,134.09,115.83,122.88,116.19,126.06,159.96,173.58,92.05,166.37,158.28,173.52,134.65,121.65,124.17,120.7
2025-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
