campaign,week,price_white,price_red,source_url,scraped_at
2022/2023,24,37.76,38.68,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/242023boletinpreciosdelvinodel12al18dejunio.pdf,2025-12-10T09:43:47.730267
2022/2023,25,37.05,37.67,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/252023boletinpreciosdelvinodel19al25dejunio.pdf,2025-12-10T09:43:46.323405
2022/2023,26,37.05,37.19,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/262023boletinpreciosdelvinodel26dejunioal2dejulio.pdf,2025-12-10T09:43:44.896374
2022/2023,27,36.52,37.7,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/272023boletinpreciosdelvinodel3al9dejulio.pdf,2025-12-10T09:43:43.491132
2022/2023,28,36.34,37.49,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/282023boletinpreciosdelvinodel10al16dejulio.pdf,2025-12-10T09:43:42.048808
2022/2023,29,36.68,37.04,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/292023boletinpreciosdelvinodel17al23dejulio.pdf,2025-12-10T09:43:40.621475
2022/2023,30,37.08,37.25,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/302023boletinpreciosdelvinodel24al30dejulio.pdf,2025-12-10T09:43:39.132710
2022/2023,31,,,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/312022boletinpreciosdelvinodel1al7deagosto.pdf,2025-12-10T09:44:54.977560
2022/2023,32,39.23,43.75,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/322022boletinpreciosdelvinodel8al14deagosto.pdf,2025-12-10T09:44:53.561544
2022/2023,33,37.92,43.49,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/332022boletinpreciosdelvinodel15al21deagosto.pdf,2025-12-10T09:44:52.082208
2022/2023,34,36.86,43.59,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/342022boletinpreciosdelvinodel22al28deagosto.pdf,2025-12-10T09:44:50.630187
2022/2023,35,37.46,43.41,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/352022boletinpreciosdelvinodel29deagostoal4deseptiembre.pdf,2025-12-10T09:44:49.161244
2022/2023,36,38.69,43.36,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/362022boletinpreciosdelvinodel5al11deseptiembre.pdf,2025-12-10T09:44:47.740170
2022/2023,37,38.46,43.33,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/372022boletinpreciosdelvinodel12al18deseptiembre.pdf,2025-12-10T09:44:46.268458
2022/2023,38,38.36,42.7,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/382022boletinpreciosdelvinodel19al25deseptiembre.pdf,2025-12-10T09:44:44.792819
2022/2023,39,38.07,42.56,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/392022boletinpreciosdelvinodel26deseptiembreal2deoctubre.pdf,2025-12-10T09:44:43.314939
2022/2023,40,38.06,42.38,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/402022boletinpreciosdelvinodel3al9deoctubre.pdf,2025-12-10T09:44:41.850882
2022/2023,41,38.0,42.82,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/412022boletinpreciosdelvinodel10al16deoctubre.pdf,2025-12-10T09:44:40.395952
2022/2023,42,37.49,42.3,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/422022boletinpreciosdelvinodel17al23deoctubre.pdf,2025-12-10T09:44:38.942980
2022/2023,43,38.64,43.19,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/432022boletinpreciosdelvinodel24al30deoctubre.pdf,2025-12-10T09:44:37.368334
2022/2023,44,38.66,43.25,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/442022boletinpreciosdelvinodel31deoctubreal6denoviembre.pdf,2025-12-10T09:44:35.859510
2022/2023,45,37.56,43.66,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/452022boletinpreciosdelvinodel7al13denoviembre.pdf,2025-12-10T09:44:34.338908
2022/2023,46,38.26,42.97,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/462022boletinpreciosdelvinodel14al20denoviembre.pdf,2025-12-10T09:44:32.795370
2022/2023,47,39.16,42.74,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/472022boletinpreciosdelvinodel21al27denoviembre.pdf,2025-12-10T09:44:31.279678
2022/2023,48,38.23,41.64,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/482022boletinpreciosdelvinodel28denoviembreal4dediciembre.pdf,2025-12-10T09:44:29.802376
2022/2023,49,38.48,41.17,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/492022boletinpreciosdelvinodel5al11dediciembre.pdf,2025-12-10T09:44:28.278563
2022/2023,50,38.68,41.83,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/502022boletinpreciosdelvinodel12al18dediciembre.pdf,2025-12-10T09:44:26.718972
2022/2023,51,38.47,41.75,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/512022boletinpreciosdelvinodel19al25dediciembre.pdf,2025-12-10T09:44:25.198797
2022/2023,52,38.08,42.48,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/522022boletinpreciosdelvinodel26dediciembrede2022al1deenerode2023.pdf,2025-12-10T09:44:23.528715
2023/2024,1,48.96,43.05,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/012024boletinpreciosdelvinodel1al7deenero.pdf,2025-12-10T09:45:40.062338
2023/2024,2,48.5,43.19,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/022024boletinpreciosdelvinodel8al14deenero.pdf,2025-12-10T09:45:38.564001
2023/2024,3,48.73,43.4,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/032024boletinpreciosdelvinodel15al21deenero.pdf,2025-12-10T09:45:37.081717
2023/2024,4,48.45,43.39,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/042024boletinpreciosdelvinodel22al28deenero.pdf,2025-12-10T09:45:35.609451
2023/2024,5,48.34,43.41,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/052024boletinpreciosdelvinodel29deeneroal4defebrero.pdf,2025-12-10T09:45:34.158526
2023/2024,6,47.62,43.82,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/062024boletinpreciosdelvinodel5al11defebrero.pdf,2025-12-10T09:45:32.721312
2023/2024,7,48.26,43.83,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/072024boletinpreciosdelvinodel12al18defebrero.pdf,2025-12-10T09:45:31.224429
2023/2024,8,49.1,44.01,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/082024boletinpreciosdelvinodel19al25defebrero.pdf,2025-12-10T09:45:29.777540
2023/2024,9,48.97,44.2,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/092024boletinpreciosdelvinodel26defebreroal3demarzo.pdf,2025-12-10T09:45:28.239921
2023/2024,10,50.46,44.48,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/102024boletinpreciosdelvinodel4al10demarzo.pdf,2025-12-10T09:45:26.773924
2023/2024,11,50.7,45.06,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/112024boletinpreciosdelvinodel11al17demarzo.pdf,2025-12-10T09:45:25.277215
2023/2024,12,51.13,44.53,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/122024boletinpreciosdelvinodel18al24demarzo.pdf,2025-12-10T09:45:23.816798
2023/2024,13,50.55,44.43,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/132024boletinpreciosdelvinodel25al31demarzo.pdf,2025-12-10T09:45:22.344509
2023/2024,14,51.21,43.33,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/142024boletinpreciosdelvinodel1al7deabril.pdf,2025-12-10T09:45:20.795969
2023/2024,15,51.75,43.2,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/152024boletinpreciosdelvinodel8al14deabril.pdf,2025-12-10T09:45:19.342182
2023/2024,16,50.68,43.47,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/162024boletinpreciosdelvinodel15al21deabril.pdf,2025-12-10T09:45:17.865988
