campaign,week,price_white,price_red,source_url,scraped_at
2023/2024,45,44.5,39.42,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/452023boletinpreciosdelvinodel6al12denoviembre.pdf,2025-12-10T09:45:51.954208
2023/2024,46,45.37,39.38,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/462023boletinpreciosdelvinodel13al19denoviembre.pdf,2025-12-10T09:45:50.569862
2023/2024,47,44.37,40.34,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/472023boletinpreciosdelvinodel20al26denoviembre.pdf,2025-12-10T09:45:49.112313
2023/2024,48,44.6,40.75,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/482023boletinpreciosdelvinodel27denoviembreal3dediciembre.pdf,2025-12-10T09:45:47.471308
2023/2024,49,45.18,41.25,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/492023boletinpreciosdelvinodel4al10dediciembre.pdf,2025-12-10T09:45:45.982375
2023/2024,50,46.02,41.39,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/502023boletinpreciosdelvinodel11al17dediciembre.pdf,2025-12-10T09:45:44.558122
2023/2024,51,47.43,41.74,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/512023boletinpreciosdelvinodel18al24dediciembre.pdf,2025-12-10T09:45:43.109302
2023/2024,52,48.03,41.39,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/522023boletinpreciosdelvinodel25al31dediciembre.pdf,2025-12-10T09:45:41.631050
2024/2025,1,46.97,43.61,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/12025boletinpreciosdelvinode30diciembre2024al5deenero2025.pdf,2025-12-10T09:46:58.988923
2024/2025,2,47.82,45.1,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/22025boletinpreciosdelvinodel6al12deenero2025.pdf,2025-12-10T09:46:57.605671
2024/2025,3,49.67,45.91,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/32025boletinpreciosdelvinodel13al19deenero2025.pdf,2025-12-10T09:46:56.248006
2024/2025,4,49.0,45.43,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/42025boletinpreciosdelvinodel20al26deenero2025.pdf,2025-12-10T09:46:54.930602
2024/2025,5,48.48,45.03,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/52025boletinpreciosdelvinodel27eneroal02defebrero2025.pdf,2025-12-10T09:46:53.614794
2024/2025,6,49.6,45.31,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/62025boletinpreciosdelvinodel3febreroal9defebrero2025.pdf,2025-12-10T09:46:52.254739
2024/2025,7,49.49,43.87,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/72025boletinpreciosdelvinodel10al16defebrero2025.pdf,2025-12-10T09:46:50.931265
2024/2025,8,49.91,43.25,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/82025boletinpreciosdelvinodel17al23defebrero2025.pdf,2025-12-10T09:46:49.533896
2024/2025,9,50.32,44.44,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/92025boletinpreciosdelvinodel24defebreroal2demarzo2025.pdf,2025-12-10T09:46:48.106416
2024/2025,10,49.21,43.75,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/102025boletinpreciosdelvinodel3demarzoal9demarzo2025.pdf,2025-12-10T09:46:46.611532
2024/2025,11,49.01,42.45,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/112025boletinpreciosdelvinodel10demarzoal16demarzo2025.pdf,2025-12-10T09:46:45.201484
2024/2025,12,48.56,43.82,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/122025boletinpreciosdelvinodel17demarzoal23demarzo2025.pdf,2025-12-10T09:46:43.729677
2024/2025,13,49.78,44.17,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/132025boletinpreciosdelvinodel24demarzoal30demarzo2025.pdf,2025-12-10T09:46:42.274865
2024/2025,14,50.61,45.55,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/142025boletinpreciosdelvinodel31demarzoal6deabril2025.pdf,2025-12-10T09:46:40.855505
2024/2025,15,50.45,47.18,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/152025boletinpreciosdelvinodel7deabrilal13deabril2025.pdf,2025-12-10T09:46:39.388994
2024/2025,16,50.61,46.88,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/162025boletinpreciosdelvinodel14deabrilal20deabril2025.pdf,2025-12-10T09:46:37.945451
2024/2025,17,49.61,47.02,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/172025boletinpreciosdelvinodel21deabrilal27deabril2025.pdf,2025-12-10T09:46:36.488001
2024/2025,18,49.7,48.01,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/182025boletinpreciosdelvinodel28deabrilal4demayo2025.pdf,2025-12-10T09:46:35.042185
2024/2025,19,47.95,47.3,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/192025boletinpreciosdelvinodel5demayoal11demayo2025.pdf,2025-12-10T09:46:33.640014
2024/2025,20,47.08,47.22,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/202025boletinpreciosdelvinodel12demayoal18demayo2025.pdf,2025-12-10T09:46:32.186205
2024/2025,21,48.5,47.2,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/212025boletinpreciosdelvinodel19demayoal25demayo2025.pdf,2025-12-10T09:46:30.719528
2024/2025,22,47.78,45.74,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/222025boletinpreciosdelvinodel26demayoal1dejunio2025.pdf,2025-12-10T09:46:29.311023
2024/2025,23,48.86,45.97,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/23-2025-Boletin-Precios-del-Vino-del-2-de-junio-al-8-de-junio-2025.pdf,2025-12-10T09:46:27.758139
2024/2025,24,49.71,43.78,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/24-2025-boletin-precios-del-vino-del-9-de-junio-al-15-de-junio-2025.pdf,2025-12-10T09:46:26.342614
2024/2025,25,48.63,44.52,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/25-2025-boletin-precios-del-vino-del-16-de-junio-al-22-de-junio-2025.pdf,2025-12-10T09:46:24.924351
2024/2025,26,48.73,46.03,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/26-2025-boletin-precios-del-vino-del-23-de-junio-al-29-de-junio-2025.pdf,2025-12-10T09:46:23.418418
2024/2025,27,48.43,48.12,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/27-2025-boletin-precios-del-vino-del-30-de-junio-al-6-de-julio-2025.pdf,2025-12-10T09:46:22.061294
2024/2025,28,48.39,47.22,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/28-2025-boletin-precios-del-vino-del-7-de-julio-al-13-de-julio-2025.pdf,2025-12-10T09:46:20.512746
2024/2025,29,46.91,44.67,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/29-2025-boletin-precios-del-vino-del-14-de-julio-al-20-de-julio-2025.pdf,2025-12-10T09:46:19.032589
2024/2025,30,48.52,45.08,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/30-2025-boletin-precios-del-vino-del-21-de-julio-al-27-de-julio-2025.pdf,2025-12-10T09:46:17.469326
2024/2025,31,46.24,45.15,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/312024boletinpreciosdelvinodel29dejulioal4deagosto.pdf,2025-12-10T09:47:30.373278
2024/2025,32,47.49,43.97,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/322024boletinpreciosdelvinodel5al11deagosto.pdf,2025-12-10T09:47:29.010793
2024/2025,33,49.66,43.4,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/332024boletinpreciosdelvinodel12al18deagosto.pdf,2025-12-10T09:47:27.595226
2024/2025,34,49.52,44.89,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/342024boletinpreciosdelvinodel19al25deagosto.pdf,2025-12-10T09:47:26.046684
2024/2025,35,48.74,42.7,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/352024boletinpreciosdelvinodel26deagostoal1deseptiembre.pdf,2025-12-10T09:47:24.691694
2024/2025,36,48.24,42.71,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/362024boletinpreciosdelvinodel2al8deseptiembre.pdf,2025-12-10T09:47:23.332509
2024/2025,37,56.63,42.69,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/372024boletinpreciosdelvinodel9al15deseptiembre.pdf,2025-12-10T09:47:21.930197
2024/2025,38,48.83,43.1,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/382024boletinpreciosdelvinodel16al22deseptiembre.pdf,2025-12-10T09:47:20.425242
2024/2025,39,47.88,44.34,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/392024boletinpreciosdelvinodel23al29deseptiembre.pdf,2025-12-10T09:47:18.939070
2024/2025,40,46.31,43.87,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/402024boletinpreciosdelvinodel30deseptiembreal6deoctubre.pdf,2025-12-10T09:47:17.457770
2024/2025,41,46.49,44.3,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/412024boletinpreciosdelvinodel7al13deoctubre.pdf,2025-12-10T09:47:15.952619
2024/2025,42,48.3,45.02,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/422024boletinpreciosdelvinodel14al20deoctubre.pdf,2025-12-10T09:47:14.438887
2024/2025,43,47.36,44.34,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/432024boletinpreciosdelvinodel21al27deoctubre.pdf,2025-12-10T09:47:12.917647
2024/2025,44,47.17,44.68,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/442024boletinpreciosdelvinodel28deoctubreal3denoviembre.pdf,2025-12-10T09:47:11.499278
2024/2025,45,46.81,45.31,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/452024boletinpreciosdelvinodel4al10denoviembre.pdf,2025-12-10T09:47:10.023884
2024/2025,46,47.57,44.69,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/462024boletinpreciosdelvinodel11al17denoviembre.pdf,2025-12-10T09:47:08.647436
2024/2025,47,46.71,43.63,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/472024boletinpreciosdelvinodel18al24denoviembre.pdf,2025-12-10T09:47:07.175524
2024/2025,48,48.49,44.25,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/482024boletinpreciosdelvinodel25denoviembreal1dediciembre.pdf,2025-12-10T09:47:05.835095
2024/2025,49,49.88,43.12,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/492024boletinpreciosdelvinodel2al8dediciembre.pdf,2025-12-10T09:47:04.462451
2024/2025,50,49.29,43.38,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/502024boletinpreciosdelvinode9al15dediciembre.pdf,2025-12-10T09:47:03.089626
2024/2025,51,48.66,43.97,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/512024boletinpreciosdelvinodel16al22dediciembre.pdf,2025-12-10T09:47:01.693237
2024/2025,52,49.37,44.61,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2024-2025/522024boletinpreciosdelvinode23al29dediciembre.pdf,2025-12-10T09:47:00.361380
2025/2026,31,50.44,45.97,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2025-2026/31-2025-boletin-precios-del-vino-del-27-de-julio-al-3-de-agosto-2025.pdf,2025-12-10T09:48:04.608152
2025/2026,32,51.17,43.91,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2025-2026/32-2025-boletin-precios-del-vino-del-4-de-agosto-al-10-de-agosto-2025.pdf,2025-12-10T09:48:01.813199
2025/2026,33,52.98,43.57,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2025-2026/33-2025-boletin-precios-del-vino-del-11-de-agosto-al-17-de-agosto-2025.pdf,2025-12-10T09:48:00.005438
2025/2026,34,50.74,45.63,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2025-2026/34-2025-boletin-precios-del-vino-del-18-al-24-de-agosto-2025.pdf,2025-12-10T09:47:58.494765
2025/2026,35,50.58,47.24,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2025-2026/35-2025-boletin-precios-del-vino-del-25-al-31-de-agosto-2025.pdf,2025-12-10T09:47:57.003317
2025/2026,36,49.7,45.35,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2025-2026/36-2025-boletin-precios-del-vino-del-1-al-7-de-septiembre-2025.pdf,2025-12-10T09:47:55.552692
2025/2026,37,48.09,44.44,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2025-2026/37-2025-boletin-precios-del-vino-del-8-al-14-de-septiembre-2025.pdf,2025-12-10T09:47:53.916061
2025/2026,38,49.3,44.78,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2025-2026/38-2025-boletin-precios-del-vino-del-15-al-21-de-septiembre-2025.pdf,2025-12-10T09:47:52.247314
2025/2026,39,50.9,46.7,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2025-2026/39-2025-boletin-precios-del-vino-del-22-al-28-de-septiembre-2025.pdf,2025-12-10T09:47:50.629622
2025/2026,40,48.43,44.75,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2025-2026/40-2025-boletin-precios-del-vino-del-29-de-septiembre-al-5-de-octubre-2025.pdf,2025-12-10T09:47:49.069611
2025/2026,41,49.31,46.2,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2025-2026/41-2025-boletin-precios-del-vino-del-6-de-octubre-al-12-de-octubre-2025.pdf,2025-12-10T09:47:47.428122
2025/2026,42,49.92,45.18,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2025-2026/42-2025-boletin-precios-del-vino-del-13-de-octubre-al-19-de-octubre-2025.pdf,2025-12-10T09:47:45.659267
2025/2026,43,50.47,46.59,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2025-2026/43-2025-boletin-precios-del-vino-del-20-de-octubre-al-26-de-octubre-2025.pdf,2025-12-10T09:47:44.080484
2025/2026,44,49.21,47.88,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2025-2026/44-2025-boletin-precios-del-vino-del-26-de-octubre-al-2-de-noviembre-2025.pdf,2025-12-10T09:47:42.447240
2025/2026,45,48.46,48.3,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2025-2026/45-2025-boletin-precios-del-vino-del-3-al-9-de-noviembre-2025.pdf,2025-12-10T09:47:40.820470
2025/2026,46,50.71,48.67,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2025-2026/46-2025-boletin-precios-del-vino-del-10-al-16-de-noviembre-2025.pdf,2025-12-10T09:47:39.279629
2025/2026,47,50.48,48.12,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2025-2026/47-2025-boletin-precios-del-vino-del-17-al-23-de-noviembre-2025.pdf,2025-12-10T09:47:37.602208
2025/2026,48,51.3,48.14,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2025-2026/48-2025-boletin-precios-del-vino-del-24-al-30-de-noviembre-2025.pdf,2025-12-10T09:47:35.987090
