date,ALIMENTOS DE GANADO,ALIMENTOS DE GANADO PIENSOS COMPUESTOS,ALIMENTOS DE GANADO PIENSOS COMPUESTOS PARA  AVES,ALIMENTOS DE GANADO PIENSOS COMPUESTOS PARA BOVINO,ALIMENTOS DE GANADO PIENSOS COMPUESTOS PARA CONEJOS,ALIMENTOS DE GANADO PIENSOS COMPUESTOS PARA OVINO Y CAPRINO,ALIMENTOS DE GANADO PIENSOS COMPUESTOS PARA PORCINO,ALIMENTOS DE GANADO PIENSOS SIMPLES,BIENES Y SERVICIOS DE USO CORRIENTE (INPUT I),FERTILIZANTES,FERTILIZANTES COMPUESTOS,FERTILIZANTES ENMIENDAS,FERTILIZANTES SIMPLES,FERTILIZANTES SIMPLES FOSFATADOS,FERTILIZANTES SIMPLES NITROGENADOS,FERTILIZANTES SIMPLES POTASICOS,SEMILLAS Y PLANTONES,SEMILLAS Y PLANTONES PLANTONES,SEMILLAS Y PLANTONES SEMILLAS
2015-01-01,100.16,100.2,100.04,99.85,99.89,98.99,100.57,100.0,99.84,100.15,97.52,100.0,102.01,100.11,102.41,100.6,98.13,100.0,97.47
2015-02-01,100.1,100.2,99.91,100.15,99.5,99.31,100.5,99.69,99.99,100.81,98.14,100.0,102.83,100.18,103.56,99.54,98.64,100.0,98.16
2015-03-01,100.52,100.49,100.15,100.06,99.21,99.43,101.02,100.66,100.54,100.61,99.15,100.0,101.75,100.28,102.18,99.73,98.95,100.0,98.58
2015-04-01,100.19,100.25,100.62,100.89,101.37,100.51,99.69,99.96,100.13,99.36,97.46,100.0,100.57,99.66,100.79,99.66,99.16,100.0,98.86
2015-05-01,100.71,100.96,100.44,100.76,101.15,100.59,101.36,99.7,100.79,100.18,99.01,100.0,101.03,99.86,101.38,99.37,98.76,100.0,98.32
2015-06-01,100.33,100.44,100.11,100.88,100.9,100.07,100.45,99.9,100.68,100.35,100.34,100.0,100.42,100.08,100.42,100.67,99.27,100.0,99.01
2015-07-01,99.79,99.52,100.07,99.33,97.84,100.29,99.29,100.86,100.47,99.95,100.97,100.0,99.23,99.9,98.92,100.98,99.17,100.0,98.88
2015-08-01,100.21,100.2,100.69,99.76,99.82,100.98,100.05,100.26,100.17,100.22,101.67,100.0,99.25,99.83,99.07,100.1,99.78,100.0,99.71
2015-09-01,99.67,99.71,100.07,99.62,99.6,99.89,99.53,99.51,99.65,100.27,101.77,100.0,99.27,99.76,99.12,99.98,100.59,100.0,100.8
2015-10-01,99.51,99.4,99.48,100.02,99.6,99.97,99.03,99.93,99.37,99.67,101.43,100.0,98.37,100.29,97.9,100.31,102.03,100.0,102.74
2015-11-01,99.58,99.45,99.17,99.78,100.18,99.73,99.42,100.08,99.45,99.62,101.64,100.0,98.14,100.04,97.71,99.83,102.64,100.0,103.57
2015-12-01,99.18,99.15,99.16,98.98,100.72,100.21,99.05,99.3,98.87,98.77,100.9,100.0,97.04,99.99,96.44,99.15,102.89,100.0,103.9
2016-01-01,99.29,99.11,98.18,100.99,101.66,99.66,98.7,100.01,97.83,97.28,100.51,100.0,94.51,97.84,93.53,99.1,104.48,107.47,103.44
2016-02-01,98.4,98.25,97.89,100.15,100.29,98.57,97.53,99.01,96.91,97.0,100.03,100.0,94.33,98.21,93.37,98.31,104.48,107.47,103.44
2016-03-01,97.26,96.84,96.15,99.17,98.99,97.72,96.08,98.97,96.52,97.2,99.89,100.0,94.79,98.65,93.87,98.49,104.48,107.47,103.44
2016-04-01,96.43,95.79,95.91,96.91,98.96,96.74,95.03,99.02,95.94,95.38,97.58,95.38,93.84,98.69,92.72,98.17,104.48,107.47,103.44
2016-05-01,97.67,96.12,95.98,96.31,92.65,96.6,96.22,103.92,96.62,92.79,95.66,95.38,90.29,98.56,88.18,99.27,104.48,107.47,103.44
2016-06-01,97.84,96.38,96.29,95.61,92.19,97.61,96.83,103.75,97.17,91.49,94.2,95.38,88.87,98.47,86.42,99.32,104.48,107.47,103.44
