date,BIENES DE INVERSION   (INPUT II),CONS. Y REP. EDIFICIOS,CONS. Y REP. MAQUINARIA,ENERGIA Y LUBRICANTES,ENERGIA Y LUBRICANTES CARBURANTES,ENERGIA Y LUBRICANTES ELECTRICIDAD,ENERGIA Y LUBRICANTES LUBRICANTES,GASTOS GENERALES,MAQUINARIA Y OTROS BIENES DE EQUIPO,MATERIAL Y PEQUEÑO UTILLAJE,OBRAS DE INVERSION,PROTECCION FITOPATOLOGICA,TRATAMIENTOS ZOOSANITARIOS
2015-01-01,100.43,100.33,98.17,99.77,100.21,99.22,100.41,98.94,100.68,99.96,100.23,100.47,99.9
2015-02-01,100.29,100.1,98.39,100.39,101.41,99.22,100.46,99.52,100.63,100.02,100.03,100.06,99.9
2015-03-01,100.14,99.85,98.44,102.68,105.91,99.22,100.46,100.57,100.61,99.88,99.8,100.47,99.93
2015-04-01,99.65,99.67,98.02,101.41,103.4,99.22,100.52,101.01,99.68,99.32,99.62,99.75,99.94
2015-05-01,99.73,99.65,98.94,104.06,108.64,99.22,100.0,101.41,99.82,99.02,99.66,100.28,99.98
2015-06-01,99.8,99.76,99.13,103.8,108.13,99.22,100.0,101.83,99.81,99.15,99.8,100.25,99.98
2015-07-01,99.78,100.2,101.3,103.88,105.34,102.59,99.79,101.94,99.16,99.28,100.25,100.01,100.0
2015-08-01,99.83,100.35,101.3,99.57,98.85,100.36,99.79,100.58,99.12,99.77,100.37,99.53,100.03
2015-09-01,99.76,100.24,101.9,98.05,95.88,100.36,99.79,99.1,99.1,100.13,100.26,99.43,100.05
2015-10-01,100.36,100.25,101.27,96.34,92.54,100.36,99.76,98.47,100.47,101.11,100.28,99.77,100.05
2015-11-01,100.16,99.9,101.44,96.44,92.75,100.36,99.55,98.62,100.47,101.11,99.93,99.81,100.15
2015-12-01,100.06,99.69,101.68,93.52,87.03,100.36,99.46,98.03,100.46,101.24,99.76,100.16,100.05
2016-01-01,99.24,98.03,101.92,84.99,79.69,89.71,99.64,95.89,100.76,101.49,98.11,100.49,100.75
2016-02-01,98.9,97.29,101.98,81.21,77.41,83.91,99.64,95.19,100.84,101.43,97.45,100.5,100.55
2016-03-01,98.79,97.13,102.12,82.02,79.31,83.55,99.64,95.91,100.79,101.37,97.28,100.48,100.75
2016-04-01,97.55,96.74,102.17,82.27,82.09,80.96,99.41,95.84,98.35,101.69,96.94,100.25,100.65
2016-05-01,97.54,96.65,102.19,84.87,86.65,81.53,99.82,96.57,98.48,101.53,96.83,100.26,100.45
2016-06-01,97.55,96.65,102.25,86.97,89.67,82.77,99.9,100.2,98.46,101.39,96.86,99.79,100.65
2016-07-01,98.94,97.66,102.27,90.06,89.69,89.6,100.09,98.0,100.42,101.41,97.82,100.55,100.45
2016-08-01,99.54,98.73,102.6,90.66,90.19,90.33,100.56,97.94,100.53,101.46,98.8,100.02,100.35
2016-09-01,99.71,99.01,103.0,91.09,90.11,91.41,100.15,97.93,100.55,101.31,99.08,100.18,100.45
2016-10-01,100.24,99.07,104.18,94.49,90.92,98.09,99.55,99.01,101.79,100.63,99.07,100.19,100.41
2016-11-01,100.01,98.69,104.61,95.5,90.97,100.36,98.6,99.01,101.73,100.78,98.71,100.4,100.23
