Provincia,Trigo duro - Superficie - (hectáreas),Trigo duro - Producción - (toneladas),Trigo blando y semiduro - Superficie - (hectáreas),Trigo blando y semiduro - Producción - (toneladas)
A Coruña,0,0,3118,8824
Lugo,0,0,4922,14668
Ourense,0,0,13015,37353
Pontevedra,0,0,632,2073
GALICIA,0,0,21687,62918
P. DE ASTURIAS,0,0,70,150
CANTABRIA,0,0,428,856
Alava,0,0,25070,120336
Guipúzcoa,0,0,0,0
Vizcaya,0,0,1,4
PAÍS VASCO,0,0,25071,120340
NAVARRA,14225,27836,58093,262906
LA RIOJA,65,255,35365,158213
Huesca,2354,4997,27767,104563
Teruel,2992,6104,28495,75654
Zaragoza,225457,255515,27426,31083
ARAGÓN,230803,266616,83688,211300
Barcelona,0,0,21158,79476
Girona,0,0,13421,29982
Lleida,133,220,37257,123970
Tarragona,0,0,6323,22762
CATALUÑA,133,220,78159,256190
BALEARES,0,0,7450,9834
Avila,0,0,23079,62463
Burgos,10635,21270,159612,624179
León,0,0,39916,121197
Palencia,105,284,83618,262954
Salamanca,505,1058,58689,167592
Segovia,0,0,43505,123981
Soria,432,1210,85224,240410
Valladolid,408,612,41718,147316
Zamora,1159,1781,71318,172526
CASTILLA Y LEÓN,13244,26215,606679,1922618
MADRID,292,788,24798,76682
Albacete,0,0,46775,141763
Ciudad Real,0,0,58655,111846
Cuenca,0,0,30212,93127
Guadalajara,0,0,62707,185741
Toledo,49179,59450,35407,63522
CASTILLA–LA MANCHA,49179,59450,233756,595999
Alicante,265,318,3434,10817
Castellón,0,0,624,2062
Valencia,218,387,1729,3054
C. VALENCIANA,483,705,5787,15933
R. DE MURCIA,520,641,8919,8706
Badajoz,92800,261139,55900,138864
Cáceres,465,1161,8100,16200
EXTREMADURA,93265,262300,64000,155064
Almería,4265,2815,900,1170
Cádiz,87662,231238,7650,24381
Córdoba,135725,357031,11112,39671
Granada,23973,31722,5796,11657
Huelva,18351,43677,2691,7855
Jaén,22237,60707,1392,5843
Málaga,36446,106985,1968,7155
Sevilla,182291,509863,21846,74304
ANDALUCÍA,510950,1344038,53355,172036
Las Palmas,0,0,0,0
S.C. de Tenerife,0,0,177,177
CANARIAS,0,0,177,177
ESPAÑA,913159,1989064,1307482,4029922
