Provincia,Cebada de 2 carreras - Superficie - (hectáreas),Cebada de 2 carreras - Producción - (toneladas),Cebada de 6 carreras - Superficie - (hectáreas),Cebada de 6 carreras - Producción - (toneladas)
A Coruña,0,0,384,814
Lugo,0,0,32,90
Ourense,0,0,93,263
Pontevedra,0,0,15,42
GALICIA,0,0,524,1209
P. DE ASTURIAS,0,0,0,0
CANTABRIA,551,744,0,0
Alava,15325,65131,0,0
Guipúzcoa,0,0,0,0
Vizcaya,0,0,0,0
PAÍS VASCO,15325,65131,0,0
NAVARRA,5963,23835,103158,416645
LA RIOJA,19883,84723,0,0
Huesca,148479,527388,34830,125463
Teruel,81640,246405,61375,153325
Zaragoza,45833,84451,14473,26668
ARAGÓN,275952,858244,110678,305456
Barcelona,44276,124589,1970,6912
Girona,11753,23841,3000,6085
Lleida,100491,298627,16000,43000
Tarragona,11371,46667,2800,11660
CATALUÑA,167891,493724,23770,67657
BALEARES,10200,12981,15301,19471
Avila,67139,188040,19534,42120
Burgos,218668,633996,6500,19500
León,23220,78899,3500,8575
Palencia,155257,388285,19189,58697
Salamanca,52672,142741,22952,59208
Segovia,44683,120192,84398,251937
Soria,129341,340580,2500,6500
Valladolid,285396,857428,20000,66750
Zamora,46894,116999,34978,81776
CASTILLA Y LEÓN,1023270,2867160,213551,595063
MADRID,34653,93473,3545,9593
Albacete,90450,301595,94050,222075
Ciudad Real,77030,159708,58347,126856
Cuenca,242252,717581,48000,169400
Guadalajara,103967,292437,17000,47817
Toledo,148698,317087,7826,16689
CASTILLA–LA MANCHA,662397,1788408,225223,582837
Alicante,3126,6908,988,2420
Castellón,2738,5927,1252,3318
Valencia,4045,10733,3980,10540
C. VALENCIANA,9909,23568,6220,16278
R. DE MURCIA,6664,5151,34972,37770
Badajoz,38000,108794,6700,19182
Cáceres,1350,2700,3200,6400
EXTREMADURA,39350,111494,9900,25582
Almería,0,0,10950,19425
Cádiz,3012,8917,1183,3514
Córdoba,1388,2551,3237,5952
Granada,9924,28009,45149,70972
Huelva,457,1031,1113,1834
Jaén,3818,9579,1450,3561
Málaga,5589,19833,621,1533
Sevilla,3461,9600,604,1245
ANDALUCÍA,27649,79520,64307,108036
Las Palmas,0,0,0,0
S.C. de Tenerife,0,0,68,68
CANARIAS,0,0,68,68
ESPAÑA,2299657,6508156,811217,2185665
