CEREALES GRANO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Volver al Indice,,,,
"6.33.  MAIZ: Análisis provincial de superficie y producción según clases, 2006",,,,
,,,,
Provincias,Maíz híbirido,,Otros maíces,
y,Superficie,Producción,Superficie,Producción
Comunidades Autónomas,(hectáreas),(toneladas),(hectáreas),(toneladas)
A Coruña,9964,51996,–,–
Lugo,2027,10221,–,–
Ourense,2570,12554,–,–
Pontevedra,6751,35097,–,–
 GALICIA,21312,109868,–,–
,,,,
 P. DE ASTURIAS,609,1538,41,152
,,,,
 CANTABRIA,–,–,2042,10960
,,,,
Alava,–,–,23,84
Guipúzcoa,110,356,190,604
Vizcaya,65,193,75,213
 PAIS VASCO,175,549,288,901
,,,,
 NAVARRA,10189,88367,653,10830
,,,,
 LA RIOJA,1058,10262,–,–
,,,,
Huesca,30262,312364,–,–
Teruel,4507,43830,–,–
Zaragoza,19153,187943,–,–
 ARAGON,53922,544137,–,–
,,,,
Barcelona,2561,8597,–,–
Girona,8654,87410,–,–
Lleida,24705,247051,–,–
Tarragona,122,901,–,–
 CATALUÑA,36042,343959,–,–
,,,,
 BALEARES,242,1331,–,–
,,,,
Avila,891,7096,–,–
Burgos,1192,11193,–,–
León,57650,553440,–,–
Palencia,4424,39816,–,–
Salamanca,12527,135913,–,–
Segovia,71,568,–,–
Soria,335,3510,–,–
Valladolid,9751,112137,–,–
Zamora,15447,154236,–,–
 CASTILLA Y LEON,102288,1017909,–,–
,,,,
 MADRID,5310,63476,–,–
,,,,
Albacete,16430,203535,–,–
Ciudad Real,4166,53908,–,–
Cuenca,1327,14322,–,–
Guadalajara,3159,40995,–,–
Toledo,11361,133696,–,–
 CASTILLA–LA MANCHA,36443,446456,–,–
,,,,
Alicante,224,934,–,–
Castellón,95,315,–,–
Valencia,262,2194,–,–
 C. VALENCIANA,581,3443,–,–
,,,,
 R. DE MURCIA,272,2135,–,–
,,,,
Badajoz,36000,334800,–,–
Cáceres,17600,167200,–,–
 EXTREMADURA,53600,502000,–,–
,,,,
Almería,17,55,–,–
Cádiz,581,6903,–,–
Córdoba,4635,57725,–,–
Granada,3371,25300,–,–
Huelva,183,1648,–,–
Jaén,954,9491,–,–
Málaga,580,3647,72,152
Sevilla,8377,91122,–,–
 ANDALUCIA,18698,195891,72,152
,,,,
Las Palmas,142,389,77,168
S.C. de Tenerife,310,764,34,85
 CANARIAS,452,1153,111,253
,,,,
ESPAÑA,341193,3332474,3207,23248
