Provincia,Maíz híbirido - Superficie - (hectáreas),Maíz híbirido - Producción - (toneladas),Otros maíces - Superficie - (hectáreas),Otros maíces - Producción - (toneladas)
A Coruña,11029,53684,0,0
Lugo,2196,10651,0,77
Ourense,3177,15576,0,0
Pontevedra,7942,38519,0,280
GALICIA,24344,118430,0,357
P. DE ASTURIAS,900,2160,100,200
CANTABRIA,120,720,5,30
Alava,0,0,33,110
Guipúzcoa,135,490,180,648
Vizcaya,65,224,75,255
PAIS VASCO,200,714,288,1013
NAVARRA,15315,117887,35,532
LA RIOJA,1642,14219,0,0
Huesca,51585,551598,0,0
Teruel,5905,50352,0,0
Zaragoza,33548,321969,0,0
ARAGON,91038,923919,0,0
Barcelona,2458,10648,0,0
Girona,5784,58139,5002,50279
Lleida,29572,291146,0,0
Tarragona,113,835,0,0
CATALUÑA,37927,360768,5002,50279
BALEARES,341,2728,0,0
Avila,1471,10601,0,0
Burgos,1495,11632,0,0
León,65250,626400,0,0
Palencia,7102,63918,0,0
Salamanca,15320,160862,0,0
Segovia,224,1770,0,0
Soria,681,7110,0,0
Valladolid,16378,175245,0,0
Zamora,23897,233883,0,0
CASTILLA Y LEON,131818,1291421,0,0
MADRID,9773,127049,0,0
Albacete,21860,273155,0,0
Ciudad Real,9365,102845,0,0
Cuenca,1736,19582,0,0
Guadalajara,6356,67320,0,0
Toledo,13915,153068,0,0
CASTILLA–LA MANCHA,53232,615970,0,0
Alicante,385,2002,0,0
Castellón,204,945,0,0
Valencia,290,1524,0,0
C. VALENCIANA,879,4471,0,0
R. DE MURCIA,293,2299,0,0
Badajoz,0,0,38800,425132
Cáceres,0,0,20020,210430
EXTREMADURA,0,0,58820,635562
Almería,0,0,16,68
Cádiz,3511,42950,0,0
Córdoba,11400,147687,0,0
Granada,4117,36681,0,0
Huelva,580,5059,0,0
Jaén,1231,15359,0,0
Málaga,638,4414,71,184
Sevilla,25653,306750,0,0
ANDALUCIA,47130,558900,87,252
Las Palmas,141,352,34,85
S.C. de Tenerife,303,747,34,83
CANARIAS,444,1099,68,168
ESPAÑA,415396,4142754,64405,688393
