Provincia,Maíz híbrido - Superficie - (hectáreas),Maíz híbrido - Producción - (toneladas),Otros maíces - Superficie - (hectáreas),Otros maíces - Producción - (toneladas)
A Coruña,8491,63003,354,2627
Lugo,1285,12618,428,4306
Ourense,2097,17195,0,0
Pontevedra,6046,32709,0,0
GALICIA,17919,125525,782,6933
P. DE ASTURIAS,250,650,50,100
CANTABRIA,92,237,0,0
Alava,0,0,13,46
Guipúzcoa,110,376,190,641
Vizcaya,65,203,75,227
PAIS VASCO,175,579,278,914
NAVARRA,12546,128357,867,14226
LA RIOJA,747,6247,0,0
Huesca,38130,413711,0,0
Teruel,3859,35892,0,0
Zaragoza,24118,237210,0,0
ARAGON,66107,686813,0,0
Barcelona,1643,6224,0,0
Girona,7950,87755,0,0
Lleida,28545,242527,0,0
Tarragona,41,346,0,0
CATALUÑA,38179,336852,0,0
BALEARES,525,2888,0,0
Avila,176,1408,0,0
Burgos,315,3150,0,0
León,57152,542944,0,0
Palencia,2823,25407,0,0
Salamanca,13244,149657,0,0
Segovia,200,1600,0,0
Soria,506,5537,0,0
Valladolid,10345,103450,0,0
Zamora,18538,175751,0,0
CASTILLA Y LEON,103299,1008904,0,0
MADRID,5850,67070,0,0
Albacete,11518,149734,0,0
Ciudad Real,4426,52694,0,0
Cuenca,935,9889,0,0
Guadalajara,3830,45856,0,0
Toledo,11399,157850,0,0
CASTILLA–LA MANCHA,32108,416023,0,0
Alicante,167,1238,0,0
Castellón,16,51,0,0
Valencia,575,5750,0,0
C. VALENCIANA,758,7039,0,0
R. DE MURCIA,112,1064,0,0
Badajoz,27540,289583,0,0
Cáceres,15529,160321,0,0
EXTREMADURA,43069,449904,0,0
Almería,0,0,73,110
Cádiz,3523,32734,0,0
Córdoba,4310,53221,0,0
Granada,2330,21552,0,0
Huelva,204,2049,0,0
Jaén,0,0,970,10367
Málaga,459,3581,57,149
Sevilla,12661,129914,0,0
ANDALUCIA,23487,243051,1100,10626
Las Palmas,0,0,224,621
S.C. de Tenerife,382,895,43,99
CANARIAS,382,895,267,720
ESPAÑA,345605,3482098,3344,33519
