scenario_name,rows,baseline_excess_tons,policy_excess_tons,baseline_stockout_tons,policy_stockout_tons
cured_embutido,92,6516.269808874793,5166.761493609969,0.0,0.0
fresh_preparation,83,30858.22461796462,24093.414775169607,0.0,0.0
