year,month,province_name,temp_mean_C,temp_std_C,precip_total_mm,precip_std_mm
2002,1,A Coruña,9.171884389717638,1.1786685911807824,109.95609273926242,1.126685967408387
2002,1,Albacete,5.651489926686257,0.9590361594820124,21.95302914414758,0.4457906518615985
2002,1,Alicante/Alacant,8.746994379517162,1.6502769198667704,21.918997573015783,0.4338706654225947
2002,1,Almería,7.768172467901012,2.258991947377699,17.564744690434104,0.3223069695472464
2002,1,Araba/Álava,5.099626889278738,0.9289264181154572,37.79829011574815,0.3344092229272227
2002,1,Asturias,6.410472434679669,2.325085630766686,52.79529995341587,0.9939794091907236
2002,1,Badajoz,8.646558237771337,0.8644345605795405,44.00045893475079,0.5862643896973504
2002,1,Barcelona,4.959776615030132,2.219024001871852,25.09656126953506,0.411715968966563
2002,1,Bizkaia,8.300259757243085,1.639317555603638,46.34335065500571,0.4776066203367422
2002,1,Burgos,4.326812329511806,1.0271731146734009,40.34695364422223,0.616836286949836
2002,1,Cantabria,6.463677640609222,2.3853802733677107,50.701733503452175,0.7757294069422558
2002,1,Castellón/Castelló,6.551466625269691,1.8393917842202308,45.452140973116,0.4425012840788049
2002,1,Ceuta,13.683323427425949,0.0,30.911945944978047,0.0
2002,1,Ciudad Real,6.492909039936414,0.7250965034897614,32.21958807352932,0.3892370489403333
2002,1,Cuenca,4.383825464453381,1.139395769452474,29.639787270109714,0.4265924455468002
2002,1,Cáceres,7.668832147371495,1.239119653742833,83.08844725019507,0.9065992989219436
2002,1,Cádiz,11.69011108123738,1.3026757630049446,31.17130831438201,0.3309906180271398
2002,1,Córdoba,8.560392817452493,1.0268574206155754,28.305282756456347,0.2917157060502772
2002,1,Gipuzkoa,7.180599059874679,1.4602257169497903,43.94624986808999,0.4595154351475106
2002,1,Girona,5.240409677381627,2.7685789520601563,26.15803315104876,0.3931367082879051
2002,1,Granada,5.903286011589788,1.7145022552814817,17.21581746418234,0.3387956646318978
2002,1,Guadalajara,3.749091341496007,1.0435555904773648,36.69908911071113,0.4574195936933485
2002,1,Huelva,10.790245514879926,1.1068329161331056,44.20217515327627,0.5616539204243491
2002,1,Huesca,3.011247786493876,2.64622112715882,47.11285722753336,0.7715899805443703
2002,1,Illes Balears,11.135318735123905,0.7265017022142236,31.452260712158413,0.3909310102279833
2002,1,Jaén,6.976461483740716,1.369749254032664,27.98256525960557,0.348115274396807
2002,1,La Rioja,4.140986668394219,1.401361186312314,40.14978673818286,0.3804572573088853
2002,1,Las Palmas,16.6124215202783,1.2565515712039943,19.53257120440441,0.36522191858469
2002,1,León,3.5777963604204226,1.0806250044060444,55.08119394777065,0.7069395430257979
2002,1,Lleida,2.531350927927536,2.923019520568959,30.380082436816608,0.5801464008587708
2002,1,Lugo,6.717253556279905,1.4672711823246325,79.8216389667379,0.7950354891578125
2002,1,Madrid,4.879238245158642,1.1130211496383666,46.32475765317805,0.4129751174867679
2002,1,Melilla,12.321727535288847,0.0,4.478075748636091,0.0
2002,1,Murcia,7.853772945688608,1.8669326325716848,17.45826790524378,0.2564753622930056
2002,1,Málaga,9.54070199093332,1.4482949157806886,27.76263695155141,0.4082871689957209
2002,1,Navarra,5.207629038665566,1.2346599812371652,35.15931865237582,0.6572599876559819
2002,1,Ourense,5.426662332605977,1.1105855368758095,101.54130137220145,1.0389664313013671
2002,1,Palencia,4.186616183946357,0.8437218111026012,42.56653081255374,0.4255815255572888
2002,1,Pontevedra,8.052106270527256,1.3479352028714042,143.20556113431147,1.0855229781489684
2002,1,Salamanca,5.269236253860589,0.7931419577824909,63.727130541402566,0.8294979172158514
2002,1,Santa Cruz de Tenerife,14.389260220543417,2.4406604391902285,53.841472987938,1.0092298057993234
2002,1,Segovia,4.172053024307445,0.8831490306166017,45.86768454230925,0.2942518075784351
2002,1,Sevilla,10.533637530731554,1.0151397660951331,26.589057170742336,0.3257211279001809
2002,1,Soria,3.42685612143955,0.8216631961685985,41.969771870136086,0.4461833624065822
2002,1,Tarragona,6.908487358200515,1.326388327106701,30.156885878426355,0.513866468862728
2002,1,Teruel,3.952391325361585,1.659748498154714,27.121177606270678,0.5669155391499376
