week_start,EUR_USD
2003-12-01,1.19650137424469
2003-12-08,1.2220009565353394
2003-12-15,1.2319974899291992
2003-12-22,1.2398948669433594
2003-12-29,1.2483927011489868
2004-01-05,1.2686975002288818
2004-01-12,1.2740962505340576
2004-01-19,1.235406756401062
2004-01-26,1.2487980127334595
2004-02-02,1.2433016300201416
2004-02-09,1.2694060802459717
2004-02-16,1.2765034437179565
2004-02-23,1.2571974992752075
2004-03-01,1.2448029518127441
2004-03-08,1.242606520652771
2004-03-15,1.22720468044281
2004-03-22,1.2345983982086182
2004-03-29,1.216604232788086
2004-04-05,1.201302170753479
2004-04-12,1.2073066234588623
2004-04-19,1.2006964683532715
2004-04-26,1.1861974000930786
2004-05-03,1.193602204322815
2004-05-10,1.1845955848693848
2004-05-17,1.2025011777877808
2004-05-24,1.199903964996338
2004-05-31,1.2198989391326904
2004-06-07,1.2318001985549927
2004-06-14,1.2061998844146729
2004-06-21,1.2126061916351318
2004-06-28,1.2186946868896484
2004-07-05,1.229997158050537
2004-07-12,1.240802526473999
2004-07-19,1.2439976930618286
2004-07-26,1.2139016389846802
2004-08-02,1.2021976709365845
2004-08-09,1.2272950410842896
2004-08-16,1.2358952760696411
2004-08-23,1.2151997089385986
2004-08-30,1.2049063444137573
2004-09-06,1.2065927982330322
2004-09-13,1.2264070510864258
2004-09-20,1.2174040079116821
2004-09-27,1.2307995557785034
2004-10-04,1.2289994955062866
2004-10-11,1.238405466079712
2004-10-18,1.248907208442688
2004-10-25,1.28109872341156
2004-11-01,1.2745997905731201
2004-11-08,1.2908055782318115
2004-11-15,1.2939958572387695
2004-11-22,1.3040019273757935
2004-11-29,1.32650625705719
2004-12-06,1.3396027088165283
2004-12-13,1.3320013284683228
2004-12-20,1.3392080068588257
2004-12-27,1.3623977899551392
2005-01-03,1.3470009565353394
2005-01-10,1.310994029045105
2005-01-17,1.3051081895828247
2005-01-24,1.3039000034332275
2005-01-31,1.305193305015564
2005-02-07,1.2764055728912354
2005-02-14,1.2973029613494873
2005-02-21,1.3064039945602417
2005-02-28,1.3217023611068726
2005-03-07,1.3221917152404785
2005-03-14,1.3365052938461304
2005-03-21,1.3161011934280396
2005-03-28,1.289507269859314
2005-04-04,1.285000205039978
2005-04-11,1.2971009016036987
2005-04-18,1.3017951250076294
2005-04-25,1.2993931770324707
2005-05-02,1.2846039533615112
2005-05-09,1.2854957580566406
2005-05-16,1.2639987468719482
2005-05-23,1.257102608680725
2005-05-30,1.248299241065979
2005-06-06,1.2260010242462158
2005-06-13,1.211798071861267
2005-06-20,1.2151997089385986
2005-06-27,1.2163970470428467
2005-07-04,1.190901517868042
2005-07-11,1.20689857006073
2005-07-18,1.2056035995483398
2005-07-25,1.2065054178237915
2005-08-01,1.218397855758667
2005-08-08,1.235101580619812
2005-08-15,1.2371032238006592
2005-08-22,1.223406195640564
2005-08-29,1.2234959602355957
2005-09-05,1.2526932954788208
2005-09-12,1.2291052341461182
2005-09-19,1.2139016389846802
2005-09-26,1.2073066234588623
2005-10-03,1.1912987232208252
2005-10-10,1.2049063444137573
2005-10-17,1.20110023021698
2005-10-24,1.197604775428772
2005-10-31,1.1988970041275024
2005-11-07,1.1793009042739868
2005-11-14,1.1691941022872925
2005-11-21,1.1736950874328613
2005-11-28,1.1850025653839111
2005-12-05,1.1787031888961792
2005-12-12,1.1956002712249756
2005-12-19,1.2006964683532715
2005-12-26,1.1837962865829468
2006-01-02,1.1816978454589844
2006-01-09,1.207496166229248
2006-01-16,1.2116072177886963
2006-01-23,1.2304056882858276
2006-01-30,1.208605170249939
2006-02-06,1.196300983428955
2006-02-13,1.1911994218826294
2006-02-20,1.193402886390686
2006-02-27,1.1850025653839111
2006-03-06,1.2016053199768066
2006-03-13,1.1967018842697144
2006-03-20,1.216293454170227
2006-03-27,1.20110023021698
2006-04-03,1.2139016389846802
2006-04-10,1.2111963033676147
2006-04-17,1.2254000902175903
2006-04-24,1.2388964891433716
2006-05-01,1.258004069328308
2006-05-08,1.27029287815094
2006-05-15,1.2790013551712036
2006-05-22,1.2852975130081177
2006-05-29,1.2751035690307617
2006-06-05,1.290106177330017
2006-06-12,1.258605718612671
2006-06-19,1.258004069328308
2006-06-26,1.2589067220687866
2006-07-03,1.28009831905365
2006-07-10,1.2745022773742676
2006-07-17,1.251799464225769
2006-07-24,1.262403130531311
2006-07-31,1.277400255203247
2006-08-07,1.2819033861160278
2006-08-14,1.2722970247268677
2006-08-21,1.2872995138168335
2006-08-28,1.2792466878890991
2006-09-04,1.2856941223144531
2006-09-11,1.2710033655166626
2006-09-18,1.2706964015960693
2006-09-25,1.2745022773742676
2006-10-02,1.2741937637329102
2006-10-09,1.260096549987793
2006-10-16,1.2541072368621826
2006-10-23,1.255098819732666
2006-10-30,1.271795392036438
2006-11-06,1.2725560665130615
2006-11-13,1.2825939655303955
2006-11-20,1.2818048000335693
2006-11-27,1.3133012056350708
2006-12-04,1.3336000442504883
2006-12-11,1.325100064277649
2006-12-18,1.3105987310409546
2006-12-25,1.3135944604873657
2007-01-01,1.3218945264816284
2007-01-08,1.3040019273757935
2007-01-15,1.2935941219329834
2007-01-22,1.2950012683868408
2007-01-29,1.29629385471344
2007-02-05,1.2931926250457764
2007-02-12,1.29629385471344
2007-02-19,1.3152011632919312
2007-02-26,1.319400429725647
2007-03-05,1.3086949586868286
2007-03-12,1.318791389465332
2007-03-19,1.3312920331954956
2007-03-26,1.333191156387329
2007-04-02,1.337005615234375
2007-04-09,1.335505723953247
2007-04-16,1.3529053926467896
2007-04-23,1.3584003448486328
2007-04-30,1.3652063608169556
2007-05-07,1.360007643699646
2007-05-14,1.3542977571487427
2007-05-21,1.3466018438339233
2007-05-28,1.3452069759368896
2007-06-04,1.349199891090393
2007-06-11,1.335594892501831
2007-06-18,1.341597557067871
2007-06-25,1.3468012809753418
2007-07-02,1.363493800163269
2007-07-09,1.3623977899551392
2007-07-16,1.377695083618164
2007-07-23,1.3804908990859985
2007-07-30,1.3711966276168823
2007-08-06,1.3796910047531128
2007-08-13,1.3613035678863525
2007-08-20,1.347490906715393
2007-08-27,1.3637913465499878
2007-09-03,1.361396312713623
2007-09-10,1.3775053024291992
2007-09-17,1.3865010738372803
2007-09-24,1.407400131225586
2007-10-01,1.4236091375350952
2007-10-08,1.4049086570739746
2007-10-15,1.4203940629959106
2007-10-22,1.4179972410202026
2007-10-29,1.441794753074646
2007-11-05,1.4478065967559814
2007-11-12,1.4523905515670776
2007-11-19,1.4668993949890137
2007-11-26,1.480100154876709
2007-12-03,1.467007040977478
2007-12-10,1.4708911180496216
2007-12-17,1.4412959814071655
2007-12-24,1.439698338508606
2007-12-31,1.4601097106933594
2008-01-07,1.468299388885498
2008-01-14,1.4869003295898438
2008-01-21,1.4420026540756226
2008-01-28,1.4788086414337158
2008-02-04,1.4827995300292969
2008-02-11,1.450200080871582
2008-02-18,1.46500825881958
2008-02-25,1.4835914373397827
2008-03-03,1.5200109481811523
2008-03-10,1.534095287322998
2008-03-17,1.574803113937378
2008-03-24,1.5434956550598145
2008-03-31,1.5757957696914673
2008-04-07,1.5704996585845947
2008-04-14,1.5825037956237793
2008-04-21,1.5911911725997925
2008-04-28,1.5652881860733032
2008-05-05,1.5498108863830566
2008-05-12,1.5540015697479248
2008-05-19,1.5527950525283813
2008-05-26,1.5779341459274292
2008-06-02,1.5546056032180786
2008-06-09,1.5643576383590698
2008-06-16,1.5473887920379639
2008-06-23,1.5522888898849487
2008-06-30,1.57500159740448
2008-07-07,1.5720057487487793
2008-07-14,1.589092493057251
2008-07-21,1.5913937091827393
2008-07-28,1.5741338729858398
2008-08-04,1.5593082904815674
2008-08-11,1.5048909187316895
2008-08-18,1.5048909187316895
2008-08-25,1.5048909187316895
2008-09-01,1.4574922323226929
2008-09-08,1.5050041675567627
2008-09-15,1.4268999099731445
2008-09-22,1.4795963764190674
2008-09-29,1.4393253326416016
2008-10-06,1.3504936695098877
2008-10-13,1.3621937036514282
2008-10-20,1.3313274383544922
2008-10-27,1.2464631795883179
2008-11-03,1.2617977857589722
2008-11-10,1.2747948169708252
2008-11-17,1.2643983364105225
2008-11-24,1.291772723197937
2008-12-01,1.2599060535430908
2008-12-08,1.4918025732040405
2008-12-15,1.3696004152297974
2008-12-22,1.3959071636199951
2008-12-29,1.4039028882980347
2009-01-05,1.3645915985107422
2009-01-12,1.3360053300857544
2009-01-19,1.3093974590301514
