Provincia,Cebada de 2 carreras - Superficie - (hectáreas),Cebada de 2 carreras - Producción - (toneladas),Cebada de 6 carreras - Superficie - (hectáreas),Cebada de 6 carreras - Producción - (toneladas)
A Coruña,49,129,0,0
Lugo,189,382,0,0
Ourense,315,653,0,0
Pontevedra,2,4,0,0
GALICIA,555,1168,0,0
P. DE ASTURIAS,0,0,0,0
CANTABRIA,0,0,85,110
Alava,14870,62454,0,0
Guipúzcoa,0,0,0,0
Vizcaya,0,0,0,0
PAÍS VASCO,14870,62454,0,0
NAVARRA,94510,349672,0,0
LA RIOJA,18058,67787,0,0
Huesca,187731,662529,8200,31308
Teruel,94012,164492,12820,20928
Zaragoza,175964,413702,4512,10608
ARAGÓN,457707,1240723,25532,62844
Barcelona,39316,115131,397,1163
Girona,17437,71992,727,2380
Lleida,94736,293601,15166,47796
Tarragona,15853,42844,0,0
CATALUÑA,167342,523568,16290,51339
BALEARES,9362,14240,14043,21359
Avila,38542,65591,12835,17247
Burgos,153174,549945,3500,12407
León,20251,58457,1200,2640
Palencia,125205,349591,10000,21981
Salamanca,38788,74703,3000,5818
Segovia,64402,124061,24000,45559
Soria,99934,266063,5000,12890
Valladolid,213260,512254,2682,6444
Zamora,56084,108486,11560,22341
CASTILLA Y LEÓN,809640,2109151,73777,147327
MADRID,38278,61372,542,869
Albacete,128410,232209,33000,45900
Ciudad Real,91269,188876,59800,125920
Cuenca,215767,813000,68250,144043
Guadalajara,90174,156548,9450,16065
Toledo,148892,279665,2781,4172
CASTILLA–LA MANCHA,674512,1670298,173281,336100
Alicante,2173,958,1832,2942
Castellón,4188,1785,425,208
Valencia,9000,3997,2250,923
C. VALENCIANA,15361,6740,4507,4073
R. DE MURCIA,10261,2108,10085,3575
Badajoz,43028,65403,0,0
Cáceres,493,672,0,0
EXTREMADURA,43521,66075,0,0
Almería,0,0,10760,3954
Cádiz,2150,7800,6013,21900
Córdoba,1659,3403,6637,14100
Granada,16358,16598,36497,24529
Huelva,190,637,790,1625
Jaén,5069,9160,3308,5860
Málaga,11906,23276,1472,2877
Sevilla,16237,42557,850,1785
ANDALUCÍA,53569,103431,66327,76630
Las Palmas,66,98,64,96
S.C. de Tenerife,81,82,0,0
CANARIAS,147,180,64,96
ESPAÑA,2407693,6278967,384533,704322
