SUPERFICIES Y PRODUCCIONES DE CULTIVOS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
"7.1.3.4. CEREALES GRANO-CEBADA: Análisis provincial de superficie y producción según tipos, 2017",,,,
,,,,
Provincias,Cebada de 2 carreras,,Cebada de 6 carreras,
y,Superficie,Producción,Superficie,Producción
Comunidades Autónomas,(hectáreas),(toneladas),(hectáreas),(toneladas)
A Coruña,118,248,–,–
Lugo,177,312,–,–
Ourense,389,685,–,–
Pontevedra,–,–,–,–
 GALICIA,684,1245,–,–
,,,,
 P. DE ASTURIAS,–,–,–,–
,,,,
 CANTABRIA,196,255,–,–
,,,,
Alava,13268,63686,–,–
Guipúzcoa,–,–,–,–
Vizcaya,–,–,–,–
 PAÍS VASCO,13268,63686,–,–
,,,,
 NAVARRA,86241,359935,–,–
,,,,
 LA RIOJA,19033,69965,–,–
,,,,
Huesca,183471,772614,3149,12547
Teruel,84323,132329,15729,24171
Zaragoza,164090,365673,4985,11157
 ARAGÓN,431884,1270616,23863,47875
,,,,
Barcelona,38309,129416,370,1332
Girona,18840,54520,785,1802
Lleida,110199,414030,1113,4182
Tarragona,13207,29417,–,–
 CATALUÑA,180555,627383,2268,7316
,,,,
 BALEARES,7721,11443,11582,17164
,,,,
Avila,40686,28702,12585,8349
Burgos,136694,226708,4500,7236
León,16958,22250,1350,867
Palencia,106910,101573,10000,9787
Salamanca,38882,52675,1000,1254
Segovia,61048,82538,18000,23419
Soria,84992,129166,8040,11466
Valladolid,180220,189699,1750,1858
Zamora,47450,62717,9719,12845
 CASTILLA Y LEÓN,713840,896028,66944,77081
,,,,
 MADRID,42068,65662,859,1127
,,,,
Albacete,106000,270700,25713,49480
Ciudad Real,100892,285059,43539,126421
Cuenca,193306,531420,67918,186713
Guadalajara,11901,21955,81577,138872
Toledo,146770,242276,4085,3922
 CASTILLA–LA MANCHA,558869,1351410,222832,505408
,,,,
Alicante,1888,3400,615,1190
Castellón,3080,3855,345,467
Valencia,7058,13943,1765,3487
 C. VALENCIANA,12026,21198,2725,5144
,,,,
 R. DE MURCIA,9914,11032,11965,13933
,,,,
Badajoz,56097,120404,–,–
Cáceres,823,1622,–,–
 EXTREMADURA,56920,122026,–,–
,,,,
Almería,–,–,8816,13818
Cádiz,8462,25552,800,1988
Córdoba,2894,3768,11576,20589
Granada,11774,29426,32546,36076
Huelva,650,2795,730,2555
Jaén,3139,7149,4709,10676
Málaga,11151,29678,1653,3934
Sevilla,21475,49085,721,1679
 ANDALUCÍA,59545,147453,61551,91315
,,,,
Las Palmas,122,192,–,–
S.C. de Tenerife,52,52,–,–
 CANARIAS,174,244,–,–
,,,,
ESPAÑA,2192938,5019581,404589,766363
