Provincia,Maíz híbrido - Superficie - (hectáreas),Maíz híbrido - Producción - (toneladas),Otros maíces - Superficie - (hectáreas),Otros maíces - Producción - (toneladas)
A Coruña,7382,44439,308,1854
Lugo,1691,10737,564,3581
Ourense,1949,12376,0,0
Pontevedra,5964,30715,0,0
GALICIA,16986,98267,872,5435
P. DE ASTURIAS,227,522,200,480
CANTABRIA,0,0,0,0
Alava,0,0,1,4
Guipúzcoa,65,182,40,112
Vizcaya,31,101,39,109
PAIS VASCO,96,283,80,225
NAVARRA,13651,149705,0,0
LA RIOJA,495,5746,0,0
Huesca,59805,791818,5000,54935
Teruel,2576,27090,0,0
Zaragoza,17883,204061,0,0
ARAGON,80264,1022969,5000,54935
Barcelona,121,765,0,0
Girona,6601,69050,0,0
Lleida,30618,295363,0,0
Tarragona,122,1068,0,0
CATALUÑA,37462,366246,0,0
BALEARES,133,732,0,0
Avila,1390,18070,0,0
Burgos,0,0,743,9659
León,53875,522588,0,0
Palencia,0,0,170,1360
Salamanca,16299,211887,0,0
Segovia,80,880,0,0
Soria,66,792,0,0
Valladolid,3873,28037,0,0
Zamora,11783,147288,0,0
CASTILLA Y LEON,87366,929542,913,11019
MADRID,5105,55517,326,3545
Albacete,8000,108000,0,0
Ciudad Real,3828,44025,0,0
Cuenca,0,0,1250,14963
Guadalajara,2521,30220,0,0
Toledo,6074,64735,0,0
CASTILLA–LA MANCHA,20423,246980,1250,14963
Alicante,52,572,160,1760
Castellón,71,388,58,113
Valencia,252,2822,0,0
C. VALENCIANA,375,3782,218,1873
R. DE MURCIA,125,1172,0,0
Badajoz,26826,348953,0,0
Cáceres,18285,258221,0,0
EXTREMADURA,45111,607174,0,0
Almería,10,45,0,0
Cádiz,1772,22076,0,0
Córdoba,3126,35882,0,0
Granada,0,0,2188,23156
Huelva,171,1700,0,0
Jaén,575,6900,0,0
Málaga,191,1123,0,0
Sevilla,8158,101789,0,0
ANDALUCIA,14003,169515,2188,23156
Las Palmas,239,699,209,456
S.C. de Tenerife,280,636,31,71
CANARIAS,519,1335,240,527
ESPAÑA,322341,3659487,11287,116158
