Provincia,Trigo duro - Superficie - (hectáreas),Trigo duro - Producción - (toneladas),Trigo blando y semiduro - Superficie - (hectáreas),Trigo blando y semiduro - Producción - (toneladas)
A Coruña,0,0,1617,4770
Lugo,0,0,3506,8064
Ourense,0,0,8583,19741
Pontevedra,0,0,336,733
GALICIA,0,0,14042,33308
P. DE ASTURIAS,0,0,50,65
CANTABRIA,0,0,591,1448
Alava,6,22,23952,143712
Guipúzcoa,0,0,0,0
Vizcaya,0,0,0,0
PAÍS VASCO,6,22,23952,143712
NAVARRA,1150,4162,72958,359619
LA RIOJA,44,223,29106,109437
Huesca,6061,18742,53979,228484
Teruel,2151,1305,36273,57827
Zaragoza,117340,217438,46071,116880
ARAGÓN,125552,237485,136323,403191
Barcelona,64,213,20967,83261
Girona,51,82,11382,32093
Lleida,201,763,45593,156755
Tarragona,9,38,5591,15137
CATALUÑA,325,1096,83533,287246
BALEARES,5,8,5415,8009
Avila,99,342,35781,27589
Burgos,1185,2095,219382,590377
León,1255,3226,61380,131816
Palencia,810,1735,127661,193195
Salamanca,349,679,59990,79836
Segovia,129,301,74319,78788
Soria,454,453,96081,172691
Valladolid,3143,8318,105452,127843
Zamora,640,1986,70527,83806
CASTILLA Y LEÓN,8064,19135,850573,1485941
MADRID,429,688,17516,23540
Albacete,3495,22069,64268,173605
Ciudad Real,171,437,39000,75644
Cuenca,930,3297,38766,94743
Guadalajara,1508,1579,58267,106962
Toledo,4390,4752,46711,58968
CASTILLA–LA MANCHA,10494,32134,247012,509922
Alicante,94,153,1216,2642
Castellón,38,59,911,1615
Valencia,101,178,2210,4684
C. VALENCIANA,233,390,4337,8941
R. DE MURCIA,429,429,8039,9497
Badajoz,9053,20024,51845,128021
Cáceres,99,184,4029,6810
EXTREMADURA,9152,20208,55874,134831
Almería,364,131,2862,3734
Cádiz,58614,122202,9794,19302
Córdoba,51050,194500,14310,41272
Granada,2809,4517,7882,9945
Huelva,11114,51124,3903,17564
Jaén,6784,19474,2262,5403
Málaga,15079,37087,4338,10236
Sevilla,115892,316633,46621,136877
ANDALUCÍA,261706,745668,91972,244333
Las Palmas,0,0,165,240
S.C. de Tenerife,0,0,177,181
CANARIAS,0,0,342,421
ESPAÑA,417589,1061648,1641635,3763461
